geometry,scheme,split,n_plan_frames,both_nonzero,opposite_sign
oracle,S0,all,2655,128,66
oracle,S0,test,752,27,15
oracle,S1,all,2655,106,53
oracle,S1,test,752,27,20
oracle,S2,all,2655,106,54
oracle,S2,test,752,24,17
oracle,S3,all,2655,122,64
oracle,S3,test,752,27,18
oracle,S4,all,2655,149,83
oracle,S4,test,752,25,16
mono,S0,all,2655,286,150
mono,S0,test,752,70,44
mono,S1,all,2655,246,135
mono,S1,test,752,58,38
mono,S2,all,2655,254,137
mono,S2,test,752,61,39
mono,S3,all,2655,269,142
mono,S3,test,752,65,40
mono,S4,all,2655,248,129
mono,S4,test,752,68,39
