cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S0,all,0.25,0.25,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,4.177725118483412,0.5787010777084515,0.49871685201026517,240,97,0.4041666666666667,0.30133561643835616,0.506728595691646,0.42140513212355013,0.1929010879756061,0.7615513828849616,0.14212640543824925,0.2456406258145354,0.3464052287581699,153.0,0.05887141258231441,0.03151674326986211,0.3380281690140845,0.38,200.0,0.06487912155144393,0.02,0.25301204819277107,0.4127659574468085,235.0,0.06314360045081228,0.017458100558659217,0.26595744680851063,0.3424657534246575,146.0,0.07412223402951337,0.03394039735099338,0.3228346456692913,128.0,66.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S0,test,0.25,0.25,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,3.1905759162303666,0.6160157531998687,0.4915792042958262,46,15,0.32608695652173914,0.13153021442495128,0.5135328185328185,0.2629863500898979,0.035921552810151906,0.9734462819011771,0.14430737594533458,0.1958001401506424,0.3333333333333333,27.0,0.024443806651774858,0.01912568306010929,0.30434782608695654,0.4857142857142857,35.0,0.003647121757129072,0.021052631578947368,0.375,0.45454545454545453,44.0,0.019825561613582964,0.01256281407035176,0.25,0.3333333333333333,24.0,0.05381333931669351,0.023809523809523808,0.3,27.0,15.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S1,all,0.25,0.498046875,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,2.593601895734597,0.7643901324805847,0.4099230111206159,196,77,0.39285714285714285,0.29935447108779817,0.4888888888888889,0.5389490576214673,0.25388925731100037,0.971323657068179,0.08719072939227583,0.18911300547931775,0.3238095238095238,105.0,0.05954665155811278,0.02197802197802198,0.30985915492957744,0.2945205479452055,146.0,0.08157607396861623,0.020086083213773313,0.28,0.34210526315789475,190.0,0.08900784432924594,0.017525225703664365,0.2796610169491525,0.33653846153846156,104.0,0.06705649203068026,0.022565320665083134,0.2923076923076923,106.0,53.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S1,test,0.25,0.498046875,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.095287958115183,0.7731134432783608,0.4068830851842812,49,20,0.40816326530612246,0.19990196078431374,0.6086956521739131,0.4454886431891581,0.181612022023218,1.0166513337805476,0.09938883498896535,0.17923678887404532,0.27586206896551724,29.0,0.08735571288114027,0.01606425702811245,0.25,0.29411764705882354,34.0,0.0765866482511034,0.017094017094017096,0.2857142857142857,0.3958333333333333,48.0,0.06215113981783461,0.018518518518518517,0.3333333333333333,0.2857142857142857,28.0,0.1018648940213674,0.022857142857142857,0.26666666666666666,27.0,20.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S2,all,0.25,0.4,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.0906398104265405,0.7026068621813303,0.4495580268035358,207,80,0.3864734299516908,0.2911233293260731,0.47340489772844074,0.3908317602786469,0.16959977818609695,0.7117269984487742,0.12863899837537127,0.21117154504675734,0.35398230088495575,113.0,0.04037038233188993,0.027004909983633387,0.35106382978723405,0.35443037974683544,158.0,0.054761623458743226,0.023880597014925373,0.3047619047619048,0.4,200.0,0.060239922528936375,0.021799888205701508,0.3170731707317073,0.34782608695652173,115.0,0.05718981874395175,0.027,0.313953488372093,106.0,54.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S2,test,0.25,0.4,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.4544502617801047,0.7226962457337884,0.4449597266292409,45,14,0.3111111111111111,0.16357771260997067,0.4865038115038115,0.19391629013859565,0.058104048925156304,0.5873746211061667,0.14965724579397555,0.18565968268941582,0.2962962962962963,27.0,0.045125738094954765,0.016666666666666666,0.2631578947368421,0.34375,32.0,0.0383008847824144,0.014970059880239521,0.23809523809523808,0.4318181818181818,44.0,0.03101242308166147,0.015151515151515152,0.28,0.28,25.0,0.08252538323515887,0.01932367149758454,0.23529411764705882,24.0,17.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S3,all,0.25,0.34,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.4410545023696684,0.6597228200051648,0.4695181066438551,229,90,0.3930131004366812,0.3098416836899258,0.4798201976850045,0.4127533940030257,0.18925165806805785,0.7363380791784132,0.13433261389185863,0.22874991957390917,0.3409090909090909,132.0,0.05041923864720545,0.029104477611940297,0.33620689655172414,0.3712574850299401,167.0,0.05528946183325616,0.0215311004784689,0.28421052631578947,0.4189189189189189,222.0,0.06125333209217674,0.02494061757719715,0.328125,0.3333333333333333,132.0,0.0712218709616912,0.030583873957367932,0.3113207547169811,122.0,64.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S3,test,0.25,0.34,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.6848167539267016,0.6879875195007801,0.4639980473517208,50,18,0.36,0.20453385899814472,0.5373866213151924,0.2945694947264374,0.0953585856127387,0.9862564811831648,0.13826641278886542,0.19600288299872468,0.25,28.0,0.06965608314481146,0.015151515151515152,0.23809523809523808,0.34285714285714286,35.0,0.05013216832079313,0.012269938650306749,0.2222222222222222,0.4166666666666667,48.0,0.05267034318551988,0.01569506726457399,0.28,0.24,25.0,0.09956422453199767,0.017857142857142856,0.2222222222222222,27.0,18.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S4,all,0.25,0.1,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,7.063388625592417,0.386899270317873,0.5597946963216425,290,139,0.4793103448275862,0.3724460891812866,0.5810914989879747,0.445245221278907,0.21149950144717108,0.8594276211145851,0.18306796227231115,0.32999799063353397,0.43434343434343436,198.0,0.04085193573797356,0.045730027548209366,0.43005181347150256,0.444015444015444,259.0,0.07812086485434114,0.020179372197309416,0.3,0.458041958041958,286.0,0.07213770816902962,0.017713365539452495,0.28205128205128205,0.41621621621621624,185.0,0.07116289501458693,0.05010585744530699,0.4127906976744186,149.0,83.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S4,test,0.25,0.1,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,5.281675392670157,0.41871530531324347,0.5499145716377838,56,26,0.4642857142857143,0.21873579545454547,0.6842348927875244,0.2475816819343999,0.04876594281272207,0.8860049949005792,0.17699407075706036,0.23523360145204347,0.5294117647058824,34.0,-0.026550726845635374,0.03764705882352941,0.5,0.5,50.0,-0.0031863545586922376,0.030303030303030304,0.4444444444444444,0.48148148148148145,54.0,0.006910222944977884,0.01507537688442211,0.3333333333333333,0.5161290322580645,31.0,0.013172774587849063,0.04950495049504951,0.5,25.0,16.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S0,all,0.25,0.25,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,4.2531073446327685,0.582624867162593,0.48310302366944863,1179,600,0.5089058524173028,0.4731969046506571,0.5439911281905304,0.7035475557548901,0.5039846608455917,0.9904944999574457,0.01311285377199777,0.04408754193960015,0.5037220843672456,806.0,0.01600197681526124,0.3104575163398693,0.5059920106524634,0.4979035639412998,954.0,0.016234268400593728,0.30342384887839435,0.50293542074364,0.5004291845493563,1165.0,0.00720089193047374,0.26591107236268524,0.5066445182724253,0.5098870056497176,708.0,0.006725118118007388,0.3230769230769231,0.5048076923076923,128.0,66.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S0,test,0.25,0.25,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,3.3856382978723403,0.6099764336213669,0.4794952681388013,302,156,0.5165562913907285,0.457666815942678,0.5885119758775672,1.0291579012482304,0.6389645135869312,1.6967301708055753,-0.0008377967267429604,0.028733094320147645,0.5309278350515464,194.0,-0.0069594033228783025,0.31788079470198677,0.5274725274725275,0.5394190871369294,241.0,-0.05020539866067231,0.3232758620689655,0.539568345323741,0.5476190476190477,294.0,-0.08526886865442851,0.2830188679245283,0.5555555555555556,0.5163398692810458,153.0,-0.0282910142373202,0.32075471698113206,0.5,27.0,15.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S1,all,0.25,0.498046875,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,2.6365348399246704,0.7651428571428571,0.39430838692023534,1025,515,0.5024390243902439,0.46808307423438805,0.5395264382960036,0.7817422968485065,0.5642970698268044,1.0912817941362611,0.007793179158059955,0.03570631893184857,0.5023255813953489,645.0,0.006057430278057536,0.30671736375158426,0.5031185031185031,0.5185185185185185,864.0,-0.02060487164053355,0.3087971274685817,0.5196374622356495,0.5253227408142999,1007.0,-0.024594348771810944,0.2511816340310601,0.5181058495821727,0.506514657980456,614.0,0.005038253876332858,0.31946508172362553,0.508274231678487,106.0,53.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S1,test,0.25,0.498046875,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.1941489361702127,0.7672727272727272,0.3934614281617436,271,137,0.5055350553505535,0.44538793103448276,0.5641263940520446,1.4655170406280584,0.879505985696969,2.419945649893307,-0.009103470951810954,0.019555612700082665,0.5732484076433121,157.0,-0.08017169167644737,0.35353535353535354,0.5555555555555556,0.5777777777777777,225.0,-0.10913839625651366,0.34385964912280703,0.5568181818181818,0.5741444866920152,263.0,-0.1099177291723543,0.2654639175257732,0.553763440860215,0.5597014925373134,134.0,-0.06258861582125763,0.33793103448275863,0.5268817204301075,27.0,20.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S2,all,0.25,0.4,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.143879472693032,0.7046843177189409,0.43364345327678205,1070,536,0.5009345794392523,0.4665397217677343,0.5340938378631678,0.7126458127432282,0.5304611369826963,0.9821558189797698,0.010480571698282273,0.03647262187990261,0.5058139534883721,688.0,-0.0006514345217755296,0.3055555555555556,0.5025380710659898,0.5230596175478065,889.0,-0.026530743497543037,0.31431244153414406,0.5185185185185185,0.5256653992395437,1052.0,-0.031138830039847385,0.26222537207654145,0.5174825174825175,0.5110759493670886,632.0,-0.004848449039412746,0.3204488778054863,0.5049115913555993,106.0,54.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S2,test,0.25,0.4,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.583776595744681,0.7143592382913021,0.43016919988528823,273,140,0.5128205128205128,0.455326864342681,0.5714424680377987,1.3733059183970495,0.7874728968991566,2.416683156833976,-0.007648842250205149,0.020489474913895703,0.5680473372781065,169.0,-0.06495741535370553,0.3292181069958848,0.54421768707483,0.5648148148148148,216.0,-0.08255766270594182,0.3208955223880597,0.5375,0.5703422053231939,263.0,-0.10732429880287603,0.2608695652173913,0.5581395348837209,0.5401459854014599,137.0,-0.03714463379913353,0.31976744186046513,0.5045871559633027,24.0,17.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S3,all,0.25,0.34,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.4990583804143127,0.6618945102260495,0.4528663291831988,1104,554,0.5018115942028986,0.4700335048057398,0.5346835425341,0.7165264348716345,0.5339810128603427,0.9801164849968088,0.01107985955257628,0.03906619678969087,0.510958904109589,730.0,-0.003970232132513658,0.3102803738317757,0.5084226646248086,0.5162374020156775,893.0,-0.019205813044680498,0.31162324649298595,0.5123558484349259,0.5174953959484346,1086.0,-0.0245525740738154,0.2636704119850187,0.5138686131386861,0.517503805175038,657.0,-0.015108482717521502,0.32560834298957125,0.5090579710144928,122.0,64.0
