task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,tie_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,tie_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,tie_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,tie_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,mono,random,False,3376,85,0.05893581587719709,0.016690031335456358,,-0.01882910522723768,0.18276275085452887,0.0,0.13431764414198902,0.03803740825961547,,0.001185643059461541,0.2778092843442835,0.0,0.1907260052712546,0.05401168978633378,,0.03862512345926412,0.34822271002406663,0.0,0.31140509651037956,0.08818679679617301,,0.11357528002021387,0.4691605557338444,0.0,,,,,
longitudinal,mono,uncertainty,False,3376,85,0.17055875989101626,0.04830052837563298,0.0029585798816568047,0.01055185363160415,0.347673802254791,0.0,0.24305592141027385,0.06883099663977395,0.0014814814814814814,0.10250962304428142,0.3736366154914517,0.0,0.2820974368389708,0.07988716182880577,0.0009871668311944718,0.14121051026789866,0.41775665151117036,0.0,0.44499641361522346,0.12601851653125865,0.0005924170616113745,0.2757067085805557,0.5549639031042537,0.0,0.024066533141341627,0.019392110627816338,0.48144876325088337,0.12721893491124261,0.18962962962962962
longitudinal,mono,criticality,False,3376,85,0.07651986899708656,0.021669658633512216,0.0029585798816568047,0.00357246678139706,0.16676816282281132,0.0,0.17316183950826045,0.0490376943880798,0.0014814814814814814,0.05764361062547874,0.3163305061584946,0.0,0.33157117038431483,0.0938976264480508,0.0009871668311944718,0.11927120344907964,0.4914873520234366,0.0,0.478938460100542,0.13563056331465892,0.0005924170616113745,0.2992317482155109,0.6444968862709392,0.0,0.03211363020005893,0.02597317070784784,0.4745850622406639,0.15680473372781065,0.2325925925925926
longitudinal,mono,perception_oracle_dE,False,3376,85,0.01123517145917318,0.0031816877550918414,0.03550295857988166,-0.03998585321841648,0.0661484220882938,0.0,0.052205013522674155,0.014783935686524894,0.5170370370370371,-0.03037072589543859,0.15038832313560913,0.0,0.11682962803527147,0.03308497767946953,0.3168805528134255,0.006215481147173775,0.2635169687868376,0.0,0.25867085644280186,0.07325298946561419,0.09774881516587677,0.07654465237662482,0.44864994205024067,0.0,-0.007546577402799498,-0.006707268474681759,0.5070898993600766,0.10355029585798817,0.18962962962962962
longitudinal,mono,best_dE_metric (E6_risk_weighted),False,3376,85,0.1553824957164377,0.04400276273246859,0.0029585798816568047,0.05786283589895687,0.30952765922815473,0.0,0.2240801839972767,0.0634572583225472,0.0014814814814814814,0.06416869913695769,0.39512457327163425,0.0,0.22087152721103703,0.06254859893589086,0.0009871668311944718,0.060895236291481136,0.39918945119855964,0.0,0.2706800412322528,0.07665387002467629,0.1362559241706161,0.06691654843731083,0.4681200156671334,0.0,-0.0018195208542275125,-0.001659893279836021,0.5004083248781213,0.16272189349112426,0.2725925925925926
longitudinal,mono,multimetric_dE_oracle,False,3376,85,0.26068237300271596,0.07382263075957217,0.0029585798816568047,0.05884045168060374,0.43616599855333343,0.0,0.25933084686501096,0.07343989212681978,0.0014814814814814814,0.06527412762260823,0.4382650183178925,0.0,0.2824337374355367,0.07998239878126455,0.0019743336623889436,0.06089613862236635,0.4562159725749348,0.0,0.3380197311959872,0.09572379412577782,0.0005924170616113745,0.16519394810273952,0.47716829377735104,0.0,-0.007221004728793543,-0.0056863908571816255,0.5070034718065366,0.13609467455621302,0.21481481481481482
longitudinal,mono,PKL_gain,False,3376,85,0.23081081502252038,0.06536330545274695,0.0029585798816568047,0.04813761806383858,0.41246955034237204,0.0,0.28457830593716216,0.08058971904926157,0.0014814814814814814,0.12787005115116623,0.4408928344923852,0.0,0.36579816851457364,0.10359036867635765,0.0009871668311944718,0.20864241300094008,0.49508850591717546,0.0,0.41763771765991525,0.11827080852051765,0.19075829383886256,0.2675374320134957,0.5331918769997741,0.0,0.036248924205533516,0.02942310115508734,0.4719121833336747,0.13609467455621302,0.22814814814814816
longitudinal,mono,TIP_gain,False,3376,85,0.2438243727628002,0.06904861434748774,0.0029585798816568047,0.07642697523526758,0.43354291603270445,0.0,0.26638357754269776,0.07543715464468154,0.0014814814814814814,0.1098128932883669,0.4364628481636991,0.0,0.32650586563577766,0.09246318299938666,0.0009871668311944718,0.17568939235950734,0.4667991959647062,0.0,0.4155232954749156,0.11767202538671731,0.1877962085308057,0.25947151413278496,0.5200330939366785,0.0,0.010673669974747921,0.00837571737852122,0.49123201898876634,0.14497041420118342,0.2237037037037037
longitudinal,mono,decision_oracle_dJ,False,3376,85,1.0,0.2831899599088084,0.22485207100591717,1.0,1.0,0.0,1.0,0.2831899599088084,0.6118518518518519,1.0,1.0,0.0,1.0,0.2831899599088084,0.7413622902270484,1.0,1.0,0.0,1.0,0.2831899599088084,0.8447867298578199,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
longitudinal,mono,uncertainty [scene-z],True,3376,85,0.020102980938625413,0.005692962366056871,0.0029585798816568047,-0.04090153782571626,0.09867248932796693,0.0,0.05563509336748679,0.015755299860261397,0.0014814814814814814,-0.03595611670115478,0.19417122700208467,0.0,0.1804390106130458,0.05109851618149349,0.0009871668311944718,0.055957048619784316,0.35933771816545784,0.0,0.3116724638508557,0.08826251254260335,0.0005924170616113745,0.14626611934742606,0.4956110482177231,0.0,0.03718400540709109,0.02932356527893547,0.47297889287136596,0.09171597633136094,0.22814814814814816
