convention,range_bin,n,range_bias,range_mae,rel_range_bias,lat_bias,lat_mae,track
S,0-10,6517,0.28775882720947266,0.6665711402893066,0.03865558628701269,0.1699657440185547,0.3757901191711426,KITTI
S,10-25,10708,0.31061363220214844,1.4928255081176758,0.02185027411353243,0.20378327369689941,0.4336036927998066,KITTI
S,25-50,4559,-0.9306240081787109,5.567970275878906,-0.02990779474162072,0.07960164546966553,0.7038364410400391,KITTI
S,>50,92,-6.9828033447265625,7.623329162597656,-0.13020028127039696,-0.14832091331481934,1.160294532775879,KITTI
T,0-10,6517,1.3817136365432052,1.386506803657463,0.18545320198611442,-0.08525919914245605,0.3601851463317871,KITTI
T,10-25,10708,1.4028450010686058,1.8164376059302567,0.09881390898679612,-0.05057472921907902,0.35307833552360535,KITTI
T,25-50,4559,0.1498754224582406,5.270532389621323,0.0053597739232563784,-0.17118311673402786,0.6701726913452148,KITTI
T,>50,92,-5.9023039140896145,7.268491744995117,-0.11121705221037731,-0.3983650207519531,1.288806438446045,KITTI
F,0-10,6517,1.3823377598385562,1.3860876830791415,0.1856042577726965,-0.06904564833545912,0.3560685311289191,KITTI
F,10-25,10708,1.393341430444278,1.8091119427262932,0.09824487527212208,-0.02918451659295157,0.3510042932075056,KITTI
F,25-50,4559,0.16636712327010272,5.265066813052812,0.005603537390082023,-0.1143862975833505,0.6852865467350244,KITTI
F,>50,92,-5.888591199614524,7.271962324324058,-0.11106383685781865,-0.30410228563909447,1.242592438460882,KITTI
G,0-10,6517,1.3438458714940964,1.3469092695116025,0.17863012282314883,-0.09638979748779652,0.3415985856850621,KITTI
G,10-25,10708,1.324361225906049,1.5410825759525206,0.09010782683385139,-0.10263433306788883,0.2794952360095434,KITTI
G,25-50,4559,2.251515491822669,3.8478482380678436,0.07284624540024241,-0.06779651639961815,0.4451507112708617,KITTI
G,>50,92,-6.1093217637167,6.728725549516053,-0.10883503510947166,-0.3524242812206051,1.279494105750166,KITTI
S,0-10,827,-0.32215309143066406,0.8835811614990234,-0.03905877867929608,-0.05518285930156708,0.4433612823486328,nuScenes
S,10-25,2467,-0.4606943130493164,2.425914764404297,-0.031114971345099076,-0.06678128242492676,0.7215592861175537,nuScenes
S,25-50,2325,-1.9893436431884766,7.998455047607422,-0.06028441442413413,-0.35069751739501953,1.3497302532196045,nuScenes
S,>50,348,-13.150094985961914,16.48097801208496,-0.21870940712123932,-1.03893381357193,1.682053565979004,nuScenes
T,0-10,827,1.3786743478049024,1.3868501876479105,0.17515497229323035,-0.04911990463733673,0.43248844146728516,nuScenes
T,10-25,2467,1.2547148064841025,2.293607552455782,0.08302191854163563,-0.053329095244407654,0.7224612236022949,nuScenes
T,25-50,2325,-0.28855245364847804,7.653939406467558,-0.008340652996388902,-0.33646607398986816,1.3527865409851074,nuScenes
T,>50,348,-11.428089301181913,16.055634970397577,-0.1905194016259638,-1.0341792702674866,1.6753735542297363,nuScenes
F,0-10,827,1.368149240388357,1.370964707156169,0.1778937046638494,0.024759032240995182,0.41172503004717864,nuScenes
F,10-25,2467,1.243095023208424,2.296398914173782,0.08439695602604633,0.07058661739779559,0.6784738363981875,nuScenes
F,25-50,2325,-0.2993344694740152,7.630594961681833,-0.007598957763786482,-0.08771488025162322,1.2944516589497885,nuScenes
F,>50,348,-11.434044449055023,15.991623860668518,-0.19132157438305722,-0.6138846293562381,1.4945523527337388,nuScenes
G,0-10,827,1.2525345629115812,1.2599221055476981,0.1660836347383115,0.029362419172784038,0.4058540860581221,nuScenes
G,10-25,2467,1.2268180709917793,1.8189513113620066,0.0807974883064667,0.08133733116946562,0.5238514520072428,nuScenes
G,25-50,2325,0.3087858879412053,5.445862911632538,0.00900391554870442,0.005556900049203506,0.9882554074429717,nuScenes
G,>50,348,-1.9415143666997992,10.41635719093479,-0.02969025871745795,0.033067970050721374,0.9214889632249768,nuScenes
