cell,scheme,t_cheap,t_full,at_grid_floor,S3_target_not_reached,S4_tie,spec,system
KITTI mono RT-DETR 480->640 q_traj,S4,0.1,0.1,True,False,False,kitti_rt_480_mono,traj
KITTI mono RT-DETR 480->640 q_brake,S0,0.25,0.25,False,False,False,kitti_rt_480_mono,brake
KITTI mono RT-DETR 480->640 q_brake,S1,0.25,0.252685546875,False,False,False,kitti_rt_480_mono,brake
KITTI mono RT-DETR 480->640 q_brake,S2,0.5,0.55,False,False,False,kitti_rt_480_mono,brake
KITTI mono RT-DETR 480->640 q_brake,S3,0.25,0.25,False,False,False,kitti_rt_480_mono,brake
KITTI mono RT-DETR 480->640 q_brake,S4,0.55,0.6,False,False,False,kitti_rt_480_mono,brake
KITTI oracle Y8 320->640 q_traj,S0,0.25,0.25,False,False,False,kitti_y8_320_oracle,traj
KITTI oracle Y8 320->640 q_traj,S1,0.25,0.56396484375,False,False,False,kitti_y8_320_oracle,traj
KITTI oracle Y8 320->640 q_traj,S2,0.2,0.35,False,False,False,kitti_y8_320_oracle,traj
KITTI oracle Y8 320->640 q_traj,S3,0.25,0.3,False,False,False,kitti_y8_320_oracle,traj
KITTI oracle Y8 320->640 q_traj,S4,0.1,0.3,True,False,True,kitti_y8_320_oracle,traj
KITTI oracle Y8 320->640 q_brake,S0,0.25,0.25,False,False,False,kitti_y8_320_oracle,brake
KITTI oracle Y8 320->640 q_brake,S1,0.25,0.56396484375,False,False,False,kitti_y8_320_oracle,brake
KITTI oracle Y8 320->640 q_brake,S2,0.2,0.35,False,False,False,kitti_y8_320_oracle,brake
KITTI oracle Y8 320->640 q_brake,S3,0.25,0.3,False,False,False,kitti_y8_320_oracle,brake
KITTI oracle Y8 320->640 q_brake,S4,0.1,0.35,True,False,False,kitti_y8_320_oracle,brake
