cell,g_variant,fit_mean_G,fit_share_G_pos,fit_share_G_neg,fit_share_V_nonzero,spearman_G_V_fit,spearman_G_V_fit_affected,label_G_itself_eta20_test
nuScenes|oracle|brake|J,primary,0.10920084586279717,0.4952498967368856,0.4270962412226353,0.08013217678645188,0.08711922097588726,0.27641409337758344,0.14054729983992972
nuScenes|oracle|brake|J,dE_exact,0.8467575382073523,0.47790169351507644,0.03139198678232136,0.08013217678645188,0.07030915077873785,0.17902279128565265,0.25231426417467523
nuScenes|oracle|brake|J,dE_E6_risk_weighted,0.045077919049942246,0.3948781495249897,0.04543577034283354,0.08013217678645188,0.07941706161233451,0.2552358729217518,0.6719318687402074
nuScenes|oracle|plan_ade|JC_ade,primary,0.13276807884607095,0.5055176037834997,0.42406726221755126,0.46085128744088283,0.034427909324040926,0.05701079602883114,-0.06081257632455088
nuScenes|oracle|plan_ade|JC_ade,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.46085128744088283,0.02303867201447309,0.046096336254047354,0.12296543612842749
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.46085128744088283,0.018122477737643323,0.04692900053604643,-0.08542398047032579
nuScenes|oracle|plan_fde|JC_fde,primary,0.13276807884607095,0.5055176037834997,0.42406726221755126,0.18549658434051497,0.03936985486016574,0.07981566059951083,0.09976918951404905
nuScenes|oracle|plan_fde|JC_fde,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.18549658434051497,0.036305454504163205,0.05855824969120067,0.12124487754835049
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.18549658434051497,0.02759104637155468,0.02698962850951373,-0.035622445563965564
nuScenes|mono|brake|J,primary,0.10920084586279717,0.4952498967368856,0.4270962412226353,0.1449814126394052,0.03190284974828662,0.031534892960770965,0.1299157711559168
nuScenes|mono|brake|J,dE_exact,0.8467575382073523,0.47790169351507644,0.03139198678232136,0.1449814126394052,-0.011856324535466348,-0.09844106646343563,0.2029420961496387
nuScenes|mono|brake|J,dE_E6_risk_weighted,0.045077919049942246,0.3948781495249897,0.04543577034283354,0.1449814126394052,-0.001795538208178834,-0.01877060005171433,0.32177101493389465
nuScenes|mono|plan_ade|JC_ade,primary,0.13276807884607095,0.5055176037834997,0.42406726221755126,0.6090383604834472,0.030657026548001905,0.032713632333124014,0.23075109215346423
nuScenes|mono|plan_ade|JC_ade,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.6090383604834472,0.040600364007134015,0.05035402860715284,0.3502193072602273
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.6090383604834472,0.03357022929989096,0.049474750852771296,0.40408736165896764
nuScenes|mono|plan_fde|JC_fde,primary,0.13276807884607095,0.5055176037834997,0.42406726221755126,0.24960588544403572,0.022885701772394584,0.010533910045212608,0.1169202670291834
nuScenes|mono|plan_fde|JC_fde,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.24960588544403572,0.02233851557070061,0.026122635020808464,0.26415545449152317
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.24960588544403572,0.034476055826418474,0.07509784969434725,0.2456683542189791
KITTI|oracle|brake|J,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.20661896243291591,0.20393561718707565,0.3945982628428634,0.29177547063058434
KITTI|oracle|brake|J,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.20661896243291591,0.12585462051028873,0.15393115250696068,0.2677615519242361
KITTI|oracle|brake|J,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.20661896243291591,0.2823874493089984,0.3358148028858029,0.17780175555149894
KITTI|oracle|traj|JB,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.10979427549194991,0.09115869574399126,0.22408954758635802,0.6645534595668318
KITTI|oracle|traj|JB,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.10979427549194991,0.030545833538697935,0.2259524187571855,0.5336160799991866
KITTI|oracle|traj|JB,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.10979427549194991,0.24095311667347233,0.16507877451638778,0.05729295979983947
KITTI|mono|brake|J,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.3354203935599284,0.15506625121069686,0.2168861214310207,0.17046358944298115
KITTI|mono|brake|J,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.3354203935599284,0.06522931305945623,0.03626867809939078,0.09866740658569265
KITTI|mono|brake|J,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.3354203935599284,0.1741772074936506,0.22514455348951942,0.055816361583759966
KITTI|mono|traj|JB,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.15250447227191413,-0.005988926209937217,-0.02084182677912206,0.08003032082274873
KITTI|mono|traj|JB,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.15250447227191413,-0.017002410107077898,0.0006519143966306212,0.4732871308570774
KITTI|mono|traj|JB,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.15250447227191413,0.03148206198607999,0.06190822537823387,0.40266035024327557
nuPlan|n/a|pdm_closed|safety,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.017045454545454544,0.056306530662969166,0.31924001675964003,0.30643462649907954
nuPlan|n/a|pdm_closed|safety,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.017045454545454544,0.009655924549950446,0.07571035175337726,0.1050912415439238
nuPlan|n/a|pdm_closed|safety,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.017045454545454544,0.01167852767113285,0.12565172054223148,0.1401138701699555
nuPlan|n/a|pdm_closed|scalar_J,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.05303030303030303,0.01659644033883347,-0.002663820014410743,0.2975026963620865
nuPlan|n/a|pdm_closed|scalar_J,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.05303030303030303,0.028685163579078476,-0.011259725543505893,0.09612985209310487
nuPlan|n/a|pdm_closed|scalar_J,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.05303030303030303,0.06764305000555183,0.0584081492980288,0.13626454985734726
nuPlan|n/a|idm|safety,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.000946969696969697,0.04617409427817966,,
nuPlan|n/a|idm|safety,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.000946969696969697,0.03685856795917243,,
nuPlan|n/a|idm|safety,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.000946969696969697,0.03121559260172471,,
nuPlan|n/a|idm|scalar_J,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.01893939393939394,0.0057444835335202105,-0.04095718931454466,0.0
nuPlan|n/a|idm|scalar_J,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.01893939393939394,0.0013072159351128784,-0.05702811889977613,0.0005074176139456607
nuPlan|n/a|idm|scalar_J,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.01893939393939394,0.009957779332466969,-0.1436630413743843,0.062421159677945155
