dataset,pair,geometry,system,cell,n_frames,affected_ego,affected_camera,affected_delta,harmed_ego,harmed_camera,harmed_delta,rho_ego,rho_camera,rho_delta,all_full_ego,all_full_camera,all_full_delta,oracle20_ego,oracle20_camera,oracle20_delta,within_tolerance
nuScenes,YOLOv8s 320->640,mono,q_brake,nuScenes mono Y8 320->640,3376,454,486,32,0.42290748898678415,0.4547325102880658,0.031825021301281675,0.41219725678313957,0.5354762833963242,0.12327902661318468,0.16645983528587036,0.1299447335931296,-0.03651510169274075,0.283189959908809,0.2797375654858041,-0.003452394423004934,False
nuScenes,YOLOv8s 320->640,oracle,q_brake,nuScenes oracle Y8 320->640,3376,240,295,55,0.4041666666666667,0.4847457627118644,0.08057909604519775,0.42140513212355013,0.6021266017262223,0.1807214696026722,0.14212640543824925,0.09958698093321115,-0.0425394245050381,0.2456406258145354,0.25029816359998336,0.004657537785447946,False
KITTI,RT-DETR-l 320->640,mono,q_brake,KITTI mono RT-DETR 320->640,8008,3514,3567,53,0.4331246442800228,0.455564900476591,0.022440256196568198,0.6959858064947142,0.7960162625078837,0.10003045601316951,0.13033626331479706,0.08234554788845154,-0.04799071542634552,0.4264580233924039,0.4017878295278262,-0.024670193864577694,False
KITTI,RT-DETR-l 320->640,mono,q_traj,KITTI mono RT-DETR 320->640,8008,803,1166,363,0.47073474470734744,0.40051457975986277,-0.07022016494748468,0.7605361167099081,0.31650528235835657,-0.4440308343515515,0.02333851783783379,0.12828750421063526,0.10494898637280146,0.09746153581565828,0.18769348306492267,0.0902319472492644,False
KITTI,RT-DETR-l 480->640,mono,q_brake,KITTI mono RT-DETR 480->640,8008,3014,3091,77,0.42700729927007297,0.44548689744419284,0.01847959817411987,0.7208072667763102,0.8048020416752143,0.08399477489890406,0.08656844561862276,0.05941604260124558,-0.027152403017377175,0.3094874913693977,0.30391028423323196,-0.005577207136165718,False
KITTI,RT-DETR-l 480->640,mono,q_traj,KITTI mono RT-DETR 480->640,8008,492,730,238,0.4532520325203252,0.4136986301369863,-0.039553402383338876,0.57811722139401,0.5480288170458063,-0.0300884043482037,0.02957236084247574,0.03706473372294283,0.007492372880467092,0.07009615547757264,0.08200685158880944,0.011910696111236796,True
KITTI,YOLOv8s 320->640,mono,q_brake,KITTI mono Y8 320->640,8008,2931,3026,95,0.37495735243944045,0.4071381361533377,0.032180783713897265,0.16865736519231755,0.19152415505145867,0.022866789859141118,0.519594519802661,0.5016626047116192,-0.01793191509104186,0.6243202545108347,0.6199579483173769,-0.004362306193457788,True
KITTI,YOLOv8s 320->640,mono,q_traj,KITTI mono Y8 320->640,8008,957,1355,398,0.41901776384535006,0.35202952029520296,-0.0669882435501471,0.27557156420120077,0.06219486441839134,-0.21337669978280943,0.13066069713065817,0.424294266112015,0.29363356898135684,0.18036384365086794,0.4524332934569339,0.27206944980606595,False
KITTI,YOLOv8s 320->640,oracle,q_brake,KITTI oracle Y8 320->640,8008,1753,1846,93,0.3091842555618939,0.3412784398699892,0.0320941843080953,0.08074935246291767,0.09109588298414505,0.010346530521227373,0.6819793092547943,0.6752883148104513,-0.006690994444343068,0.7418861341920174,0.742969805250284,0.0010836710582665665,True
KITTI,YOLOv8s 320->640,oracle,q_traj,KITTI oracle Y8 320->640,8008,637,779,142,0.0423861852433281,0.09499358151476252,0.05260739627143442,0.003690827226655898,0.004000053212079966,0.0003092259854240685,0.6899224631618471,0.6896389125273614,-0.0002835506344857075,0.6924782808546924,0.692408583706688,-6.969714800442173e-05,False
KITTI,YOLOv8s 384->640,mono,q_brake,KITTI mono Y8 384->640,8008,2606,2646,40,0.4059861857252494,0.4459561602418745,0.039969974516625095,0.473347638833661,0.5512850317471811,0.07793739291352014,0.19595748180630174,0.16267845116400656,-0.033279030642295176,0.37208127458562273,0.362542956383722,-0.009538318201900708,False
KITTI,YOLOv8s 384->640,mono,q_traj,KITTI mono Y8 384->640,8008,697,920,223,0.4375896700143472,0.4543478260869565,0.01675815607260933,0.45639589841538514,0.21065344354519142,-0.24574245487019372,0.06015897019426755,0.17819163559951962,0.11803266540525206,0.1106668805825832,0.2257457565911603,0.11507887600857711,False
KITTI,YOLOv8s 512->640,mono,q_brake,KITTI mono Y8 512->640,8008,2266,2325,59,0.4298323036187114,0.4572043010752688,0.02737199745655744,0.6179504345033725,0.6794995286298516,0.06154909412647913,0.09789597105910722,0.07984635537649912,-0.0180496156826081,0.25623892787799274,0.24913022759422127,-0.007108700283771474,False
KITTI,YOLOv8s 512->640,mono,q_traj,KITTI mono Y8 512->640,8008,446,624,178,0.47757847533632286,0.40705128205128205,-0.07052719328504081,1.109126988097385,0.43522822619035645,-0.6738987619070287,-0.005660235157047185,0.04721799483964695,0.052878229996694136,0.05186833482470887,0.08360544387893236,0.031737109054223486,False
