setting,source,affected_shipped,affected_recomputed,affected_ok,harmed_shipped,harmed_recomputed,harmed_ok,rho_shipped,rho_recomputed,rho_ok,all_full_shipped,all_full_recomputed,all_full_ok,oracle20_shipped,oracle20_recomputed,oracle20_ok,ok
NS_320 mono q_brake,calibration_cells.csv S0 all,454,454,True,0.4229074889867841,0.42290748898678415,True,0.4121972567831394,0.41219725678313957,True,0.1664598352858703,0.16645983528587036,True,0.2831899599088089,0.283189959908809,True,True
NS_320 oracle q_brake,calibration_cells.csv S0 all,240,240,True,0.4041666666666667,0.4041666666666667,True,0.4214051321235501,0.42140513212355013,True,0.1421264054382492,0.14212640543824925,True,0.2456406258145354,0.2456406258145354,True,True
RT_320 mono q_brake,the shipped per-frame tables,3514,3514,True,0.4331246442800228,0.4331246442800228,True,0.6959858064947142,0.6959858064947142,True,0.13033626331479706,0.13033626331479706,True,0.4264580233924039,0.4264580233924039,True,True
RT_320 mono q_traj,the shipped per-frame tables,803,803,True,0.47073474470734744,0.47073474470734744,True,0.7605361167099081,0.7605361167099081,True,0.02333851783783379,0.02333851783783379,True,0.09746153581565828,0.09746153581565828,True,True
RT_480 mono q_brake,calibration_cells.csv S0 all,3014,3014,True,0.4270072992700729,0.42700729927007297,True,0.7208072667763099,0.7208072667763102,True,0.0865684456186227,0.08656844561862276,True,0.3094874913693977,0.3094874913693977,True,True
RT_480 mono q_traj,calibration_cells.csv S0 all,492,492,True,0.4532520325203252,0.4532520325203252,True,0.57811722139401,0.57811722139401,True,0.0295723608424757,0.02957236084247574,True,0.0700961554775726,0.07009615547757264,True,True
Y8_320 mono q_brake,calibration_cells.csv S0 all,2931,2931,True,0.3749573524394404,0.37495735243944045,True,0.1686573651923174,0.16865736519231755,True,0.519594519802661,0.519594519802661,True,0.6243202545108347,0.6243202545108347,True,True
Y8_320 mono q_traj,calibration_cells.csv S0 all,957,957,True,0.41901776384535,0.41901776384535006,True,0.2755715642012006,0.27557156420120077,True,0.1306606971306581,0.13066069713065817,True,0.1803638436508679,0.18036384365086794,True,True
Y8_320 oracle q_brake,calibration_cells.csv S0 all,1753,1753,True,0.3091842555618939,0.3091842555618939,True,0.0807493524629176,0.08074935246291767,True,0.6819793092547943,0.6819793092547943,True,0.7418861341920174,0.7418861341920174,True,True
Y8_320 oracle q_traj,calibration_cells.csv S0 all,637,637,True,0.0423861852433281,0.0423861852433281,True,0.0036908272266558,0.003690827226655898,True,0.6899224631618471,0.6899224631618471,True,0.6924782808546924,0.6924782808546924,True,True
Y8_384 mono q_brake,calibration_cells.csv S0 all,2606,2606,True,0.4059861857252494,0.4059861857252494,True,0.4733476388336607,0.473347638833661,True,0.1959574818063017,0.19595748180630174,True,0.3720812745856227,0.37208127458562273,True,True
Y8_384 mono q_traj,calibration_cells.csv S0 all,697,697,True,0.4375896700143472,0.4375896700143472,True,0.4563958984153852,0.45639589841538514,True,0.0601589701942675,0.06015897019426755,True,0.1106668805825832,0.1106668805825832,True,True
Y8_512 mono q_brake,calibration_cells.csv S0 all,2266,2266,True,0.4298323036187114,0.4298323036187114,True,0.6179504345033721,0.6179504345033725,True,0.0978959710591072,0.09789597105910722,True,0.2562389278779927,0.25623892787799274,True,True
Y8_512 mono q_traj,calibration_cells.csv S0 all,446,446,True,0.4775784753363228,0.47757847533632286,True,1.1091269880973855,1.109126988097385,True,-0.0056602351570471,-0.005660235157047185,True,0.0518683348247088,0.05186833482470887,True,True
