pair,system,mono_affected,mono_harmed,mono_rho,mono_all_full,mono_oracle20,reference_affected,reference_harmed,reference_rho,reference_all_full,reference_oracle20,harmed_ratio,rho_ratio,reading,pairs,section,geometry,n,reference,affected,harmed,rho,all_full,oracle20,shipped_affected,shipped_harmed,shipped_rho,shipped_all_full,shipped_oracle20,reproduced_3dp
YOLOv8s 320->640,q_brake,3026.0,0.4071381361533377,0.19152415505145867,0.5016626047116192,0.6199579483173769,1846.0,0.3412784398699892,0.09109588298414505,0.6752883148104513,0.742969805250284,0.8382374667585936,0.4756365219816238,persists without lifting error,,,,,,,,,,,,,,,,
YOLOv8s 320->640,q_traj,1355.0,0.35202952029520296,0.06219486441839134,0.424294266112015,0.4524332934569339,779.0,0.09499358151476252,0.004000053212079966,0.6896389125273614,0.692408583706688,0.269845498852208,0.06431484736699788,geometry-driven,,,,,,,,,,,,,,,,
YOLOv8s 384->640,q_brake,2646.0,0.4459561602418745,0.5512850317471811,0.16267845116400656,0.362542956383722,1362.0,0.4412628487518355,0.31810821510359577,0.3080848917471616,0.4518090679065284,0.9894758455909803,0.57703038679541,persists without lifting error,,,,,,,,,,,,,,,,
YOLOv8s 384->640,q_traj,920.0,0.4543478260869565,0.21065344354519142,0.17819163559951962,0.2257457565911603,292.0,0.22945205479452055,0.004655957762480415,0.31513827286329416,0.31661240685669695,0.5050140918922462,0.022102452654573265,persists without lifting error,,,,,,,,,,,,,,,,
YOLOv8s 512->640,q_brake,2325.0,0.4572043010752688,0.6794995286298516,0.07984635537649912,0.24913022759422127,1078.0,0.44155844155844154,0.5131886643506093,0.1390961476084124,0.28572906467525333,0.9657792818658293,0.7552450630619377,persists without lifting error,,,,,,,,,,,,,,,,
YOLOv8s 512->640,q_traj,624.0,0.40705128205128205,0.43522822619035645,0.04721799483964695,0.08360544387893236,185.0,0.2810810810810811,0.05482462615013763,0.1129417869288504,0.11949294284807575,0.6905298999787189,0.12596753347095394,persists without lifting error,,,,,,,,,,,,,,,,
RT-DETR-l 320->640,q_brake,3567.0,0.455564900476591,0.7960162625078837,0.08234554788845154,0.4017878295278262,2644.0,0.5056732223903178,0.7983200153379112,0.10264767223425221,0.5089631100787584,1.1099916210869314,1.0028941027194211,persists without lifting error,,,,,,,,,,,,,,,,
RT-DETR-l 320->640,q_traj,1166.0,0.40051457975986277,0.31650528235835657,0.12828750421063526,0.18769348306492267,512.0,0.248046875,0.0342289571782075,0.14804358161785186,0.15329055754798518,0.6193204630620985,0.10814655895522297,persists without lifting error,,,,,,,,,,,,,,,,
RT-DETR-l 480->640,q_brake,3091.0,0.44548689744419284,0.8048020416752143,0.05941604260124558,0.30391028423323196,2338.0,0.4803250641573995,0.9485786847027087,0.019920097777009798,0.38738989195127277,1.0782024497534655,1.1786484571140252,persists without lifting error,,,,,,,,,,,,,,,,
RT-DETR-l 480->640,q_traj,730.0,0.4136986301369863,0.5480288170458063,0.03706473372294283,0.08200685158880944,256.0,0.3984375,0.3579316713253312,0.008927239773214787,0.01390387809914572,0.963110513245033,0.6531256390034211,persists without lifting error,,,,,,,,,,,,,,,,
summary over pairs,q_brake,,,,,,,,,,,,,persists without lifting error,5.0,,,,,,,,,,,,,,,
summary over pairs,q_traj,,,,,,,,,,,,,persists without lifting error,5.0,,,,,,,,,,,,,,,
YOLOv8s 320->640,q_brake,,,,,,,,,,,,,,,sanity,oracle,1.0,calibration_cells.csv S0 all,1846.0,0.3412784398699892,0.09109588298414505,0.6752883148104513,0.742969805250284,1846.0,0.3412784398699892,0.091095882984145,0.6752883148104513,0.742969805250284,True
YOLOv8s 320->640,q_traj,,,,,,,,,,,,,,,sanity,oracle,1.0,calibration_cells.csv S0 all,779.0,0.09499358151476252,0.004000053212079966,0.6896389125273614,0.692408583706688,779.0,0.0949935815147625,0.0040000532120799,0.6896389125273614,0.692408583706688,True
