dataset,detector,cheap_mode,full_mode,geometry,n_frames,n_seqs,JB_all_cheap,JB_all_full,JB_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJB_nonzero,frames_dJB_pos,frames_dJB_neg,plan_change_rate,collision_rate_cheap,collision_rate_full
KITTI,YOLOv8s,cheap_320,full_640,mono,8008,21,20414.639598770045,17805.23032298485,16777.97948125203,0.1781398148090314,0.1278204919151454,678,350,328,0.08466533466533467,0.14647852147852147,0.12412587412587413
KITTI,YOLOv8s,cheap_320,full_640,oracle,8008,21,8484.564075786537,2685.8339689150334,2666.0823371003216,0.6857726203389924,0.6834446714145357,463,449,14,0.057817182817182816,0.04995004995004995,0.0018731268731268732
KITTI,YOLOv8s,cheap_384,full_640,mono,8008,21,18883.24513858691,17755.86392002377,16800.961913231084,0.11027147135323637,0.0597027264270057,458,235,223,0.05719280719280719,0.13336663336663337,0.12400099900099901
KITTI,YOLOv8s,cheap_512,full_640,mono,8008,21,17647.360347654736,17751.307910399333,16736.645498583952,0.05160629301661052,-0.005890261245694541,266,123,143,0.033216783216783216,0.12325174825174826,0.12400099900099901
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,mono,8008,21,17766.293016631098,17357.267655408872,16044.446748012142,0.09691646237102634,0.02302254954589208,517,260,257,0.06456043956043957,0.1245004995004995,0.121003996003996
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,mono,8008,21,17880.42031162065,17354.96496840912,16632.498857842253,0.06979262411227344,0.02938719191461251,295,167,128,0.03683816183816184,0.12512487512487513,0.121003996003996
