task,J_all_cheap,J_all_full,J_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJ_nonzero,frames_dJ_pos,frames_dJ_neg,action_changes,n_frames
longitudinal,1484.9811910639744,1240.4714665968495,1072.6350156755661,0.27767770923277907,0.16465509862245198,273,165,108,273,3376
lateral,206.39288081272278,211.98978199366917,190.9100944230333,0.07501608741891766,-0.027117704636454576,44,18,26,44,3376
plannerC_path_dev,6352.777933984372,6287.0636414739765,5710.069547599158,0.10116966043264737,0.010344182213399089,1951,1020,931,-1,3376
plannerC_ade_truth,10315.27670090333,10151.716404588795,9767.214881191929,0.053131082723491735,0.015856123016090528,1612,818,794,-1,2655
plannerC_fde_truth,19939.48922989839,19711.5229332432,18564.102476734755,0.06897803335409931,0.011432905528661483,656,327,329,-1,2655
