dataset,detector,cheap_mode,full_mode,task,geometry,perception_metric,best_perception_metric,n_sequences,n_frames,action_change_rate,improved_same_action_rate,harmful_full_rate,corr_deltaE_deltaJ,eta_random_20,eta_uncertainty_20,eta_criticality_20,eta_perception_oracle_20,eta_best_perception_metric_20,eta_multimetric_perception_oracle_20,eta_decision_oracle_20,top20_cross_task_overlap,best_trivial_heuristic,best_trivial_eta20,eta_perception_oracle_10,eta_perception_oracle_30,eta_perception_oracle_50
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,21,8008,0.2591158841158841,0.6868353502016868,0.08866133866133866,0.06048277420975206,0.17571547684889133,0.021238152941402074,0.02586344656105646,0.16215642043679446,0.27613883726591565,0.6721289327176432,1.0,0.3895131086142322,ego speed,0.7990340335922392,0.04878589466569415,0.2558862341093385,0.5230044746273498
KITTI,YOLOv8s,cheap_320,full_640,lateral,mono,E1_fn_only,E1_fn_only,21,8008,0.0673076923076923,0.9176751008434176,0.04607892107892108,-0.014850719541282618,-0.4017257940727852,-0.2053676540446081,0.01697895131902041,-0.22953499846909034,-0.22953499846909034,-0.11814002023826058,1.0,0.3895131086142322,criticality,0.01697895131902041,-0.06246360139275936,-0.4178471681177304,-0.9552923879089232
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,oracle,E1_fn_only,E6_risk_weighted,21,8008,0.16183816183816183,0.7915291529152916,0.03983516483516483,0.1456496869476866,0.19681398521032542,0.005138831833190352,0.023271905300886003,0.2002290396025172,0.33046900268932033,0.809550928251059,1.0,0.5767790262172284,ego speed,0.869302683222196,0.0700605902575169,0.30872518981824654,0.6078222300607337
KITTI,YOLOv8s,cheap_320,full_640,lateral,oracle,E1_fn_only,E1_fn_only,21,8008,0.04220779220779221,0.9433443344334433,0.03396603396603397,-0.05586854836625794,-1.0891586627672887,-0.06943807792371928,-0.18497432928517873,-1.0413168885559656,-1.0413168885559656,-0.23123084014924628,1.0,0.5767790262172284,uncertainty,-0.06943807792371928,-0.2476551685743596,-1.46193363994623,-2.9494048956856043
KITTI,YOLOv8s,cheap_384,full_640,longitudinal,mono,E1_fn_only,E4_localization,21,8008,0.22115384615384615,0.7233079122974261,0.08803696303696304,0.047281784784532606,0.09976448917684659,0.07699820461323147,0.06510247683619394,0.1519842035668382,0.2223159308798259,0.3876825461715348,1.0,0.519350811485643,ego speed,0.5281414210456561,0.09254605860222981,0.2447293281899218,0.4739747370688692
KITTI,YOLOv8s,cheap_384,full_640,lateral,mono,E1_fn_only,E5_fp_heavy,21,8008,0.04070929070929071,0.9501906577693041,0.02197802197802198,-0.00905404680945375,-0.19241872485506725,-0.11856812053617723,0.1387434986392745,-0.2966303320304692,-0.18626937801865925,-0.2731252216598798,1.0,0.519350811485643,criticality,0.1387434986392745,-0.161330790250349,-0.35309151683789375,-0.5001903202105965
KITTI,YOLOv8s,cheap_512,full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,21,8008,0.18356643356643357,0.767333049766057,0.07867132867132867,0.05282227257231048,0.06505334601929359,0.09111682980717492,0.08050843982291551,0.1709511372630371,0.23794393703167388,0.21278871342203706,1.0,0.5755305867665418,ego speed,0.24483033210533475,0.0747086549638359,0.257904662803272,0.303128876067688
KITTI,YOLOv8s,cheap_512,full_640,lateral,mono,E1_fn_only,E6_risk_weighted,21,8008,0.020604395604395604,0.981709910676308,0.00999000999000999,-0.024941610980177113,-0.1323628982004165,0.04930299183777741,0.17164349129695136,-0.28301543789445044,0.010585470317094774,-0.7637977017652741,1.0,0.5755305867665418,criticality,0.17164349129695136,-0.19473861258136504,-0.31771757848390697,-0.309056841447488
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,longitudinal,mono,E1_fn_only,E5_fp_heavy,21,8008,0.29395604395604397,0.6683254002596278,0.12987012987012986,0.003247016836498094,0.07487136859911782,0.047850017582623416,0.03388511638272381,0.0740781245299297,0.11885343864828593,0.1534468449758091,1.0,0.3439450686641698,ego speed,0.27555168115431156,0.012348820545398759,0.1440542596018904,0.2549593901250502
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,lateral,mono,E1_fn_only,E5_fp_heavy,21,8008,0.045579420579420576,0.9472090004327132,0.027722277722277724,-0.041753366794719735,-0.19283132958743524,-0.4773568006256182,-0.4253582434930003,-0.4484549993032686,-0.364404083336307,-0.20603638782444356,1.0,0.3439450686641698,few detections,-0.017884207923989766,-0.16463431446695315,-0.6494443484066796,-0.8776588632086556
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,longitudinal,mono,E1_fn_only,E5_fp_heavy,21,8008,0.24313186813186813,0.7311475409836066,0.10252247752247752,0.0004068265727547494,0.06509196934990695,0.1341073412350826,0.06698292229190128,0.10442459133605804,0.1366636656241017,-0.004633852146678471,1.0,0.44756554307116103,n detections,0.13618600617633447,0.04857349987571103,0.1340348108324973,0.18094522819161704
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,lateral,mono,E1_fn_only,E6_risk_weighted,21,8008,0.022477522477522476,0.9726775956284153,0.01073926073926074,0.0005580733088523948,0.0034282956196336526,-0.046265818287292176,0.11788117355211444,-0.09129188421347814,-0.041609488968056794,0.13794480649069388,1.0,0.44756554307116103,criticality,0.11788117355211444,-0.05487793788323971,-0.09599367643408833,-0.0342060096517725
nuScenes,YOLOv8s,ns_cheap_320,ns_full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,85,3376,0.0808649289099526,0.891661195009849,0.031990521327014215,0.005635380553375443,0.15811289489945451,0.24698358188073788,0.1764053073874748,0.05275328770516546,0.22663684210831553,0.3500913923487005,1.0,0.802962962962963,speed + detections,0.28848250269869846,0.01099136294372247,0.1171693165706564,0.25986190230747747
nuScenes,YOLOv8s,ns_cheap_320,ns_full_640,lateral,mono,E1_fn_only,E4_localization,85,3376,0.013033175355450236,0.9816152330925805,0.007701421800947867,0.00554234058410735,0.033779122200325466,0.27988722628126284,-0.2715955968849871,0.33670297965892515,0.4521537748200825,0.24547263103507172,1.0,0.802962962962963,n detections,0.3199580779453193,0.20786040563565963,0.07022918545356666,-0.3379324034313928
nuScenes,YOLOv8s,ns_cheap_320,ns_full_640,longitudinal,oracle,E1_fn_only,E6_risk_weighted,85,3376,0.0417654028436019,0.9409061063690085,0.01481042654028436,0.07898202256660859,0.133239357122276,0.004778936820655849,0.18193207218700974,0.1714105327189391,0.5747683278270167,0.5556814910750099,1.0,0.8770370370370371,ego speed,0.3033383132552623,0.10289323433778792,0.3278742254628793,0.5632272577398092
nuScenes,YOLOv8s,ns_cheap_320,ns_full_640,lateral,oracle,E1_fn_only,E4_localization,85,3376,0.006812796208530806,0.9908076165462902,0.003258293838862559,0.014216426862207275,0.11644623926522589,0.2621578349730333,-0.26111143656589325,0.266236062398779,0.36971530074575876,-0.26114337138679355,1.0,0.8770370370370371,n detections,0.3400466207875235,0.2163236742868439,0.20435025609979154,0.006286256839913348
