track,geometry,system,target,architecture,objective,variant,quota,k,ndg,ndg_lo,ndg_hi,minus_random,minus_random_lo,minus_random_hi,boot_dropped,n_frames,n_units,budget_ms_feasible,budget_ms_escalated_frac,budget_ms_ndg,budget_mJ_feasible,budget_mJ_escalated_frac,budget_mJ_ndg,counterpart,minus_V,minus_V_lo,minus_V_hi
KITTI,mono,brake,J,R1_mlp_reg,V,,0.1,354,0.08517014281623507,-0.017012938162575847,0.24594451339083745,0.046612269574549364,-0.02453859202663124,0.16066896160303692,3,3536,6,True,0.06456837818364361,0.058806000255164984,False,,,,,,
KITTI,mono,brake,J,R1_mlp_reg,V,,0.2,707,0.17819172422056748,0.06473530903846711,0.31632572259612013,0.09786894793852524,0.012649854058586135,0.19426430080455728,4,3536,6,True,0.16456837818364362,0.12061132771328643,True,0.02320662357036599,0.021495809646935423,,,,
KITTI,mono,brake,J,R1_mlp_reg,V,,0.3,1061,0.268557608121625,0.07040214248477189,0.3948450196673877,0.14360727261843131,0.055036996810400626,0.2049391393151036,4,3536,6,True,0.2645683781836436,0.2511706982561873,True,0.12320662357036595,0.09279080029610712,,,,
KITTI,mono,brake,J,R1_mlp_reg,V,,0.5,1768,0.36315018922985437,0.05306029481784928,0.545091908114999,0.14145083127208455,0.04300865844171581,0.2144134778841734,4,3536,6,True,0.4645683781836436,0.357698479386255,True,0.32320662357036595,0.30490146513653205,,,,
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.1,354,0.0012579043397630827,-0.06634100149496182,0.17987448441107165,-0.03220197017497064,-0.08989836652808929,0.06348523470651346,3,3536,6,True,0.06456837818364361,-0.027933019253960977,False,,,R1_mlp_reg|V,-0.07881423974952,-0.23868836522568912,0.03267910956759129
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.2,707,0.046354288113968155,-0.0702240600984403,0.23059513780860885,-0.01779565919373219,-0.10754681125629442,0.07998892518455052,4,3536,6,True,0.16456837818364362,0.05669104577187406,True,0.02320662357036599,-0.017797298841168856,R1_mlp_reg|V,-0.11566460713225742,-0.23668589345463847,0.053306822479833364
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.3,1061,0.1294903163073867,-0.12449714463000099,0.3276676662544965,-0.01301617931674197,-0.11266534525621676,0.10895652092115812,4,3536,6,True,0.2645683781836436,0.08401280768976846,True,0.12320662357036595,0.009099793081927052,R1_mlp_reg|V,-0.15662345193517327,-0.28496785437872346,0.010725297310530069
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.5,1768,0.23051122729787415,-0.07028355433711857,0.4897610984836505,0.035043932204996395,-0.04537719196492991,0.11728507752790415,4,3536,6,True,0.4645683781836436,0.2305913291360394,True,0.32320662357036595,0.12879381729191952,R1_mlp_reg|V,-0.10640689906708814,-0.2225886588100699,0.03085774913937634
KITTI,mono,brake,J,R1_mlp_reg,G,,0.1,354,0.09142193896985391,0.010836451436117684,0.17465422462789837,0.04939637056077625,-0.049710789162031845,0.18008900261825783,3,3536,6,True,0.06456837818364361,0.0692382069948497,False,,,R1_mlp_reg|V,0.002784100986226884,-0.12512848126490977,0.1451973754414246
KITTI,mono,brake,J,R1_mlp_reg,G,,0.2,707,0.10775424574678186,0.014063090514055212,0.19405638166664554,0.03507229462236896,-0.07384699475055563,0.19496230010212473,4,3536,6,True,0.16456837818364362,0.09720468734706132,True,0.02320662357036599,0.08235714938583502,R1_mlp_reg|V,-0.06279665331615629,-0.1743284151699756,0.08767405886731044
