task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,tie_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,tie_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,tie_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,tie_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,oracle,random,False,3376,85,0.06290591164018182,0.0154522475027281,,-0.034944128788939585,0.15828240679421662,0.0,0.12192626957352913,0.02995004516127338,,-0.043303182310104875,0.24949497730640294,0.0,0.19127208175516355,0.04698419386318726,,-0.006256295501429276,0.3340424010089193,0.0,0.32485199020677114,0.07979684617148843,,0.05585489089379593,0.4644886014878426,0.0,,,,,
longitudinal,oracle,uncertainty,False,3376,85,-0.045992159758103036,-0.0112975429055425,0.0029585798816568047,-0.1718419192854487,0.10474474699865755,0.0,0.005350871117431965,0.0013143913299389076,0.0014814814814814814,-0.22553635695433635,0.19057353592609919,0.0,0.03198138099321331,0.00785592644158599,0.0009871668311944718,-0.21017133906132382,0.25314171851177303,0.0,0.19964723656539252,0.049041472132065514,0.0005924170616113745,-0.09914218131571932,0.42708355493947053,0.0,-0.02103476670248856,-0.0170408788003372,0.529584110193676,0.05621301775147929,0.11703703703703704
longitudinal,oracle,criticality,False,3376,85,0.061498481002948975,0.015106525360207672,0.0029585798816568047,-0.09748019976015583,0.26986407470849905,0.0,0.18046904348474593,0.044330528781743504,0.0014814814814814814,-0.07543128710706205,0.39796918918977175,0.0,0.16258671608160305,0.039937902687415074,0.0009871668311944718,-0.07584817550212725,0.4417772553202595,0.0,0.40618508616772897,0.09977555876277173,0.0005924170616113745,0.1196989409529528,0.6877059523864775,0.0,0.0359074260478035,0.0288248372110192,0.46266749424951625,0.11242603550295859,0.20296296296296296
longitudinal,oracle,perception_oracle_dE,False,3376,85,0.10121622128723413,0.024862815939578644,0.03550295857988166,0.03377057060302621,0.17821684113696062,0.0,0.16996351405375298,0.041749943957801385,0.5170370370370371,0.07108340922471312,0.27741768793896354,0.0,0.324700933904962,0.07975974060697881,0.3168805528134255,0.16246342105083433,0.4637665669161005,0.0,0.5574541693856628,0.13693339103081598,0.09774881516587677,0.2684034855177633,0.7386348058482689,0.0,0.05887141258231441,0.053487332868023776,0.4217066254189224,0.10946745562130178,0.16148148148148148
longitudinal,oracle,best_dE_metric (E6_risk_weighted),False,3376,85,0.3930722871579988,0.09655452260784139,0.0029585798816568047,0.18590724012099646,0.6427468034826593,0.0,0.566994791077442,0.13927695531384432,0.0014814814814814814,0.3126997307119859,0.743233377271484,0.0,0.5659006460230807,0.13900818883795912,0.0009871668311944718,0.30285270732515657,0.738544798131846,0.0,0.5553253686136561,0.13641047107694576,0.1362559241706161,0.2607602504951742,0.7460882559053744,0.0,0.07412223402951337,0.0647444700200012,0.4098485527377005,0.1952662721893491,0.25037037037037035
longitudinal,oracle,multimetric_dE_oracle,False,3376,85,0.4464222807430052,0.10965944841926378,0.0029585798816568047,0.2317394165271041,0.6376138400174608,0.0,0.5422739820312407,0.1332045203090938,0.0014814814814814814,0.35862004489428334,0.6939283716027534,0.0,0.6245890164386878,0.1534244368748841,0.0009871668311944718,0.38751599735596187,0.7543615149719609,0.0,0.6797779436977002,0.16698107950482072,0.0017772511848341231,0.4667838075065428,0.7952624134652473,0.0,0.10303835403483771,0.083250299624613,0.387192689825223,0.16568047337278108,0.24296296296296296
longitudinal,oracle,PKL_gain,False,3376,85,0.17466032079302946,0.04290367050456718,0.0029585798816568047,-0.03272709630867231,0.37573746034764716,0.0,0.2386359883084487,0.058618693509957374,0.0014814814814814814,0.004597769047563924,0.42738457946936215,0.0,0.3073007523945286,0.07548554913146943,0.0009871668311944718,0.04921082601146035,0.5134210343663319,0.0,0.3878046892322774,0.09526058655682786,0.283175355450237,0.14567707196445998,0.5993663754292287,0.0,0.030566048233639304,0.02606083897475209,0.4654014244091939,0.15088757396449703,0.21777777777777776
longitudinal,oracle,TIP_gain,False,3376,85,0.1642309621560044,0.040341796322124125,0.0029585798816568047,-0.061550154556889475,0.36660362085351417,0.0,0.17021743070949685,0.04181231620402304,0.0014814814814814814,-0.13760865610404818,0.40812167408015415,0.0,0.19852569974424297,0.048765977125444296,0.0009871668311944718,-0.10325673640684725,0.4815921935347816,0.0,0.26366580737742323,0.06476703393008486,0.3015402843601896,-0.013546827754397,0.5498102739384253,0.0,0.001034884751008936,0.0009945657744535388,0.4965593061606743,0.14497041420118342,0.21777777777777776
longitudinal,oracle,decision_oracle_dJ,False,3376,85,1.0,0.2456406258145349,0.5769230769230769,1.0,1.0,0.0,1.0,0.2456406258145349,0.7881481481481482,1.0,1.0,0.0,1.0,0.2456406258145349,0.8588351431391905,1.0,1.0,0.0,1.0,0.2456406258145349,0.9152843601895735,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
longitudinal,oracle,uncertainty [scene-z],True,3376,85,-0.021335977250317915,-0.0052409828041327725,0.0029585798816568047,-0.08251838109669911,0.07843703016561125,0.0,-0.01229349057941906,-0.0030197807193735873,0.0014814814814814814,-0.17967386142445327,0.1393549627758875,0.0,0.11282872719325714,0.027715319157609115,0.0009871668311944718,-0.0727057193616421,0.32187522310068645,0.0,0.26493514288269315,0.06507883429796797,0.0005924170616113745,0.029689331321441925,0.4680406830097819,0.0,0.017440348207316162,0.014065109180777417,0.48201307475987,0.07988165680473373,0.21185185185185185
