task,J_all_cheap,J_all_full,J_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJ_nonzero,frames_dJ_pos,frames_dJ_neg,action_changes,n_frames
longitudinal,914.6167785351099,784.6255834484035,689.9497406752716,0.2456406258145349,0.1421264054382492,240,143,97,141,3376
lateral,148.35413109683782,146.9774530765605,137.59035683666335,0.07255459743920743,0.00927967431778965,40,23,17,23,3376
plannerC_path_dev,4755.779842275271,4399.740592792583,4105.455978647011,0.13674389589008623,0.07486453563677817,1413,835,578,-1,3376
plannerC_ade_truth,10142.675398477026,10009.675979119957,9695.50977146692,0.044087541939600156,0.013112853771997843,1179,579,600,-1,2655
plannerC_fde_truth,19699.2823730143,19392.36508371184,18615.45939454624,0.055018399043447845,0.015580125381770222,478,259,219,-1,2655
