cell,t_cheap,t_full,affected,harm_rate,rho
nuScenes oracle Y8 320->640 q_brake,0.15,0.15,181,0.3259668508287293,0.41258481349042414
nuScenes oracle Y8 320->640 q_brake,0.15,0.25,168,0.30952380952380953,0.3586579378401302
nuScenes oracle Y8 320->640 q_brake,0.15,0.35,158,0.2974683544303797,0.3587513565148084
nuScenes oracle Y8 320->640 q_brake,0.15,0.45,148,0.30405405405405406,0.4149479973758362
nuScenes oracle Y8 320->640 q_brake,0.15,0.55,154,0.38311688311688313,0.6296618367372138
nuScenes oracle Y8 320->640 q_brake,0.25,0.15,156,0.3717948717948718,0.48183826088453746
nuScenes oracle Y8 320->640 q_brake,0.25,0.25,141,0.3546099290780142,0.41816360735952834
nuScenes oracle Y8 320->640 q_brake,0.25,0.35,127,0.3464566929133858,0.41496708169637386
nuScenes oracle Y8 320->640 q_brake,0.25,0.45,117,0.358974358974359,0.48815410530735515
nuScenes oracle Y8 320->640 q_brake,0.25,0.55,105,0.44761904761904764,0.7335060854276048
nuScenes oracle Y8 320->640 q_brake,0.35,0.15,161,0.37267080745341613,0.3976670495995195
nuScenes oracle Y8 320->640 q_brake,0.35,0.25,140,0.35,0.3279645308060142
nuScenes oracle Y8 320->640 q_brake,0.35,0.35,124,0.3387096774193548,0.3166846101625441
nuScenes oracle Y8 320->640 q_brake,0.35,0.45,112,0.3482142857142857,0.3487941178979654
nuScenes oracle Y8 320->640 q_brake,0.35,0.55,96,0.4375,0.46702785652722795
nuScenes oracle Y8 320->640 q_brake,0.45,0.15,185,0.34594594594594597,0.36404562792772155
nuScenes oracle Y8 320->640 q_brake,0.45,0.25,162,0.32098765432098764,0.29903804807966566
nuScenes oracle Y8 320->640 q_brake,0.45,0.35,142,0.3028169014084507,0.2796839232529731
nuScenes oracle Y8 320->640 q_brake,0.45,0.45,126,0.30158730158730157,0.2730130348830418
nuScenes oracle Y8 320->640 q_brake,0.45,0.55,104,0.36538461538461536,0.34102826523181823
nuScenes oracle Y8 320->640 q_brake,0.55,0.15,221,0.2986425339366516,0.29868091545070563
nuScenes oracle Y8 320->640 q_brake,0.55,0.25,198,0.2727272727272727,0.2443362410165464
nuScenes oracle Y8 320->640 q_brake,0.55,0.35,178,0.25280898876404495,0.2260392299231662
nuScenes oracle Y8 320->640 q_brake,0.55,0.45,160,0.24375,0.21312177202291346
nuScenes oracle Y8 320->640 q_brake,0.55,0.55,129,0.2713178294573643,0.228657070057641
nuScenes oracle Y8 320->640 q_plan,0.15,0.15,1382,0.4869753979739508,0.7518397928181331
nuScenes oracle Y8 320->640 q_plan,0.15,0.25,1282,0.48829953198127923,0.7216094894749102
nuScenes oracle Y8 320->640 q_plan,0.15,0.35,1236,0.48705501618122976,0.7237032170828834
nuScenes oracle Y8 320->640 q_plan,0.15,0.45,1214,0.4901153212520593,0.783981003519816
nuScenes oracle Y8 320->640 q_plan,0.15,0.55,1215,0.4773662551440329,0.8396835716183005
nuScenes oracle Y8 320->640 q_plan,0.25,0.15,1300,0.5092307692307693,0.7536217896601556
nuScenes oracle Y8 320->640 q_plan,0.25,0.25,1179,0.5089058524173028,0.7035475557548901
nuScenes oracle Y8 320->640 q_plan,0.25,0.35,1095,0.5068493150684932,0.6929359647051498
nuScenes oracle Y8 320->640 q_plan,0.25,0.45,1044,0.5038314176245211,0.7594206003643746
nuScenes oracle Y8 320->640 q_plan,0.25,0.55,1014,0.48520710059171596,0.8193032430405102
nuScenes oracle Y8 320->640 q_plan,0.35,0.15,1305,0.4957854406130268,0.6757634561989094
nuScenes oracle Y8 320->640 q_plan,0.35,0.25,1185,0.4835443037974684,0.6137663659064991
nuScenes oracle Y8 320->640 q_plan,0.35,0.35,1086,0.4732965009208103,0.5785059264802032
nuScenes oracle Y8 320->640 q_plan,0.35,0.45,1014,0.46153846153846156,0.6037663022823164
nuScenes oracle Y8 320->640 q_plan,0.35,0.55,948,0.45042194092827004,0.6449437416757816
nuScenes oracle Y8 320->640 q_plan,0.45,0.15,1366,0.4978038067349927,0.6443574304570208
nuScenes oracle Y8 320->640 q_plan,0.45,0.25,1244,0.48231511254019294,0.5945782264219736
nuScenes oracle Y8 320->640 q_plan,0.45,0.35,1140,0.4780701754385965,0.5570471167613683
nuScenes oracle Y8 320->640 q_plan,0.45,0.45,1052,0.4781368821292776,0.5685307755751198
nuScenes oracle Y8 320->640 q_plan,0.45,0.55,968,0.4669421487603306,0.584272807611332
nuScenes oracle Y8 320->640 q_plan,0.55,0.15,1482,0.4966261808367072,0.5706231333969277
nuScenes oracle Y8 320->640 q_plan,0.55,0.25,1382,0.48986975397973953,0.531656101786497
nuScenes oracle Y8 320->640 q_plan,0.55,0.35,1297,0.4865073245952197,0.49838723665213985
nuScenes oracle Y8 320->640 q_plan,0.55,0.45,1218,0.4852216748768473,0.5000154054689049
nuScenes oracle Y8 320->640 q_plan,0.55,0.55,1112,0.4748201438848921,0.4917287945179841
nuScenes mono Y8 320->640 q_brake,0.15,0.15,322,0.38509316770186336,0.4206371406462582
nuScenes mono Y8 320->640 q_brake,0.15,0.25,304,0.3519736842105263,0.3286062378914588
nuScenes mono Y8 320->640 q_brake,0.15,0.35,285,0.3333333333333333,0.29834530370155277
nuScenes mono Y8 320->640 q_brake,0.15,0.45,269,0.31970260223048325,0.28621375432884566
nuScenes mono Y8 320->640 q_brake,0.15,0.55,272,0.33455882352941174,0.3296238925112429
nuScenes mono Y8 320->640 q_brake,0.25,0.15,293,0.4300341296928328,0.5170867504128331
nuScenes mono Y8 320->640 q_brake,0.25,0.25,273,0.3956043956043956,0.40702802872656824
nuScenes mono Y8 320->640 q_brake,0.25,0.35,251,0.3784860557768924,0.3686951801802747
nuScenes mono Y8 320->640 q_brake,0.25,0.45,232,0.36637931034482757,0.34686196667938907
nuScenes mono Y8 320->640 q_brake,0.25,0.55,221,0.37104072398190047,0.37212857074596756
nuScenes mono Y8 320->640 q_brake,0.35,0.15,286,0.458041958041958,0.6123210529242975
nuScenes mono Y8 320->640 q_brake,0.35,0.25,260,0.4230769230769231,0.48343339868699037
nuScenes mono Y8 320->640 q_brake,0.35,0.35,234,0.405982905982906,0.437022810347137
nuScenes mono Y8 320->640 q_brake,0.35,0.45,213,0.39436619718309857,0.4180488722148676
nuScenes mono Y8 320->640 q_brake,0.35,0.55,194,0.39690721649484534,0.4325635476564158
nuScenes mono Y8 320->640 q_brake,0.45,0.15,305,0.46229508196721314,0.6660865424007612
nuScenes mono Y8 320->640 q_brake,0.45,0.25,273,0.42857142857142855,0.5296329970248598
nuScenes mono Y8 320->640 q_brake,0.45,0.35,245,0.4122448979591837,0.4831402360580414
nuScenes mono Y8 320->640 q_brake,0.45,0.45,222,0.4009009009009009,0.464630791870776
nuScenes mono Y8 320->640 q_brake,0.45,0.55,192,0.4010416666666667,0.47133994553651065
nuScenes mono Y8 320->640 q_brake,0.55,0.15,311,0.45980707395498394,0.6442411431697613
nuScenes mono Y8 320->640 q_brake,0.55,0.25,279,0.4265232974910394,0.5133296445439355
nuScenes mono Y8 320->640 q_brake,0.55,0.35,251,0.4103585657370518,0.47068795820252707
nuScenes mono Y8 320->640 q_brake,0.55,0.45,225,0.4,0.44966796116454827
nuScenes mono Y8 320->640 q_brake,0.55,0.55,191,0.4031413612565445,0.4480837287607676
nuScenes mono Y8 320->640 q_plan,0.15,0.15,1734,0.48212226066897346,0.7919522558775998
nuScenes mono Y8 320->640 q_plan,0.15,0.25,1685,0.4771513353115727,0.7663542025783159
nuScenes mono Y8 320->640 q_plan,0.15,0.35,1650,0.47333333333333333,0.7717802593465977
nuScenes mono Y8 320->640 q_plan,0.15,0.45,1634,0.4749082007343941,0.8209446938267358
nuScenes mono Y8 320->640 q_plan,0.15,0.55,1618,0.48763906056860323,0.946712750415353
nuScenes mono Y8 320->640 q_plan,0.25,0.15,1679,0.49791542584871945,0.7523105329379043
nuScenes mono Y8 320->640 q_plan,0.25,0.25,1612,0.49255583126550867,0.7133887667149573
nuScenes mono Y8 320->640 q_plan,0.25,0.35,1565,0.49201277955271566,0.7093000137100861
nuScenes mono Y8 320->640 q_plan,0.25,0.45,1541,0.49318624269954575,0.7555056961374028
nuScenes mono Y8 320->640 q_plan,0.25,0.55,1499,0.5030020013342228,0.892327037228872
nuScenes mono Y8 320->640 q_plan,0.35,0.15,1670,0.48922155688622754,0.7051580583363632
nuScenes mono Y8 320->640 q_plan,0.35,0.25,1599,0.482801751094434,0.6591866631487968
nuScenes mono Y8 320->640 q_plan,0.35,0.35,1551,0.4796905222437137,0.646961552653521
nuScenes mono Y8 320->640 q_plan,0.35,0.45,1511,0.4738583719391132,0.681830883095647
nuScenes mono Y8 320->640 q_plan,0.35,0.55,1460,0.4808219178082192,0.7935745632015448
nuScenes mono Y8 320->640 q_plan,0.45,0.15,1681,0.48483045806067815,0.6671438696574155
nuScenes mono Y8 320->640 q_plan,0.45,0.25,1615,0.47306501547987617,0.6264404360133204
nuScenes mono Y8 320->640 q_plan,0.45,0.35,1561,0.4727738629083921,0.6114152284488125
nuScenes mono Y8 320->640 q_plan,0.45,0.45,1513,0.47719762062128224,0.6324006907817465
nuScenes mono Y8 320->640 q_plan,0.45,0.55,1458,0.48148148148148145,0.7151495623602635
nuScenes mono Y8 320->640 q_plan,0.55,0.15,1716,0.48484848484848486,0.5907862969147144
nuScenes mono Y8 320->640 q_plan,0.55,0.25,1650,0.47575757575757577,0.552974646798606
nuScenes mono Y8 320->640 q_plan,0.55,0.35,1599,0.4815509693558474,0.5351009050085271
nuScenes mono Y8 320->640 q_plan,0.55,0.45,1555,0.4855305466237942,0.5415501161144617
nuScenes mono Y8 320->640 q_plan,0.55,0.55,1491,0.4842387659289068,0.5841449086742222
KITTI mono Y8 320->640 q_brake,0.15,0.15,2190,0.3780821917808219,0.2713064552043459
KITTI mono Y8 320->640 q_brake,0.15,0.25,2053,0.345835362883585,0.23974608829548957
KITTI mono Y8 320->640 q_brake,0.15,0.35,1947,0.31997945557267593,0.2258289844716496
KITTI mono Y8 320->640 q_brake,0.15,0.45,1827,0.29447181171319103,0.20708576796592104
KITTI mono Y8 320->640 q_brake,0.15,0.55,1728,0.2760416666666667,0.2211534273273683
KITTI mono Y8 320->640 q_brake,0.25,0.15,2246,0.3753339269813001,0.19504809366659892
KITTI mono Y8 320->640 q_brake,0.25,0.25,2075,0.3421686746987952,0.16785478389768213
KITTI mono Y8 320->640 q_brake,0.25,0.35,1937,0.31491997934950955,0.14585818276145096
KITTI mono Y8 320->640 q_brake,0.25,0.45,1792,0.2845982142857143,0.12566420323659175
KITTI mono Y8 320->640 q_brake,0.25,0.55,1650,0.26,0.1221470429631353
KITTI mono Y8 320->640 q_brake,0.35,0.15,2400,0.36083333333333334,0.1536781057251655
KITTI mono Y8 320->640 q_brake,0.35,0.25,2211,0.3283582089552239,0.12965569039075356
KITTI mono Y8 320->640 q_brake,0.35,0.35,2052,0.2982456140350877,0.11049272382076476
KITTI mono Y8 320->640 q_brake,0.35,0.45,1888,0.267478813559322,0.09278378109726958
KITTI mono Y8 320->640 q_brake,0.35,0.55,1701,0.23574368018812464,0.07940308327249827
KITTI mono Y8 320->640 q_brake,0.45,0.15,2590,0.3444015444015444,0.12545093056029838
KITTI mono Y8 320->640 q_brake,0.45,0.25,2385,0.3115303983228512,0.10280564646620463
KITTI mono Y8 320->640 q_brake,0.45,0.35,2211,0.2808683853459973,0.08579793348158538
