table,frames,touched,touched_share,excluded_via_state,compared,differing_among_compared,differing_among_untouched_strict,moved_frames_total,ok,strict_ok,gated
calibration_outcomes/kitti_y8_320_oracle__c0.250000__f0.250000.npz lateral,8008,5839,0.7291458541458542,582,1587,0,7,259,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.250000__f0.250000.npz Planner B,8008,5839,0.7291458541458542,582,1587,2,18,293,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.300000__f0.300000.npz braking,8008,5298,0.6615884115884116,666,2044,0,9,277,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.300000__f0.300000.npz lateral,8008,5298,0.6615884115884116,666,2044,0,11,225,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.300000__f0.300000.npz Planner B,8008,5298,0.6615884115884116,666,2044,2,20,223,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.350000__f0.350000.npz braking,8008,4713,0.5885364635364635,680,2615,0,8,220,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.350000__f0.350000.npz lateral,8008,4713,0.5885364635364635,680,2615,0,8,192,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.350000__f0.350000.npz Planner B,8008,4713,0.5885364635364635,680,2615,3,14,175,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.400000__f0.400000.npz braking,8008,4172,0.5209790209790209,677,3159,0,10,172,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.400000__f0.400000.npz lateral,8008,4172,0.5209790209790209,677,3159,0,8,170,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.400000__f0.400000.npz Planner B,8008,4172,0.5209790209790209,677,3159,2,13,145,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.450000__f0.450000.npz braking,8008,3703,0.4624125874125874,649,3656,0,13,138,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.450000__f0.450000.npz lateral,8008,3703,0.4624125874125874,649,3656,0,8,156,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.450000__f0.450000.npz Planner B,8008,3703,0.4624125874125874,649,3656,2,11,135,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.500000__f0.500000.npz braking,8008,3244,0.4050949050949051,652,4112,0,11,109,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.500000__f0.500000.npz lateral,8008,3244,0.4050949050949051,652,4112,0,8,144,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.500000__f0.500000.npz Planner B,8008,3244,0.4050949050949051,652,4112,1,10,112,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.550000__f0.550000.npz braking,8008,2684,0.33516483516483514,615,4709,0,13,89,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.550000__f0.550000.npz lateral,8008,2684,0.33516483516483514,615,4709,0,7,133,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.550000__f0.550000.npz Planner B,8008,2684,0.33516483516483514,615,4709,1,8,88,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.563965__f0.563965.npz braking,8008,2549,0.3183066933066933,612,4847,0,10,75,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.563965__f0.563965.npz lateral,8008,2549,0.3183066933066933,612,4847,0,8,130,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.563965__f0.563965.npz Planner B,8008,2549,0.3183066933066933,612,4847,1,8,80,False,False,False
