track,geometry,system,target,setting,quota,arch,eta,official,ok
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_clf,-0.105665939698093,-0.105665939698093,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm_batched,-0.005051854785565899,-0.0050518547855658,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,gate_ridge,0.03540876796386835,0.0354087679638683,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,gate_ridge,0.029979351467357293,0.0299793514673572,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,gate_ridge,-0.03659351943047838,-0.0365935194304783,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,gate_ridge,0.0669723709760428,0.0669723709760428,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,gate_gbm,-0.01328344100306386,-0.0132834410030638,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,gate_gbm,0.12469626769972209,0.124696267699722,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,gate_gbm,0.11220797010038654,0.1122079701003865,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,gate_gbm,0.12273991433807198,0.1227399143380719,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_mlp_reg,0.07267983790388434,0.0726798379038843,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_mlp_reg,0.036766717039598974,0.0367667170395989,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_mlp_reg,0.11473647675225888,0.1147364767522588,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_mlp_reg,0.13417540227546623,0.1341754022754662,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_mlp_clf,-0.042341238301168004,-0.042341238301168,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_mlp_clf,-0.04735201316023637,-0.0473520131602363,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_mlp_clf,-0.08304459415173075,-0.0830445941517307,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_mlp_clf,-0.016724703653004415,-0.0167247036530044,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_gbm_reg,-0.0039883128803981285,-0.0039883128803981,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_gbm_reg,-0.09308908145973095,-0.0930890814597309,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_gbm_reg,-0.08452799021485752,-0.0845279902148575,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_gbm_reg,-0.022988671235518066,-0.022988671235518,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_gbm_clf,-0.017443552585882666,-0.0174435525858826,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_gbm_clf,0.06495945197443771,0.0649594519744377,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_gbm_clf,0.046591408739189585,0.0465914087391895,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_gbm_clf,0.1282777718760875,0.1282777718760875,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_reg,0.0026061388921204344,0.0026061388921204,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_clf,-0.039837785583079655,-0.0398377855830796,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm_batched,-0.006832825012601222,-0.0068328250126012,True
nuScenes,mono,brake,J,quota,0.1,gate_ridge,0.25354712535739377,0.2535471253573937,True
nuScenes,mono,brake,J,quota,0.2,gate_ridge,0.29824029841939104,0.298240298419391,True
nuScenes,mono,brake,J,quota,0.3,gate_ridge,0.2869807574085317,0.2869807574085317,True
nuScenes,mono,brake,J,quota,0.5,gate_ridge,0.3125981169886264,0.3125981169886264,True
nuScenes,mono,brake,J,quota,0.1,gate_gbm,0.24684134110422165,0.2468413411042216,True
nuScenes,mono,brake,J,quota,0.2,gate_gbm,0.39691477624114474,0.3969147762411447,True
nuScenes,mono,brake,J,quota,0.3,gate_gbm,0.4532166666028495,0.4532166666028495,True
nuScenes,mono,brake,J,quota,0.5,gate_gbm,0.5803771463800486,0.5803771463800486,True
nuScenes,mono,brake,J,quota,0.1,R1_mlp_reg,0.12435328566754772,0.1243532856675477,True
nuScenes,mono,brake,J,quota,0.2,R1_mlp_reg,0.30948627394900996,0.3094862739490099,True
nuScenes,mono,brake,J,quota,0.3,R1_mlp_reg,0.379525885455376,0.379525885455376,True
nuScenes,mono,brake,J,quota,0.5,R1_mlp_reg,0.4593847770802444,0.4593847770802444,True
nuScenes,mono,brake,J,quota,0.1,R1_mlp_clf,0.13844807809859735,0.1384480780985973,True
nuScenes,mono,brake,J,quota,0.2,R1_mlp_clf,0.25063237050992715,0.2506323705099271,True
nuScenes,mono,brake,J,quota,0.3,R1_mlp_clf,0.34028534538552363,0.3402853453855236,True
nuScenes,mono,brake,J,quota,0.5,R1_mlp_clf,0.3389171404874944,0.3389171404874944,True
nuScenes,mono,brake,J,quota,0.1,R1_gbm_reg,0.08380121095107769,0.0838012109510776,True
nuScenes,mono,brake,J,quota,0.2,R1_gbm_reg,0.37977490888515203,0.379774908885152,True
nuScenes,mono,brake,J,quota,0.3,R1_gbm_reg,0.33915880749194344,0.3391588074919434,True
nuScenes,mono,brake,J,quota,0.5,R1_gbm_reg,0.5301900932103388,0.5301900932103388,True
nuScenes,mono,brake,J,quota,0.1,R1_gbm_clf,0.2602057047748347,0.2602057047748347,True
nuScenes,mono,brake,J,quota,0.2,R1_gbm_clf,0.3273581565920526,0.3273581565920526,True
nuScenes,mono,brake,J,quota,0.3,R1_gbm_clf,0.33367113716952496,0.3336711371695249,True
nuScenes,mono,brake,J,quota,0.5,R1_gbm_clf,0.265016786247473,0.265016786247473,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_mlp_reg,0.2545628687662854,0.2545628687662854,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_mlp_clf,0.19169819628882492,0.1916981962888249,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_gbm_batched,0.23596247137340184,0.2359624713734018,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,gate_ridge,-0.00793687566485962,-0.0079368756648596,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,gate_ridge,0.06265610014561854,0.0626561001456185,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,gate_ridge,0.1400342414642978,0.1400342414642978,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,gate_ridge,0.21993989649742204,0.219939896497422,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,gate_gbm,0.029882728307911867,0.0298827283079118,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,gate_gbm,0.042025999851251584,0.0420259998512515,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,gate_gbm,0.10217229219816593,0.1021722921981659,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,gate_gbm,0.25465665751756117,0.2546566575175611,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_mlp_reg,0.1700913752235117,0.1700913752235117,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_mlp_reg,0.2500761136602585,0.2500761136602585,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_mlp_reg,0.2698323484937942,0.2698323484937942,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_mlp_reg,0.2705258042022175,0.2705258042022175,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_mlp_clf,0.07113486666854715,0.0711348666685471,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_mlp_clf,0.10173376493569976,0.1017337649356997,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_mlp_clf,0.1204799729084085,0.1204799729084085,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_mlp_clf,0.16450136543294094,0.1645013654329409,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_gbm_reg,-0.042411518160894765,-0.0424115181608947,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_gbm_reg,-0.02159826630051098,-0.0215982663005109,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_gbm_reg,-0.007799733507747218,-0.0077997335077472,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_gbm_reg,0.09878847583781727,0.0987884758378172,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_gbm_clf,0.04857738130451456,0.0485773813045145,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_gbm_clf,0.09010515101103672,0.0901051510110367,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_gbm_clf,0.2585242157551838,0.2585242157551838,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_gbm_clf,0.38476561001988047,0.3847656100198804,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_reg,0.20217908736032322,0.2021790873603232,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_clf,0.10270967105837414,0.1027096710583741,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm_batched,-0.003716993720815448,-0.0037169937208154,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,gate_ridge,-0.023657037705264533,-0.0236570377052645,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,gate_ridge,-0.04308242201009874,-0.0430824220100987,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,gate_ridge,0.09547778441190438,0.0954777844119043,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,gate_ridge,0.2036420128657107,0.2036420128657107,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,gate_gbm,0.0516761938664191,0.0516761938664191,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,gate_gbm,0.07862635187025536,0.0786263518702553,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,gate_gbm,0.1859409409375804,0.1859409409375804,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,gate_gbm,0.18536418341719293,0.1853641834171929,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_mlp_reg,0.1521784154515276,0.1521784154515276,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_mlp_reg,0.2602225170775465,0.2602225170775465,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,R1_mlp_reg,0.25182021784553055,0.2518202178455305,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,R1_mlp_reg,0.365311070310165,0.365311070310165,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_mlp_clf,0.004847750510364475,0.0048477505103644,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_mlp_clf,0.06451563092146581,0.0645156309214658,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,R1_mlp_clf,0.19103892955883386,0.1910389295588338,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,R1_mlp_clf,0.18389904179966346,0.1838990417996634,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_gbm_reg,-0.1153245115766636,-0.1153245115766636,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_gbm_reg,-0.06207022040858505,-0.062070220408585,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,R1_gbm_reg,-0.0065369250984928535,-0.0065369250984928,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,R1_gbm_reg,0.1569870725547404,0.1569870725547404,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_gbm_clf,0.0726390887865458,0.0726390887865458,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_gbm_clf,0.13124556804721843,0.1312455680472184,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,R1_gbm_clf,0.10391328012805408,0.103913280128054,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,R1_gbm_clf,0.20416971796839067,0.2041697179683906,True
nuScenes,mono,plan_fde,JC_fde,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,mono,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,mono,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_reg,0.18333841883564533,0.1833384188356453,True
nuScenes,mono,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_clf,0.018309665278058433,0.0183096652780584,True
nuScenes,mono,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,mono,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,mono,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm_batched,0.0002368131518332989,0.0002368131518332,True
KITTI,oracle,brake,J,quota,0.1,gate_ridge,0.06642562068705554,0.0664256206870555,True
KITTI,oracle,brake,J,quota,0.2,gate_ridge,0.23777352976812974,0.2377735297681297,True
KITTI,oracle,brake,J,quota,0.3,gate_ridge,0.3173116310413345,0.3173116310413345,True
KITTI,oracle,brake,J,quota,0.5,gate_ridge,0.312439698424948,0.312439698424948,True
KITTI,oracle,brake,J,quota,0.1,gate_gbm,0.08149261533444513,0.0814926153344451,True
KITTI,oracle,brake,J,quota,0.2,gate_gbm,0.20651883242934632,0.2065188324293463,True
KITTI,oracle,brake,J,quota,0.3,gate_gbm,0.4472758423242667,0.4472758423242667,True
KITTI,oracle,brake,J,quota,0.5,gate_gbm,0.6511796960332302,0.6511796960332302,True
KITTI,oracle,brake,J,quota,0.1,R1_mlp_reg,0.11797563332799332,0.1179756333279933,True
KITTI,oracle,brake,J,quota,0.2,R1_mlp_reg,0.26668289551175844,0.2666828955117584,True
KITTI,oracle,brake,J,quota,0.3,R1_mlp_reg,0.4086798888490506,0.4086798888490506,True
KITTI,oracle,brake,J,quota,0.5,R1_mlp_reg,0.5826525569562542,0.5826525569562542,True
KITTI,oracle,brake,J,quota,0.1,R1_mlp_clf,0.16010225945349735,0.1601022594534973,True
KITTI,oracle,brake,J,quota,0.2,R1_mlp_clf,0.252936091160369,0.252936091160369,True
KITTI,oracle,brake,J,quota,0.3,R1_mlp_clf,0.4052108183804548,0.4052108183804548,True
KITTI,oracle,brake,J,quota,0.5,R1_mlp_clf,0.5788855561826143,0.5788855561826143,True
KITTI,oracle,brake,J,quota,0.1,R1_gbm_reg,0.12711712478701379,0.1271171247870137,True
KITTI,oracle,brake,J,quota,0.2,R1_gbm_reg,0.2952649023582704,0.2952649023582704,True
KITTI,oracle,brake,J,quota,0.3,R1_gbm_reg,0.5022377696657874,0.5022377696657874,True
KITTI,oracle,brake,J,quota,0.5,R1_gbm_reg,0.5873031666534573,0.5873031666534573,True
KITTI,oracle,brake,J,quota,0.1,R1_gbm_clf,0.23202760183377788,0.2320276018337778,True
KITTI,oracle,brake,J,quota,0.2,R1_gbm_clf,0.3240416248981891,0.3240416248981891,True
KITTI,oracle,brake,J,quota,0.3,R1_gbm_clf,0.5309162938596554,0.5309162938596554,True
KITTI,oracle,brake,J,quota,0.5,R1_gbm_clf,0.6391598142230339,0.6391598142230339,True
KITTI,oracle,brake,J,budget_ms_20,0.2,gate_ridge,,,True
KITTI,oracle,brake,J,budget_ms_20,0.2,gate_gbm,,,True
KITTI,oracle,brake,J,budget_ms_20,0.2,R1_mlp_reg,0.17750210704062344,0.1775021070406234,True
KITTI,oracle,brake,J,budget_ms_20,0.2,R1_mlp_clf,0.21914857177888244,0.2191485717788824,True
KITTI,oracle,brake,J,budget_ms_20,0.2,R1_gbm_reg,,,True
KITTI,oracle,brake,J,budget_ms_20,0.2,R1_gbm_clf,,,True
KITTI,oracle,brake,J,budget_ms_20,0.2,gate_gbm_batched,0.015544292214640501,0.0155442922146405,True
KITTI,oracle,traj,JB,quota,0.1,gate_ridge,0.24015128657689935,0.2401512865768993,True
KITTI,oracle,traj,JB,quota,0.2,gate_ridge,0.45505552148787864,0.4550555214878786,True
KITTI,oracle,traj,JB,quota,0.3,gate_ridge,0.5366148829461159,0.5366148829461159,True
KITTI,oracle,traj,JB,quota,0.5,gate_ridge,0.5508924893857573,0.5508924893857573,True
KITTI,oracle,traj,JB,quota,0.1,gate_gbm,0.32134820948429754,0.3213482094842975,True
KITTI,oracle,traj,JB,quota,0.2,gate_gbm,0.5720618447369914,0.5720618447369914,True
KITTI,oracle,traj,JB,quota,0.3,gate_gbm,0.7894066347454927,0.7894066347454927,True
KITTI,oracle,traj,JB,quota,0.5,gate_gbm,0.9631518468718469,0.9631518468718469,True
KITTI,oracle,traj,JB,quota,0.1,R1_mlp_reg,0.25698232944611393,0.2569823294461139,True
