dataset,pair,geometry,system,cell,n_frames,affected_ego,affected_camera,affected_delta,harmed_ego,harmed_camera,harmed_delta,rho_ego,rho_camera,rho_delta,all_full_ego,all_full_camera,all_full_delta,oracle20_ego,oracle20_camera,oracle20_delta,within_tolerance
nuScenes,YOLOv8s 320->640,mono,q_brake,nuScenes mono Y8 320->640,3376,273,299,26,0.3956043956043956,0.43812709030100333,0.042522694696607743,0.40702802872656824,0.5346938600660974,0.1276658313395292,0.16465509862245187,0.12748532832153653,-0.03716977030091534,0.27767770923277924,0.27398161636045903,-0.0036960928723202002,False
nuScenes,YOLOv8s 320->640,oracle,q_brake,nuScenes oracle Y8 320->640,3376,141,177,36,0.3546099290780142,0.4463276836158192,0.09171775453780501,0.41816360735952834,0.5996064456588647,0.18144283829933633,0.1400599661990445,0.09818841389121125,-0.041871552307833265,0.24072053238785693,0.24522975663977534,0.004509224251918409,False
KITTI,RT-DETR-l 320->640,mono,q_brake,KITTI mono RT-DETR 320->640,8008,2354,2417,63,0.44180118946474084,0.4637980968142325,0.021996907349491668,0.7007510232636827,0.8024115964923831,0.10166057322870048,0.12634550989699628,0.07857739520467487,-0.04776811469232141,0.42220866141281954,0.3976822212728983,-0.024526440139921224,False
KITTI,RT-DETR-l 320->640,mono,q_traj,KITTI mono RT-DETR 320->640,8008,517,772,255,0.49709864603481624,0.39248704663212436,-0.10461159940269188,0.7624495469329581,0.3454068937064303,-0.4170426532265278,0.023022549545892244,0.10550260923471028,0.08248005968881802,0.09691646237102643,0.16117280829932065,0.06425634592829423,False
KITTI,RT-DETR-l 480->640,mono,q_brake,KITTI mono RT-DETR 480->640,8008,1947,1992,45,0.4216743708269132,0.4387550200803213,0.017080649253408076,0.7203397317211169,0.8045400663113145,0.0842003345901976,0.08521560207270736,0.05852445710143258,-0.026691144971274776,0.30471115041529184,0.29941920063600486,-0.005291949779286986,False
KITTI,RT-DETR-l 480->640,mono,q_traj,KITTI mono RT-DETR 480->640,8008,295,441,146,0.43389830508474575,0.3854875283446712,-0.048410776740074546,0.5789355639166351,0.69365915982634,0.11472359590970482,0.02938719191461261,0.020480043604769328,-0.008907148309843283,0.0697926241122733,0.06685378153679904,-0.0029388425754742625,False
KITTI,YOLOv8s 320->640,mono,q_brake,KITTI mono Y8 320->640,8008,2075,2186,111,0.3421686746987952,0.37923147301006405,0.03706279831126885,0.16785478389768213,0.191110978211973,0.02325619431429088,0.5168494285990892,0.4986727429758377,-0.01817668562325153,0.6211048487666122,0.6164909271157323,-0.004613921650879926,True
KITTI,YOLOv8s 320->640,mono,q_traj,KITTI mono Y8 320->640,8008,678,984,306,0.4837758112094395,0.37398373983739835,-0.10979207137204117,0.2824709509652807,0.06515299492662088,-0.2173179560386598,0.1278204919151454,0.40477868552486945,0.27695819360972407,0.17813981480903146,0.43298923067427225,0.2548494158652408,False
KITTI,YOLOv8s 320->640,oracle,q_brake,KITTI oracle Y8 320->640,8008,1296,1375,79,0.24614197530864199,0.28363636363636363,0.037494388327721645,0.08023851542455199,0.09068050722695777,0.010441991802405778,0.6785748142109286,0.6718083759977838,-0.006766438213144821,0.7377725916889776,0.7388034473439602,0.0010308556549826209,True
KITTI,YOLOv8s 320->640,oracle,q_traj,KITTI oracle Y8 320->640,8008,463,562,99,0.03023758099352052,0.08718861209964412,0.05695103110612361,0.0033946367285793266,0.004084403780147067,0.0006897670515677405,0.6834446714145355,0.6825615702488634,-0.0008831011656720289,0.6857726203389918,0.6853608607392313,-0.00041175959976047505,False
KITTI,YOLOv8s 384->640,mono,q_brake,KITTI mono Y8 384->640,8008,1771,1812,41,0.39808018068887635,0.4359823399558499,0.037902159266973545,0.4731134004370671,0.552043063664155,0.07892966322708789,0.19380767715798808,0.16053524431953775,-0.03327243283845033,0.36783565442498867,0.35837204717191884,-0.009463607253069828,False
KITTI,YOLOv8s 384->640,mono,q_traj,KITTI mono Y8 384->640,8008,458,608,150,0.4868995633187773,0.5032894736842105,0.01638991036543319,0.4585841134217043,0.24470606913635976,-0.21387804428534454,0.059702726427005706,0.15671925420452285,0.09701652777751714,0.11027147135323649,0.2074943909920238,0.0972229196387873,False
KITTI,YOLOv8s 512->640,mono,q_brake,KITTI mono Y8 512->640,8008,1470,1527,57,0.42857142857142855,0.44138834315651604,0.012816914585087491,0.6152373049046556,0.6762558455631936,0.06101854065853807,0.09725994774130227,0.07962713179899837,-0.017632815942303898,0.2527790479199168,0.2459569716016029,-0.0068220763183138855,False
KITTI,YOLOv8s 512->640,mono,q_traj,KITTI mono Y8 512->640,8008,266,382,116,0.5375939849624061,0.4083769633507853,-0.12921702161162074,1.114138429663965,0.5045012833272766,-0.6096371463366883,-0.00589026124569438,0.04111520263771811,0.04700546388341249,0.05160629301661071,0.08297741498465805,0.03137112196804734,False
