track,geometry,system,target,split,signal,deployable,input_dim,width_mult,gflops,trt_vs_torch_spearman,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998934785985287,0.1,354,0.08651877418867991,0.038950242241523825,0.1810479906285111,0.025779585353427135,-0.05636250472780643,0.12534640888603513,0.2947686116700201,0.002824858757062147,0.1440677966101695,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998934785985287,0.2,707,0.17659066020076122,0.04686768527176666,0.23130547102322804,0.035027799095233444,-0.06023268612882873,0.10819749084070307,0.19517102615694165,0.0014144271570014145,0.1456859971711457,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998934785985287,0.3,1061,0.2596047501913121,0.07560678632503688,0.3495870698918442,0.046367172113432775,-0.041205095155659434,0.16896814404514082,0.1790744466800805,0.000942507068803016,0.15457115928369464,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998934785985287,0.5,1768,0.4627866411583325,0.2366198006921063,0.57450780471216,0.11455433568381525,-0.035136492932327575,0.2763157362811093,0.10160965794768612,0.0005656108597285068,0.1668552036199095,6,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998911121411622,0.1,354,0.07643420651697326,0.024586414998785926,0.1513224915779637,-0.021623285127539905,-0.07528926102056621,0.05185636783800061,0.7260726072607261,0.002824858757062147,0.025423728813559324,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998911121411622,0.2,707,0.1990376419670539,0.12753124714592884,0.35005031229047134,0.023309444219165233,-0.0724405791376179,0.15162836177920094,0.429042904290429,0.0014144271570014145,0.033946251768033946,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998911121411622,0.3,1061,0.3520906992296338,0.2865892546013667,0.4462146379054227,0.057884570794183784,-0.013353308427352675,0.1475948175360956,0.08800880088008801,0.000942507068803016,0.03204524033930255,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998911121411622,0.5,1768,0.46810314090461935,0.40719056757906946,0.5765275696390972,-0.025273535010486816,-0.09197296459260362,0.07903032404605627,0.7172717271727173,0.0005656108597285068,0.025452488687782805,91,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998798118373523,0.1,354,0.026197761905528003,-0.0723254781791907,0.11738925155601966,-0.012695328717569202,-0.07103515360003469,0.08042880000643918,0.694,0.002824858757062147,0.2514124293785311,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998798118373523,0.2,707,0.09347121495044601,-0.009085087772874844,0.1582119424254419,0.01017858769750808,-0.07037898375303886,0.08516601231928168,0.369,0.0014144271570014145,0.26025459688826025,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998798118373523,0.3,1061,0.14286086400846676,0.04708118903742714,0.263796986397818,0.045018700712926234,-0.04794421066708436,0.16197396712802437,0.249,0.000942507068803016,0.2478793590951932,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998798118373523,0.5,1768,0.2854472037460304,0.06700427593121462,0.3769008677337068,0.07385155495962845,-0.09014532386391999,0.18902643038652137,0.183,0.0005656108597285068,0.2426470588235294,0,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998595427469027,0.1,354,0.037522933077208984,-0.06795233428386524,0.19855440087041226,0.06901715689851426,-0.11060102248387656,0.2020072190106651,0.2119071644803229,0.002824858757062147,0.096045197740113,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998595427469027,0.2,707,-0.021492462120012528,-0.38814695990741144,0.20441895980815158,0.023048183632352722,-0.17388392670347336,0.2843465355834486,0.4339051463168517,0.0014144271570014145,0.07355021216407355,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998595427469027,0.3,1061,-0.2221778236293736,-0.5132138603017585,0.19615609864165068,-0.06500156730015812,-0.2358966050006558,0.2475782702885272,0.7497477295660948,0.000942507068803016,0.06691800188501414,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9998595427469027,0.5,1768,-0.31639457206390753,-0.8855736593618385,0.3543604714286427,-0.10936303663214321,-0.3928244571953996,0.2347255998458817,0.7729566094853683,0.0005656108597285068,0.057126696832579184,9,6,3536
