track,geometry,system,target,split,signal,deployable,input_dim,width_mult,gflops,trt_vs_torch_spearman,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.999270836557164,0.1,354,0.12418924096437514,0.003662427400506248,0.19510057497037867,0.035456276937446414,-0.04084533162185516,0.09318664620706378,0.21428571428571427,0.2542372881355932,0.3441733033830236,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.999270836557164,0.2,707,0.23904214045058111,-0.01337702285323723,0.2984847123340569,0.06930358061088016,-0.07690234528532906,0.156881532888118,0.12977867203219315,0.157001414427157,0.31794670603660996,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.999270836557164,0.3,1061,0.32341844306234196,0.021669744553129124,0.41626660207440525,0.08344254541538212,-0.0720286644745664,0.1720674163249148,0.09859154929577464,0.001885014137606032,0.2988604232713563,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.999270836557164,0.5,1768,0.451003209724378,-0.041369912482069546,0.6260099512891892,0.07028546925825609,-0.18408027862465173,0.18991242339180253,0.21227364185110664,0.0005656108597285068,0.2748868778280543,6,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992596536936408,0.1,354,0.1552376014251311,0.09289142300120347,0.23242404111385245,0.057708932640666594,-0.00684700040875956,0.13315763059025643,0.0671067106710671,0.23163841807909605,0.0748587570621469,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992596536936408,0.2,707,0.3132654294832168,0.1919573138153755,0.4379401289105566,0.10741105932734278,-0.007988160790123724,0.23928271327843811,0.0539053905390539,0.15134370579915135,0.06414427157001415,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992596536936408,0.3,1061,0.44707000686485515,0.2862038980955901,0.5711095569549804,0.1313634897950397,-0.013516346939862312,0.27288912007013433,0.03850385038503851,0.00942507068803016,0.057492931196983975,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992596536936408,0.5,1768,0.6513774927794053,0.5620085775968445,0.7515291434633887,0.16251248069909302,0.062259024397980166,0.2526869198900827,0.0044004400440044,0.0005656108597285068,0.049773755656108594,91,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992728877270375,0.1,354,0.10858917052064838,-0.004295631454187015,0.1852136392411745,0.05462131603140755,-0.010841772291441263,0.11156382675828666,0.058,0.2514124293785311,0.4937699489647874,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992728877270375,0.2,707,0.17523398224533918,-0.03092449516156411,0.2719521135655632,0.07548156894226836,-0.024741213320410592,0.16102717402302996,0.074,0.157001414427157,0.4623804597943803,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992728877270375,0.3,1061,0.23727803887174,-0.0041604889078974356,0.3594755053025002,0.09927897314708926,0.009952765512388731,0.17301901306197517,0.013,0.002827521206409048,0.44377582831871243,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992728877270375,0.5,1768,0.2888766908367401,-0.10250021638463078,0.5555714815876405,0.08554590724962717,-0.07403141451603042,0.18137344914228223,0.146,0.0005656108597285068,0.4247737556561086,0,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992691619716921,0.1,354,-0.43907643239921806,-0.7606539116376617,0.016955671503127503,-0.31850982075225825,-0.6258415795041156,-0.07131658155778098,1.0,0.2570621468926554,0.13052035085933392,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992691619716921,0.2,707,-0.6231516840943353,-1.1536855424476764,0.02985359690045464,-0.4657061659277584,-0.8281596603990642,-0.14638736139391845,1.0,0.157001414427157,0.12494106553512493,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992691619716921,0.3,1061,-0.5598206210103159,-1.2484331407855946,0.0852841620594822,-0.43735181261506373,-0.745775037924894,-0.1900240016643941,0.9899091826437941,0.002827521206409048,0.10673892554194156,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9992691619716921,0.5,1768,-0.8432515410096939,-1.4403896824743863,0.38662435766546693,-0.4839365893141163,-0.7684679446872842,-0.05116785133595403,0.9858728557013118,0.0005656108597285068,0.09445701357466063,9,6,3536
