setting,pair,geometry,scheme,t_cheap,t_full,system,variant,n,affected,harmed,harmed_share_affected,harmed_share_all,rho,sum_V,all_full_reduction,oracle20_reduction,affected_same_action,note
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,brake,own,8008,2931,1099,0.37495735243944045,0.13723776223776224,0.16865736519231755,9971.340576076138,0.519594519802661,0.6243202545108347,856.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,brake,shared,8008,2075,710,0.3421686746987952,0.08866133866133866,0.16785478389768213,9918.660576076138,0.5168494285990892,0.6211048487666122,0.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,brake,memoryless,8008,2075,704,0.33927710843373493,0.08791208791208792,0.164960836955833,9965.710576076137,0.5228580475399649,0.626147934946985,0.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,lateral,own,8008,734,413,0.5626702997275205,0.051573426573426576,2.099357286554249,-134.11263696286528,-0.07086806040803556,0.06446317432448095,227.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,lateral,shared,8008,513,369,0.7192982456140351,0.04607892107892108,2.707465590106112,-171.7126369628653,-0.09073672552182313,0.05314117370657177,0.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,lateral,memoryless,8008,506,362,0.7154150197628458,0.04520479520479521,2.5778786484126583,-155.9126369628653,-0.08462809793649656,0.053634097921048667,0.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,traj,own,8008,957,401,0.41901776384535006,0.05007492507492507,0.27557156420120077,2667.391041646434,0.13066069713065817,0.18036384365086794,269.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,traj,shared,8008,678,328,0.4837758112094395,0.04095904095904096,0.2824709509652807,2609.409275785194,0.1278204919151454,0.17813981480903146,0.0,
Y8 320->640|mono|S0,Y8 320->640,mono,S0,0.25,0.25,traj,memoryless,8008,678,328,0.4837758112094395,0.04095904095904096,0.279512232692269,2631.834275785194,0.12910210730748298,0.17918709125333648,0.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,brake,own,8008,1753,542,0.3091842555618939,0.06768231768231768,0.08074935246291767,10224.195804626728,0.6819793092547943,0.7418861341920174,457.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,brake,shared,8008,1296,319,0.24614197530864199,0.03983516483516483,0.08023851542455199,10173.155804626727,0.6785748142109286,0.7377725916889776,0.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,brake,memoryless,8008,1296,319,0.24614197530864199,0.03983516483516483,0.07775165616827695,10226.475804626727,0.6845441073834007,0.7422557188222019,0.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,lateral,own,8008,449,275,0.6124721603563474,0.034340659340659344,3.922129756874466,-132.31898144928476,-0.08385256867322875,0.02869570335675937,128.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,lateral,shared,8008,331,272,0.8217522658610272,0.03396603396603397,5.808777893354743,-159.91898144928473,-0.10134311213141088,0.021074608638393777,0.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,lateral,memoryless,8008,321,260,0.8099688473520249,0.032467532467532464,5.691622239440665,-149.51898144928475,-0.09692688406311811,0.020659567014643904,0.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,traj,own,8008,637,27,0.0423861852433281,0.0033716283716283715,0.003690827226655898,5853.691346021168,0.6899224631618471,0.6924782808546924,155.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,traj,shared,8008,463,14,0.03023758099352052,0.0017482517482517483,0.0033946367285793266,5798.730106871501,0.6834446714145355,0.6857726203389918,0.0,
Y8 320->640|oracle|S0,Y8 320->640,oracle,S0,0.25,0.25,traj,memoryless,8008,463,14,0.03023758099352052,0.0017482517482517483,0.00336998196605134,5822.814481871503,0.6889300849782799,0.6912596174228549,0.0,
Y8 384->640|mono|S0,Y8 384->640,mono,S0,0.25,0.25,brake,own,8008,2606,1058,0.4059861857252494,0.1321178821178821,0.4733476388336609,2246.879468938854,0.19595748180630174,0.37208127458562273,835.0,
