track,geometry,system,target,signal,budget_level,budget_per_frame,n_frames,feasible,overhead,overhead_source,escalated_frac,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,note,row_type,n_cells,n_feasible
nuScenes,oracle,brake,J,R1_mlp_reg,0.2,16.5801677512718,955.0,True,0.6491920000541995,measured,0.1664522146768704,0.287694969016576,0.0363874227569994,0.4593721516649855,0.1476611222357201,-0.0881775217609154,0.3405697229831607,,cell,,
nuScenes,oracle,brake,J,R1_mlp_clf,0.2,16.5801677512718,955.0,True,0.6491920000541995,measured,0.1664522146768704,0.236828264709597,-0.1775638405070968,0.4156008942990871,0.0372424091174418,-0.2588195948243612,0.2769493131946011,,cell,,
nuScenes,oracle,brake,J,R1_gbm_reg,0.2,16.5801677512718,955.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 3.8703 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,R1_gbm_clf,0.2,16.5801677512718,955.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 3.8703 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,R2_cnn_clf,0.2,16.5801677512718,955.0,False,9.765887999975575,measured,,,,,,,,"infeasible: allocator overhead 9.7659 ms per input exceeds the budget headroom b - C_c = 3.8703 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,criticality_gt,0.2,16.5801677512718,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,dE_exact,0.2,16.5801677512718,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,dE_E6_risk_weighted,0.2,16.5801677512718,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,PKL,0.2,16.5801677512718,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,TIP,0.2,16.5801677512718,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,random,0.3,18.51529400119034,955.0,True,0.0,none,0.3,0.2207182239521354,0.0101211229065617,0.285271230282274,0.0,0.0,0.0,,cell,,
nuScenes,oracle,brake,J,oracle,0.3,18.51529400119034,955.0,True,0.0,none,0.3,1.0,1.0,1.0,0.7992134999829632,0.7147287697177259,0.9898788770934382,,cell,,
nuScenes,oracle,brake,J,gate_ridge,0.3,18.51529400119034,955.0,True,3.925717499981829,measured,0.0971337787316416,0.1658234018861003,-0.3835657278686223,0.4506138367659728,-0.1375571646687825,-0.4771282142978158,0.2468603000004066,,cell,,
nuScenes,oracle,brake,J,gate_gbm,0.3,18.51529400119034,955.0,False,21.37658250001095,measured,,,,,,,,"infeasible: allocator overhead 21.3766 ms per input exceeds the budget headroom b - C_c = 5.8054 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,uncertainty,0.3,18.51529400119034,955.0,True,0.2944104999755836,measured,0.2847859797267503,0.268998753510528,-0.3552685882511885,0.6837637225933242,-0.04169120581567,-0.4689220710504547,0.4799825453547711,,cell,,
nuScenes,oracle,brake,J,criticality_cheap,0.3,18.51529400119034,955.0,True,1.4709314999947765,measured,0.2239878276646448,0.4696680533917879,0.0930262947298627,0.8573828480962,0.2738434545333277,-0.1135171554345605,0.6851522512832482,,cell,,
nuScenes,oracle,brake,J,gate_gbm_batched,0.3,18.51529400119034,955.0,True,3.5357949274881264,measured,0.1172835013923785,0.0921804597345115,-0.3233031377662253,0.4434464887061909,-0.1119169046414794,-0.427508773483058,0.2688474726812894,,cell,,
nuScenes,oracle,brake,J,R1_mlp_reg,0.3,18.51529400119034,955.0,True,0.6491920000541995,measured,0.2664522146768704,0.4037701087069624,0.1607453000942427,0.5843869310689045,0.1909042722292866,-0.0243443534316324,0.4546149257449033,,cell,,
nuScenes,oracle,brake,J,R1_mlp_clf,0.3,18.51529400119034,955.0,True,0.6491920000541995,measured,0.2664522146768704,0.2082358494700753,-0.214781276776117,0.4652265771413673,-0.0111900938741093,-0.3334909779494173,0.2608085772836317,,cell,,
nuScenes,oracle,brake,J,R1_gbm_reg,0.3,18.51529400119034,955.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 5.8054 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,R1_gbm_clf,0.3,18.51529400119034,955.0,False,15.909292499998172,measured,,,,,,,,"infeasible: allocator overhead 15.9093 ms per input exceeds the budget headroom b - C_c = 5.8054 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,R2_cnn_clf,0.3,18.51529400119034,955.0,False,9.765887999975575,measured,,,,,,,,"infeasible: allocator overhead 9.7659 ms per input exceeds the budget headroom b - C_c = 5.8054 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,criticality_gt,0.3,18.51529400119034,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,dE_exact,0.3,18.51529400119034,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,dE_E6_risk_weighted,0.3,18.51529400119034,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,PKL,0.3,18.51529400119034,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,TIP,0.3,18.51529400119034,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,,
nuScenes,oracle,brake,J,random,0.5,22.38554650102742,955.0,True,0.0,none,0.5,0.368120953934156,0.0168724349899492,0.4763356339903186,0.0,0.0,0.0,,cell,,
nuScenes,oracle,brake,J,oracle,0.5,22.38554650102742,955.0,True,0.0,none,0.5,1.0,1.0,1.0,0.6649521682210511,0.5236643660096814,0.9831275650100508,,cell,,
nuScenes,oracle,brake,J,gate_ridge,0.5,22.38554650102742,955.0,True,3.925717499981829,measured,0.2971337787316417,0.4647554568732055,-0.1603310640988019,0.8439580459368938,0.0854800404927948,-0.383158958666983,0.5031406488012695,,cell,,
nuScenes,oracle,brake,J,gate_gbm,0.5,22.38554650102742,955.0,False,21.37658250001095,measured,,,,,,,,"infeasible: allocator overhead 21.3766 ms per input exceeds the budget headroom b - C_c = 9.6756 ms, so it cannot run within this budget",cell,,
nuScenes,oracle,brake,J,uncertainty,0.5,22.38554650102742,955.0,True,0.2944104999755836,measured,0.4847859797267503,0.3825711259355117,-0.2180687503740771,0.7973661384377302,0.0203958671634469,-0.3887230893439534,0.463559344412228,,cell,,
