track,geometry,system,target,n_test_frames,n_test_units,n_affected,rate_target,oracle_prize,all_cheap_loss,ndg_defined,undefined_reason,variant,signal,policy,available,rate_realised,rate_unit_min,rate_unit_max,gain,gain_share_all_cheap,ndg,tau,tie_p,ndg_lo,ndg_hi,boot_dropped,minus_random,minus_random_lo,minus_random_hi,budget_level,budget_ms,cheap_ms,full_ms,overhead_ms,feasible,note
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V1+V2,random,A,True,0.09888743455497383,0.015705128205128205,0.1986778846153846,2.421363664614915,0.00981828331213885,0.051161546395728605,,,-0.036648558110817936,0.08599809932759439,8.0,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V1+V2,random,B,True,0.07627617801047121,0.014923878205128206,0.11378205128205128,1.46009476640353,0.0059204754282132736,0.030850676098418635,,,-0.052140327975309625,0.065938633065925,8.0,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,official,uncertainty,C,True,0.10052356020942409,,,2.320818095782149,0.009410585412394718,0.04903709608704662,,,-0.14175277691168262,0.15369146198098954,8.0,-0.03213832166235925,-0.16645461492462113,0.11739124917560992,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V1,uncertainty,A,True,0.041884816753926704,0.0,0.28205128205128205,0.0,0.0,0.0,3.821943283,0.6000000000000014,0.0,0.0,8.0,-0.043539259144983314,-0.08599809932759439,0.03664855811081797,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V1,uncertainty,B,True,0.020942408376963352,0.0,0.07692307692307693,0.0,0.0,0.0,3.821943283,0.6000000000000014,0.0,0.0,8.0,-0.02419239556358279,-0.065938633065925,0.05214032797530963,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V2,uncertainty,A,True,0.0356020942408377,0.0,0.28205128205128205,0.0,0.0,0.0,3.905252934,0.10000000000002274,0.0,0.0,8.0,-0.043539259144983314,-0.08599809932759439,0.03664855811081797,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V2,uncertainty,B,True,0.018848167539267015,0.0,0.07692307692307693,0.0,0.0,0.0,3.905252934,0.10000000000002274,0.0,0.0,8.0,-0.02419239556358279,-0.065938633065925,0.05214032797530963,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,TEST,uncertainty,A_expected,True,0.10052356020942407,,,2.320818095782149,0.009410585412394718,0.04903709608704662,3.036266327,1.0,,,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,official,criticality_cheap,C,True,0.10052356020942409,,,14.555146876484025,0.059019038639881616,0.30753902567391106,,,0.0612573395814986,0.7290542242220635,8.0,0.3009937896825636,0.0034938114233024303,0.7128019894240204,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V1,criticality_cheap,A,True,0.05549738219895288,0.0,0.38461538461538464,14.693954860121428,0.059581885158665686,0.3104719312918253,0.911048931,0.6000000000000014,0.056268959431343905,0.7080190534738635,8.0,0.2891885221482515,0.0008084486645303781,0.6886158278251758,,,,,,,
