section,track,unit,budget_level,budget,Cc,Cf,Cs,signal,eligible,feasible,share_cascade,share_skipping,ineligible_reason,geometry,system,target,k,n_test,n_units,coverage,n_positive,n_nonnegative,share_positive,share_nonnegative,share_skipping_exceeds_nonnegative,regime,denominator,oracle_same_k,oracle_capacity,oracle_same_k_over_capacity,gain_r2,gain_random,tie_frac_r2,ndg_r2,ndg_random,ndg_minus_random,all_cheap_loss,gain_share_all_cheap_r2,gain_share_all_cheap_random,n_draws,n_draws_oracle_nonpositive,gain_minus_random_mean,gain_minus_random_lo,gain_minus_random_hi,ndg_r2_lo,ndg_r2_hi,ndg_minus_random_lo,ndg_minus_random_hi,p_le_random,beats_random,loses_to_random,cascade_eta_shipped,cascade_minus_random_lo_shipped,cascade_minus_random_hi_shipped,convention
shares,nuScenes,mJ,0.1,67.8236625361018,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,nuScenes,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,True,True,0.0030549486338271458,0.005187559856719355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,nuScenes,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,True,True,0.10305494863382716,0.17499597494029936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,nuScenes,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,True,True,0.3030549486338271,0.5146128051074592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,KITTI,mJ,0.1,49.55596606074272,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,KITTI,mJ,0.2,57.99929094829842,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,True,True,0.04733588428240509,0.09225915125244705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,KITTI,mJ,0.3,66.44261583585411,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,True,True,0.14733588428240496,0.28716234710705574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,KITTI,mJ,0.5,83.32926561096552,41.112641173187015,84.43324887555701,12.889927276750532,R2_cnn_clf,True,True,0.34733588428240497,0.6769687388162737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,,,,,,,,"R1_mlp_reg, R1_mlp_clf, R1_gbm_reg, R1_gbm_clf",False,,,,"reads CHEAP's detection list (103_routers_r1.py det_list_features), which exists only after CHEAP has run",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
shares,,,,,,,,"gate_ridge, gate_gbm",False,,,,reads features computed from CHEAP's detections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module
evaluation,nuScenes,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.0030549486338271458,0.005187559856719355,,oracle,brake,J,4.0,955.0,24.0,1.0,17.0,947.0,0.01780104712041885,0.9916230366492147,False,share_below_positives,oracle escalating the same k (budget-constrained),20.754650149683282,47.32780447811232,0.43852974754579377,0.0,0.14688490481490654,0.25,0.0,0.0070772045664738905,-0.0070772045664738905,246.6178238736764,0.0,0.0005955972788493363,1000.0,0.0,-0.14552326663478388,-0.33135240028936996,0.0054562686140273335,0.0,0.0,-0.013169932106683841,0.0003713995218531774,0.973,False,False,,,,module
evaluation,nuScenes,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.10305494863382716,0.17499597494029936,,oracle,brake,J,167.0,955.0,24.0,1.0,17.0,947.0,0.01780104712041885,0.9916230366492147,False,at_capacity,oracle escalating the same k (budget-constrained),47.32780447811231,47.32780447811232,0.9999999999999999,-2.264712483275277,6.132444776022348,0.005988023952095809,-0.04785162777459154,0.1295738275553944,-0.17742545532998594,246.6178238736764,-0.009183085178933853,0.02486618639195979,1000.0,0.0,-8.396124312659133,-20.809881319850568,3.4023729016135937,-0.5854372430827971,0.22716111683594895,-0.596401669793112,0.10440303028801101,0.907,False,False,,,,module
evaluation,nuScenes,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.3030549486338271,0.5146128051074592,,oracle,brake,J,491.0,955.0,24.0,1.0,17.0,947.0,0.01780104712041885,0.9916230366492147,False,at_capacity,oracle escalating the same k (budget-constrained),47.32780447811231,47.32780447811232,0.9999999999999999,5.667103430594083,18.030122066029776,0.002036659877800407,0.11974152389035811,0.38096257083651885,-0.2612210469461608,246.6178238736764,0.02297929379790858,0.07310956597875602,1000.0,0.0,-12.154676892599113,-23.509185029555837,-0.2705799464044456,-0.5622685810002521,0.4046467431532587,-0.6087882894492285,-0.009396603196396396,0.98,False,True,,,,module
evaluation,nuScenes,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.134822283795316,R2_cnn_clf,,,0.0030549486338271458,0.005187559856719355,,oracle,plan_ade,JC_ade,3.0,752.0,24.0,1.0,146.0,596.0,0.19414893617021275,0.7925531914893617,False,share_below_positives,oracle escalating the same k (budget-constrained),16.531699213043197,86.6346772761253,0.19082080908956056,0.0,-0.01007746821019782,0.3333333333333333,0.0,-0.0006095845369752971,0.0006095845369752971,3015.1530604685695,0.0,-3.3422741758362784e-06,1000.0,0.0,-0.3617191707618181,-2.8235504829674136,0.1694289647041844,-0.17238009772239288,0.00448903793684325,-0.16900121603709342,0.009710416062187439,0.575,False,False,,,,module
