decision,dJ_column,group,n_frames,mean_delta_fp,mean_delta_fn,mean_delta_n_det,share_delta_fp_pos,share_delta_fn_nonneg
brake,_dJ_longitudinal,helped,143,1.167832167832168,-1.1958041958041958,2.3076923076923075,0.6223776223776224,0.34265734265734266
brake,_dJ_longitudinal,harmed,97,1.7628865979381443,-0.7731958762886598,2.443298969072165,0.7216494845360825,0.5051546391752577
brake,_dJ_longitudinal,unaffected,3136,0.8341836734693877,-0.7869897959183674,1.561862244897959,0.49075255102040816,0.5596301020408163
self control (plannerC_path_dev),_dJ_plannerC_path_dev,helped,835,1.0934131736526946,-1.3209580838323354,2.3149700598802396,0.6,0.31017964071856285
self control (plannerC_path_dev),_dJ_plannerC_path_dev,harmed,578,1.2508650519031141,-1.013840830449827,2.190311418685121,0.6418685121107266,0.4463667820069204
self control (plannerC_path_dev),_dJ_plannerC_path_dev,unaffected,1963,0.6714212939378502,-0.522159959246052,1.1543555781966377,0.42078451349974527,0.6805909322465614
