registry_version,track,geometry,system,target,signal,unit,budget_level,budget_per_frame,cheap_cost,full_cost,headroom,n_frames,k_zero_overhead,gain_random,gain_zero_overhead,overheads_at_least_random,full_fidelity_feasible,gain_full_fidelity,overheads_at_least_full_fidelity,max_overhead_at_least_random,measured_overhead,measured_feasible,measured_capacity,measured_gain,measured_in_at_least_random,measured_in_at_least_full_fidelity,overhead_provenance,all_cheap_loss,measured_ndg,measured_minus_random,measured_minus_random_lo,measured_minus_random_hi,measured_matches_shipped
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,ms,0.1,14.645041501353262,12.709915251434722,19.351262499185395,1.9351262499185395,955,95,3.540244238045129,2.2708180957821487,none,False,35.58877102455893,not feasible (C_f > b),,0.29441049997558366,True,80.0,1.4708180957821488,False,,measured on nuScenes,246.6178238736764,0.030459411267058863,-0.07064854197323145,-0.16758868187453366,0.05369612904851518,True
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,ms,0.2,16.5801677512718,12.709915251434722,19.351262499185395,3.870252499837079,955,191,7.117754204911787,0.8173319606346463,none,False,35.58877102455893,not feasible (C_f > b),,0.29441049997558366,True,176.0,1.5473319606346463,False,,measured on nuScenes,246.6178238736764,0.03204394934410437,-0.11792520982570408,-0.42981124846066976,0.19064539086626178,True
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,ms,0.3,18.51529400119034,12.709915251434722,19.351262499185395,5.805378749755619,955,286,10.657998442956915,17.562871202515574,"[0, 0.314078]",False,35.58877102455893,not feasible (C_f > b),0.31407808246777513,0.29441049997558366,True,271.0,12.989359214372296,True,,measured on nuScenes,246.6178238736764,0.268998753510528,-0.04169120581567008,-0.4689220710504547,0.47998254535477114,True
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,ms,0.5,22.38554650102742,12.709915251434722,19.351262499185395,9.675631249592698,955,477,17.775752647868703,18.47351972814526,"[0, 0.577498]",True,35.58877102455893,none,0.5774984096818159,0.29441049997558366,True,462.0,18.47351972814526,True,False,measured on nuScenes,246.6178238736764,0.3825711259355117,0.02039586716344692,-0.38872308934395344,0.46355934441222807,True
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,mJ,0.1,67.8236625361018,54.55355389285198,132.70108643249824,13.270108643249827,955,95,3.540244238045129,2.2708180957821487,none,False,35.58877102455893,not feasible (C_f > b),,2.322374272157252,True,78.0,-1.029999456389135,False,,measured on nuScenes,246.6178238736764,-0.021330426336861295,-0.07190520833975274,-0.1633087574981044,0.05053990641599241,True
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.540217286499654,955,191,7.117754204911787,0.8173319606346463,none,False,35.58877102455893,not feasible (C_f > b),,2.322374272157252,True,174.0,1.5473319606346463,False,,measured on nuScenes,246.6178238736764,0.03204394934410437,-0.11764958081702336,-0.42981124846066976,0.17178120930509255,True
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,39.81032592974948,955,286,10.657998442956915,17.562871202515574,"[0, 2.15379]",False,35.58877102455893,not feasible (C_f > b),2.153787266844425,2.322374272157252,True,269.0,8.549359214372297,False,,measured on nuScenes,246.6178238736764,0.17705007106395815,-0.04558931200059285,-0.4689220710504547,0.47998254535477114,True
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,66.35054321624912,955,477,17.775752647868703,18.47351972814526,"[0, 3.96019]",False,35.58877102455893,not feasible (C_f > b),3.9601894905328834,2.322374272157252,True,460.0,18.47351972814526,True,,measured on nuScenes,246.6178238736764,0.3825711259355117,0.019983516464880696,-0.38872308934395344,0.46355934441222807,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,ms,0.1,14.645041501353262,12.709915251434722,19.351262499185395,1.9351262499185395,955,95,3.540244238045129,14.605146876484026,"[0, 1.24618]",False,35.58877102455893,not feasible (C_f > b),1.2461807787636157,1.4709314999947765,True,22.0,3.263137307950143,False,,measured on nuScenes,246.6178238736764,0.06757684146582489,0.030388218940006914,-0.14635981535802522,0.4143460212765016,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,ms,0.2,16.5801677512718,12.709915251434722,19.351262499185395,3.870252499837079,955,191,7.117754204911787,22.559239131798254,"[0, 3.18131]",False,35.58877102455893,not feasible (C_f > b),3.181307028682155,1.4709314999947765,True,118.0,14.605146876484026,True,,measured on nuScenes,246.6178238736764,0.30246036311516694,0.2324931950083018,-0.07996604365097577,0.6545938701048726,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,ms,0.3,18.51529400119034,12.709915251434722,19.351262499185395,5.805378749755619,955,286,10.657998442956915,23.599239131798257,"[0, 4.99485]",False,35.58877102455893,not feasible (C_f > b),4.994854666040368,1.4709314999947765,True,213.0,22.679239131798255,True,,measured on nuScenes,246.6178238736764,0.4696680533917879,0.27384345453332776,-0.11351715543456051,0.6851522512832482,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,ms,0.5,22.38554650102742,12.709915251434722,19.351262499185395,9.675631249592698,955,477,17.775752647868703,19.552871202515583,"[0, 7.10222]",True,35.58877102455893,none,7.1022172837527044,1.4709314999947765,True,404.0,19.552871202515583,True,False,measured on nuScenes,246.6178238736764,0.4049235912429697,0.08077663156608368,-0.33023495320031665,0.526784942964085,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,mJ,0.1,67.8236625361018,54.55355389285198,132.70108643249824,13.270108643249827,955,95,3.540244238045129,14.605146876484026,"[0, 8.54567]",False,35.58877102455893,not feasible (C_f > b),8.545672058357429,11.60302866907548,True,11.0,-1.0185524698224355,False,,measured on nuScenes,246.6178238736764,-0.0210933688294758,-0.058971051214631705,-0.15217817365128783,0.21339662223678157,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.540217286499654,955,191,7.117754204911787,22.559239131798254,"[0, 21.8158]",False,35.58877102455893,not feasible (C_f > b),21.815780701607256,11.60302866907548,True,107.0,14.605146876484026,True,,measured on nuScenes,246.6178238736764,0.30246036311516694,0.21806547978007912,-0.08590907768909539,0.6543672154074849,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,39.81032592974948,955,286,10.657998442956915,23.599239131798257,"[0, 34.2522]",False,35.58877102455893,not feasible (C_f > b),34.252165241616254,11.60302866907548,True,202.0,22.559239131798254,True,,measured on nuScenes,246.6178238736764,0.4671829538662049,0.2682875313331199,-0.11250110949029606,0.6701126928316933,True
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,66.35054321624912,955,477,17.775752647868703,19.552871202515583,"[0, 48.7034]",False,35.58877102455893,not feasible (C_f > b),48.70338303112391,11.60302866907548,True,393.0,19.502871202515582,True,,measured on nuScenes,246.6178238736764,0.40388813310731014,0.08506407512135343,-0.3263412575032705,0.5262985323627285,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,ms,0.1,14.645041501353262,12.709915251434722,19.351262499185395,1.9351262499185395,955,95,3.540244238045129,8.00724800817145,"[0, 0.172236]; [1.83381, 1.91486]",False,35.58877102455893,not feasible (C_f > b),1.9148631478454148,3.925717499981829,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,ms,0.2,16.5801677512718,12.709915251434722,19.351262499185395,3.870252499837079,955,191,7.117754204911787,12.019600694024522,"[0, 2.00605]",False,35.58877102455893,not feasible (C_f > b),2.00604710726566,3.925717499981829,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,ms,0.3,18.51529400119034,12.709915251434722,19.351262499185395,5.805378749755619,955,286,10.657998442956915,22.442020631629095,"[0, 2.94828]",False,35.58877102455893,not feasible (C_f > b),2.9482813546081945,3.925717499981829,True,92.0,8.00724800817145,False,,measured on nuScenes,246.6178238736764,0.16582340188610034,-0.1375571646687825,-0.4771282142978158,0.24686030000040662,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,ms,0.5,22.38554650102742,12.709915251434722,19.351262499185395,9.675631249592698,955,477,17.775752647868703,29.062940978467882,"[0, 5.23801]",True,35.58877102455893,none,5.238011891161022,3.925717499981829,True,283.0,22.442020631629095,True,False,measured on nuScenes,246.6178238736764,0.4647554568732055,0.0854800404927948,-0.383158958666983,0.5031406488012695,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,mJ,0.1,67.8236625361018,54.55355389285198,132.70108643249824,13.270108643249827,955,95,3.540244238045129,8.00724800817145,"[0, 1.18111]; [12.5753, 13.1312]",False,35.58877102455893,not feasible (C_f > b),13.131154626181976,30.966916337805152,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.540217286499654,955,191,7.117754204911787,12.019600694024522,"[0, 13.7564]",False,35.58877102455893,not feasible (C_f > b),13.7564477036126,30.966916337805152,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,39.81032592974948,955,286,10.657998442956915,22.442020631629095,"[0, 20.2178]",False,35.58877102455893,not feasible (C_f > b),20.217809503729008,30.966916337805152,True,63.0,-0.8699999999999999,False,,measured on nuScenes,246.6178238736764,-0.018016971560476523,-0.21613742664102717,-0.49962543534613624,0.2087867640027619,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,66.35054321624912,955,477,17.775752647868703,29.062940978467882,"[0, 35.9196]",False,35.58877102455893,not feasible (C_f > b),35.9196134480979,30.966916337805152,True,254.0,20.187824533661434,True,,measured on nuScenes,246.6178238736764,0.41807294309295207,0.0244990943969993,-0.4190099814285247,0.464310113160422,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,ms,0.1,14.645041501353262,12.709915251434722,19.351262499185395,1.9351262499185395,955,95,3.540244238045129,4.331192016362597,"[0, 1.65144]",False,35.58877102455893,not feasible (C_f > b),1.6514428206313727,21.376582500010954,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,ms,0.2,16.5801677512718,12.709915251434722,19.351262499185395,3.870252499837079,955,191,7.117754204911787,8.172473792427168,"[0, 0.26342]",False,35.58877102455893,not feasible (C_f > b),0.26342032723430453,21.376582500010954,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,ms,0.3,18.51529400119034,12.709915251434722,19.351262499185395,5.805378749755619,955,286,10.657998442956915,16.14284252303338,"[0, 0.861182]",False,35.58877102455893,not feasible (C_f > b),0.8611818389892472,21.376582500010954,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,ms,0.5,22.38554650102742,12.709915251434722,19.351262499185395,9.675631249592698,955,477,17.775752647868703,27.138328555039724,"[0, 3.81959]",True,35.58877102455893,none,3.8195947446238723,21.376582500010954,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,mJ,0.1,67.8236625361018,54.55355389285198,132.70108643249824,13.270108643249827,955,95,3.540244238045129,4.331192016362597,"[0, 11.3248]",False,35.58877102455893,not feasible (C_f > b),11.32475240249352,168.62314770970988,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,mJ,0.2,81.09377117935163,54.55355389285198,132.70108643249824,26.540217286499654,955,191,7.117754204911787,8.172473792427168,"[0, 1.8064]",False,35.58877102455893,not feasible (C_f > b),1.806402223827419,168.62314770970988,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,mJ,0.3,94.36387982260146,54.55355389285198,132.70108643249824,39.81032592974948,955,286,10.657998442956915,16.14284252303338,"[0, 5.90555]",False,35.58877102455893,not feasible (C_f > b),5.905545731428148,168.62314770970988,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,mJ,0.5,120.9040971091011,54.55355389285198,132.70108643249824,66.35054321624912,955,477,17.775752647868703,27.138328555039724,"[0, 26.1928]",False,35.58877102455893,not feasible (C_f > b),26.192832243621588,168.62314770970988,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm_batched,ms,0.1,14.645041501353262,12.709915251434722,19.351262499185395,1.9351262499185395,955,95,3.540244238045129,4.331192016362597,"[0, 1.65144]",False,35.58877102455893,not feasible (C_f > b),1.6514428206313727,3.5357949274881264,False,,,False,,measured on nuScenes,246.6178238736764,,,,,True
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm_batched,ms,0.2,16.5801677512718,12.709915251434722,19.351262499185395,3.870252499837079,955,191,7.117754204911787,8.172473792427168,"[0, 0.26342]",False,35.58877102455893,not feasible (C_f > b),0.26342032723430453,3.5357949274881264,True,16.0,4.32,False,,measured on nuScenes,246.6178238736764,0.08946358292098688,-0.07521945758057837,-0.42337733547236045,0.2994856048434464,True
