section,track,geometry,system,target,unit,budget_level,budget,budget_shipped,feasible,share_cascade,share_cascade_shipped,share_equal,eta_cascade,eta_cascade_shipped,eta_match,Cc,Cf,Cs,signal,eligible,share_skipping,ineligible_reason,k,n_test,n_units,coverage,n_positive,n_nonnegative,share_positive,share_nonnegative,share_skipping_exceeds_nonnegative,regime,denominator,oracle_same_k,oracle_capacity,oracle_same_k_over_capacity,gain_r2,gain_random,tie_frac_r2,ndg_r2,ndg_random,ndg_minus_random,all_cheap_loss,gain_share_all_cheap_r2,gain_share_all_cheap_random,n_draws,n_draws_oracle_nonpositive,gain_minus_random_mean,gain_minus_random_lo,gain_minus_random_hi,ndg_r2_lo,ndg_r2_hi,ndg_minus_random_lo,ndg_minus_random_hi,p_le_random,beats_random,loses_to_random,cascade_eta_shipped,cascade_minus_random_lo_shipped,cascade_minus_random_hi_shipped
validation,nuScenes,mono,plan_ade,JC_ade,ms,0.5,22.38554650102742,22.38554650102742,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_ade,JC_ade,mJ,0.1,30.37173042357946,30.37173042357946,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_ade,JC_ade,mJ,0.2,37.03785043214059,37.03785043214059,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_ade,JC_ade,mJ,0.3,43.70397044070172,43.70397044070172,True,0.06310186642451769,0.06310186642451769,True,0.02997139778514324,0.02997139778514324,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_ade,JC_ade,mJ,0.5,57.03621045782397,57.03621045782397,True,0.26310186642451766,0.26310186642451766,True,0.0816057229822156,0.0816057229822156,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,ms,0.1,14.645041501353262,14.645041501353262,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,ms,0.2,16.5801677512718,16.5801677512718,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,ms,0.3,18.51529400119034,18.51529400119034,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,ms,0.5,22.38554650102742,22.38554650102742,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,mJ,0.1,30.37173042357946,30.37173042357946,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,mJ,0.2,37.03785043214059,37.03785043214059,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,mJ,0.3,43.70397044070172,43.70397044070172,True,0.06310186642451769,0.06310186642451769,True,0.059077422303934604,0.059077422303934604,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,nuScenes,mono,plan_fde,JC_fde,mJ,0.5,57.03621045782397,57.03621045782397,True,0.26310186642451766,0.26310186642451766,True,0.11102127564846527,0.11102127564846527,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,ms,0.1,15.02567092411482,15.02567092411482,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,ms,0.2,16.87258609890705,16.87258609890705,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,ms,0.3,18.71950127369928,18.71950127369928,True,0.03920713491760384,0.03920713491760384,True,0.04726843712251987,0.04726843712251987,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,ms,0.5,22.41333162328374,22.41333162328374,True,0.23920713491760384,0.23920713491760384,True,0.20291243811593423,0.20291243811593423,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,mJ,0.1,17.162697553314068,17.162697553314068,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,mJ,0.2,20.46767989835946,20.46767989835946,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,mJ,0.3,23.77266224340485,23.77266224340485,True,0.06433421244540062,0.06433421244540062,True,0.06068589265103458,0.06068589265103458,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,brake,J,mJ,0.5,30.38262693349563,30.38262693349563,True,0.2643342124454006,0.2643342124454006,True,0.20365395927587454,0.20365395927587454,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,traj,JB,ms,0.1,15.02567092411482,15.02567092411482,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,traj,JB,ms,0.2,16.87258609890705,16.87258609890705,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,traj,JB,ms,0.3,18.71950127369928,18.71950127369928,True,0.03920713491760384,0.03920713491760384,True,-4.375638239437214e-06,-4.375638239437214e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,traj,JB,ms,0.5,22.41333162328374,22.41333162328374,True,0.23920713491760384,0.23920713491760384,True,0.301229010074452,0.301229010074452,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,traj,JB,mJ,0.1,17.162697553314068,17.162697553314068,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,traj,JB,mJ,0.2,20.46767989835946,20.46767989835946,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation,KITTI,oracle,traj,JB,mJ,0.3,23.77266224340485,23.77266224340485,True,0.06433421244540062,0.06433421244540062,True,0.017013836716025642,0.017013836716025642,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
