track,geometry,system,target,signal,quota,n_test_units,n_test_frames,available,undefined_reason,all_cheap_loss,gain,gain_random,delta_vs_random,delta_lo_all_draws,delta_hi_all_draws,delta_share_all_cheap,delta_share_lo_all_draws,delta_share_hi_all_draws,beats_random_all_draws,ndg,ndg_official,ndg_lo_filtered,ndg_hi_filtered,ndg_draws_dropped_by_filter,delta_lo_filtered,delta_hi_filtered,beats_random_filtered,interval
KITTI,mono,brake,J,R1_gbm_clf,0.1,6.0,3536.0,,,7904.410690898589,326.1953931997287,87.77748347507921,238.4179097246495,32.47899288683968,542.1290580380885,0.03016264197901206,0.00410897082109323,0.06858563898537239,True,0.16261364867625122,0.16261364867625122,0.016043894889283417,0.34511671857750487,1.0,32.39672920893796,542.1290580380885,True,above random
KITTI,mono,brake,J,R1_gbm_clf,0.2,6.0,3536.0,,,7904.410690898589,474.75498974845397,175.30700795729098,299.447981791163,23.46303799087959,900.9977526129917,0.037883656796319776,0.002968347535116785,0.11398670790858977,True,0.21495919906984853,0.21495919906984853,0.025163558240679288,0.4011975502230758,2.0,23.463037990879606,900.9977526129917,True,above random
KITTI,mono,brake,J,R1_gbm_clf,0.3,6.0,3536.0,,,7904.410690898589,767.0270143982342,263.08449143237016,503.94252296586404,74.29881376694061,960.0431154702384,0.06375459761296574,0.009399665158149086,0.12145663389880097,True,0.3472939015708756,0.3472939015708756,0.037882912977816825,0.5099119374068334,2.0,74.37588755319467,963.9626287123631,True,above random
KITTI,mono,brake,J,R1_gbm_clf,0.5,6.0,3536.0,,,7904.410690898589,887.4977513910193,438.39149938966113,449.10625200135814,-80.2307937467882,895.0493090540052,0.056817170762454766,-0.010150129704061138,0.11323416052819674,False,0.40184054919862233,0.40184054919862233,-0.05833530964105096,0.6573395984316327,2.0,-80.2307937467882,895.5100143838747,False,includes 0
KITTI,mono,brake,J,R1_gbm_reg,0.1,6.0,3536.0,,,7904.410690898589,182.31452401369688,87.77748347507921,94.53704053861767,-7.184596116410045,496.12328412868044,0.011960036520808678,-0.0009089350740191976,0.06276537284429488,False,0.0908867218072224,0.0908867218072224,0.003909182703004406,0.32437049977128235,1.0,-6.764507986558136,496.12328412868044,False,includes 0
KITTI,mono,brake,J,R1_gbm_reg,0.2,6.0,3536.0,,,7904.410690898589,444.4685122680024,175.30700795729098,269.16150431071145,7.215850846106886,864.313902681735,0.03405206470618149,0.0009128891612900967,0.10934577370542448,True,0.20124611109304952,0.20124611109304952,0.026827855111895383,0.40864104799420503,2.0,7.215850846106875,864.7702958623461,True,above random
KITTI,mono,brake,J,R1_gbm_reg,0.3,6.0,3536.0,,,7904.410690898589,765.3054303460532,263.08449143237016,502.220938913683,16.379240759087374,991.0365887418924,0.06353679718235763,0.002072164693814176,0.12537766918955845,True,0.3465144040679966,0.3465144040679966,0.0648150807089077,0.5027552088762879,2.0,15.988498094506014,991.7421535112339,True,above random
KITTI,mono,brake,J,R1_gbm_reg,0.5,6.0,3536.0,,,7904.410690898589,961.5307429637614,438.39149938966113,523.1392435741003,20.135851955148183,988.0885540713017,0.06618320631751344,0.002547419756204381,0.12500470847358944,True,0.43536115017567256,0.43536115017567256,-0.005272411458690913,0.6569146463997642,2.0,20.89502413519845,988.0885540713017,True,above random
KITTI,mono,brake,J,R1_mlp_clf,0.1,6.0,3536.0,,,7904.410690898589,190.7931273599754,87.77748347507921,103.01564388489618,-17.232441920983867,223.93643554730804,0.013032678578241379,-0.0021801045764013624,0.028330566857457974,False,0.09511344190983533,0.09511344190983533,-0.0019157340957858232,0.18542237419987034,1.0,-17.232441920983867,223.93643554730804,False,includes 0
KITTI,mono,brake,J,R1_mlp_clf,0.2,6.0,3536.0,,,7904.410690898589,380.23725971930537,175.30700795729098,204.9302517620144,24.61134497419533,536.9001237274339,0.025926063279831622,0.0031136217406483803,0.06792411790364578,True,0.17216353397166592,0.17216353397166592,0.012370892397685657,0.27561362091281766,2.0,24.641362345050013,537.2610523178112,True,above random
