status,track,geometry,system,target,signal,seed,shipped_seed,quota,plan,ndg,minus_random,minus_random_lo,minus_random_hi,win,loss,row_type,ndg_min,ndg_median,ndg_max,wins,seeds,shipped_win,flag_shipped_win_not_robust
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,gate_gbm,4.0,False,0.2,benchmark_table,0.15826369729915046,0.07243458579378195,-0.07163256635273238,0.2156340386527802,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,gate_gbm,5.0,False,0.2,benchmark_table,0.15826369729915046,0.07243458579378195,-0.07163256635273238,0.2156340386527802,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_reg,0.0,True,0.2,routers_r1,0.10656645869394232,0.10299283326927285,-0.32829866582176087,0.5679907617233227,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_reg,1.0,False,0.2,routers_r1,0.18649456202049566,0.25309892377561577,-0.1677916555447179,0.7633152335598951,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_reg,2.0,False,0.2,routers_r1,0.02918071830383494,0.10036343261814108,-0.08326088089346116,0.22688268613368487,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_reg,3.0,False,0.2,routers_r1,0.1171813864231358,0.18822788986984845,-0.12694344829553578,0.48708280727198716,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_reg,4.0,False,0.2,routers_r1,0.10571848321396753,0.14711452160555538,-0.32382011889848844,0.5604695417927409,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_reg,5.0,False,0.2,routers_r1,0.06495239799711568,0.15520315883519645,-0.1723007821931105,0.5717295848126946,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_clf,0.0,True,0.2,routers_r1,0.12740649448349328,0.10530913537599611,-0.2055391666792652,0.595158387474529,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_clf,1.0,False,0.2,routers_r1,0.06168078495398173,0.08256481210556374,-0.21408550031051674,0.56050942465793,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_clf,2.0,False,0.2,routers_r1,0.002623247507257313,0.03265386402846968,-0.272553551597655,0.39049343963524286,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_clf,3.0,False,0.2,routers_r1,-0.005771371947233809,0.019933879894432287,-0.2571061951286863,0.31073224206674616,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_clf,4.0,False,0.2,routers_r1,0.059984504977103704,0.07370446820029662,-0.2783155112172563,0.4868827319070883,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_mlp_clf,5.0,False,0.2,routers_r1,0.13185465000843194,0.056168865651224475,-0.22498423131993298,0.4338329655349167,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_reg,0.0,True,0.2,routers_r1,0.12532701685582354,0.1272638969545116,-0.24194038091044354,0.5681806475851373,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_reg,1.0,False,0.2,routers_r1,0.12532701685582354,0.1272638969545116,-0.24194038091044354,0.5681806475851373,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_reg,2.0,False,0.2,routers_r1,0.12532701685582354,0.1272638969545116,-0.24194038091044354,0.5681806475851373,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_reg,3.0,False,0.2,routers_r1,0.12532701685582354,0.1272638969545116,-0.24194038091044354,0.5681806475851373,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_reg,4.0,False,0.2,routers_r1,0.12532701685582354,0.1272638969545116,-0.24194038091044354,0.5681806475851373,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_reg,5.0,False,0.2,routers_r1,0.12532701685582354,0.1272638969545116,-0.24194038091044354,0.5681806475851373,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_clf,0.0,True,0.2,routers_r1,0.058500686007273026,0.03347552891943079,-0.368834516839476,0.31894316683335716,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_clf,1.0,False,0.2,routers_r1,0.058500686007273026,0.03347552891943079,-0.368834516839476,0.31894316683335716,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_clf,2.0,False,0.2,routers_r1,0.058500686007273026,0.03347552891943079,-0.368834516839476,0.31894316683335716,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_clf,3.0,False,0.2,routers_r1,0.058500686007273026,0.03347552891943079,-0.368834516839476,0.31894316683335716,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_clf,4.0,False,0.2,routers_r1,0.058500686007273026,0.03347552891943079,-0.368834516839476,0.31894316683335716,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,R1_gbm_clf,5.0,False,0.2,routers_r1,0.058500686007273026,0.03347552891943079,-0.368834516839476,0.31894316683335716,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,gate_gbm,0.0,True,0.2,benchmark_table,0.1839658206035396,0.22277014644438628,-0.169704500394598,0.6101673964846086,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,gate_gbm,1.0,False,0.2,benchmark_table,0.1839658206035396,0.22277014644438628,-0.169704500394598,0.6101673964846086,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,gate_gbm,2.0,False,0.2,benchmark_table,0.1839658206035396,0.22277014644438628,-0.169704500394598,0.6101673964846086,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,gate_gbm,3.0,False,0.2,benchmark_table,0.1839658206035396,0.22277014644438628,-0.169704500394598,0.6101673964846086,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,gate_gbm,4.0,False,0.2,benchmark_table,0.1839658206035396,0.22277014644438628,-0.169704500394598,0.6101673964846086,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,traj,JB,gate_gbm,5.0,False,0.2,benchmark_table,0.1839658206035396,0.22277014644438628,-0.169704500394598,0.6101673964846086,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_reg,0.0,True,0.2,routers_r1,0.255483911446442,0.1174533776906491,-0.03175615014685519,0.25766272996351985,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_reg,1.0,False,0.2,routers_r1,0.2565379464975665,0.17460483497820628,0.009780479634511091,0.4216881719937331,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_reg,2.0,False,0.2,routers_r1,0.26415067289709276,0.11204457999625123,-0.017060370833010482,0.2666982578402649,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_reg,3.0,False,0.2,routers_r1,0.21864334430670074,0.10439618177454812,0.012976258296324445,0.30636351051777383,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_reg,4.0,False,0.2,routers_r1,0.25798906111982767,0.10086961121009543,-0.012821358017789523,0.24369993683042757,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_reg,5.0,False,0.2,routers_r1,0.26420447666070335,0.11927831159370268,-0.022485591719939316,0.3040801733863855,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_clf,0.0,True,0.2,routers_r1,0.31337637996342604,0.17353082870797334,0.0013742121217824139,0.34052053125020015,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_clf,1.0,False,0.2,routers_r1,0.23991143249973473,0.10480030088169336,-0.04105384230118195,0.2710822568964342,False,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_clf,2.0,False,0.2,routers_r1,0.29005672289582274,0.14365681173040473,0.0028133422283146987,0.2815700892855162,True,False,seed,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,brake,J,R1_mlp_clf,3.0,False,0.2,routers_r1,0.2827131273853457,0.13413325544279964,-0.00559969915789877,0.24029779764345108,False,False,seed,,,,,,,
