registry_version,track,geometry,system,target,signal,quota,k,n_frames,all_cheap_loss,identity_checked,benefit_share,benefit_share_lo,benefit_share_hi,harm_share,harm_share_lo,harm_share_hi,missed_benefit_share,missed_benefit_share_lo,missed_benefit_share_hi,budget_forced_share,budget_forced_share_lo,budget_forced_share_hi,gain_share,gain_share_lo,gain_share_hi,oracle_gain_share,oracle_gain_share_lo,oracle_gain_share_hi,benefit_minus_random,benefit_minus_random_lo,benefit_minus_random_hi,harm_minus_random,harm_minus_random_lo,harm_minus_random_hi,missed_benefit_minus_random,missed_benefit_minus_random_lo,missed_benefit_minus_random_hi,gain_minus_random,gain_minus_random_lo,gain_minus_random_hi
2026-09-23.1,nuScenes,oracle,brake,J,random,0.1,96,955,246.6178238736764,True,0.01968252717744679,0.009487384326511738,0.030348553320325346,0.0051762359829419504,0.0010347104505200372,0.013924295193058898,0.17611761297319575,0.08499607091841115,0.2731115317867237,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.014506291194504839,-0.0002638735167550539,0.026435501822974578,0.1958001401506424,0.09448345524492292,0.3034218069266053,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,random,0.2,191,955,246.6178238736764,True,0.03916002803012852,0.01889115897367361,0.06062055027976343,0.01029855284106159,0.002079772353755648,0.027989594246605208,0.15664011212051404,0.07560505368192882,0.24286168751454743,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.02886147518906692,-0.0005275801060104718,0.05293082656954586,0.1958001401506424,0.09448345524492292,0.3034218069266053,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,random,0.3,286,955,246.6178238736764,True,0.058637528882810236,0.028363326059467384,0.09099285818229508,0.015420869699181227,0.0031144828042756856,0.04191577427270289,0.1371626112678323,0.06612012918545551,0.2124909815069602,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.04321665918362899,-0.0007914536227655256,0.07930107247711236,0.1958001401506424,0.09448345524492292,0.3034218069266053,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,random,0.5,478,955,246.6178238736764,True,0.09800258323770383,0.04724172762246144,0.1518682880289122,0.02577334166506513,0.005194255158031334,0.06990725335234688,0.09779755691293873,0.04724172762246144,0.151795851512351,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.07222924157263867,-0.001321642660110629,0.13217771363033076,0.1958001401506424,0.09448345524492292,0.3034218069266053,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,0.1,96,955,246.6178238736764,True,0.014027252820852711,0.0,0.032036757566275165,0.00481941025654026,0.0,0.03240780124495987,0.18177288732978983,0.08450015584392159,0.2973979595329541,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.00920784256431245,-0.024154041698634148,0.025206370566076736,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.005655274356594081,-0.027966830357257104,0.015102578560534744,-0.0003568257264016904,-0.008788234824486638,0.02418557599296845,0.0056552743565940755,-0.015102578560534765,0.027966830357257142,-0.005298448630192389,-0.03811228371479486,0.011596389316263604
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,0.2,191,955,246.6178238736764,True,0.03228096095542149,0.0009669244211508786,0.08821626227094681,0.028966796764866864,0.0007329615714294497,0.0713369389530588,0.16351917919522105,0.05818289759235977,0.27059733120698776,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.003314164190554627,-0.06179254828207934,0.07489267782459134,0.1958001401506424,0.09448345524492292,0.3034218069266053,-0.006879067074707028,-0.04550986575321599,0.05157865858237169,0.018668243923805276,-0.0064161814308827,0.05098072927228157,0.006879067074707007,-0.05157865858237173,0.045509865753216,-0.025547310998512294,-0.0736870552739182,0.04498434735623724
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,0.3,286,955,246.6178238736764,True,0.10056817575672507,0.010118428297654605,0.15589414763556264,0.029353245194724414,0.0009775293129124475,0.0828268145939822,0.09523196439391748,0.022973068788277727,0.23798517411506334,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.07121493056200066,-0.05378400026242499,0.13419391703029743,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.04193064687391483,-0.05307042121183268,0.09386364009100406,0.013932375495543187,-0.009946041166189086,0.05210662845593011,-0.04193064687391482,-0.09386364009100409,0.0530704212118327,0.027998271378371672,-0.08070571942953358,0.08879195656117367
2026-09-23.1,nuScenes,oracle,brake,J,uncertainty,0.5,478,955,246.6178238736764,True,0.10446346811856894,0.026893686239653717,0.18250959677236836,0.02955598804280668,0.001319702251392488,0.08313358605487219,0.09133667203207363,0.00993232702080174,0.20828123609685206,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.07490748007576226,-0.03291330188944574,0.1610838093972767,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.006460884880865103,-0.07586005550766736,0.07522926647344573,0.0037826463777415505,-0.02559357482895671,0.03496846455145235,-0.006460884880865103,-0.07522926647344573,0.07586005550766735,0.002678238503123584,-0.08190982953529595,0.07970091182660842
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,0.1,96,955,246.6178238736764,True,0.06411745542789078,0.014658004158122484,0.14463851190844695,0.004895673939926895,0.0,0.01970100535710252,0.13168268472275177,0.03517687596376974,0.22361715879043056,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.059221781487963886,0.009763840901361823,0.1389143828513185,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.04443492825044399,-0.004098718673950546,0.12254989553969944,-0.00028056204301505575,-0.009796846256583473,0.012515084775051847,-0.044434928250443984,-0.1225498955396995,0.004098718673950532,0.044715490293459045,-0.003233670741565548,0.12639878116074765
2026-09-23.1,nuScenes,oracle,brake,J,criticality_cheap,0.2,191,955,246.6178238736764,True,0.09655386736469622,0.023692460751030577,0.16921303438395308,0.005079379521702181,0.0,0.020446172097952093,0.09924627278594633,0.020478212115891802,0.21283101146015607,1.440574579321682e-16,-6.173526981473557e-17,2.5115908087250964e-16,0.09147448784299403,0.014172735942313042,0.16289405929638268,0.1958001401506424,0.09448345524492292,0.3034218069266053,0.0573938393345677,-0.014034950055895197,0.12694424320408063,-0.005219173319359408,-0.021339746749238477,0.007607122717682284,-0.05739383933456771,-0.12694424320408068,0.014034950055895194,0.0626130126539271,-0.011966628352566082,0.13155066018890163
