track,geometry,system,target,section,objective,signal,tier,n_units,n_frames,n_affected,available,quota,k,coverage,gain,prize,eta,ndg_defined,undefined_reason,pool,n_methods,kendall_tau,kendall_p,argmax_dec,argmax_perc,argmax_differs,eta_dec_of_dec,eta_dec_of_perc,regret_ndg,perc_winner_worse_than_random,cheap_loss_total,e_dec_defined,n_affected_dec,regret_gain,regret_gain_lo,regret_gain_hi,regret_share_cheap,regret_share_lo,regret_share_hi,n_draws,n_draws_kept_under_official_filter,eta_official,abs_diff,matches_to_3dp
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_reg,2.0,24.0,955.0,25.0,True,0.3,286.0,1.0,24.534184597135155,47.32780447811231,0.5183883948912416,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_reg,2.0,24.0,955.0,25.0,True,0.5,478.0,1.0,23.060977241973255,47.32780447811231,0.4872606599073968,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,25.0,True,0.1,96.0,1.0,4.290512345130779,47.32780447811231,0.09065521615554788,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,25.0,True,0.2,191.0,1.0,16.7531678932857,47.32780447811231,0.35398151420764795,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,25.0,True,0.3,286.0,1.0,17.73219573421101,47.32780447811231,0.37466761726527203,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,25.0,True,0.5,478.0,1.0,17.085251296413677,47.32780447811231,0.36099818034692677,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,25.0,True,0.1,96.0,1.0,1.2239254982553391,47.32780447811231,0.025860601643191962,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,25.0,True,0.2,191.0,1.0,9.292149337892253,47.32780447811231,0.19633594755466827,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,25.0,True,0.3,286.0,1.0,24.20090564820528,47.32780447811231,0.5113464677914115,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,25.0,True,0.5,478.0,1.0,25.504485199707275,47.32780447811231,0.5388900981346458,True,,,,,,,,,,,,,,,,,,,,,,,,,,
