track,geometry,system,target,architecture,objective,variant,quota,k,ndg,ndg_lo,ndg_hi,minus_random,minus_random_lo,minus_random_hi,boot_dropped,n_frames,n_units,budget_ms_feasible,budget_ms_escalated_frac,budget_ms_ndg,budget_mJ_feasible,budget_mJ_escalated_frac,budget_mJ_ndg,counterpart,minus_V,minus_V_lo,minus_V_hi
KITTI,mono,brake,J,R1_mlp_reg,V,,0.1,354,0.08349515931630003,0.01238369458239087,0.21965702864640463,0.044320134167943975,-0.004622290117067218,0.13294863633765142,3,3536,6,True,0.06456837818364361,0.0570565497097891,False,,,,,,
KITTI,mono,brake,J,R1_mlp_reg,V,,0.2,707,0.16542767085224294,0.03566849415246288,0.3524056868192175,0.09434732261322464,-0.000994611199556749,0.22328567648002434,4,3536,6,True,0.16456837818364362,0.1184002070079313,True,0.02320662357036599,-0.021056420324000364,,,,
KITTI,mono,brake,J,R1_mlp_reg,V,,0.3,1061,0.3122832672005269,0.032175320290074375,0.47256604017988196,0.15029668838500312,0.011469846643451624,0.2535669154846414,4,3536,6,True,0.2645683781836436,0.2525450642226777,True,0.12320662357036595,0.09059610496512045,,,,
KITTI,mono,brake,J,R1_mlp_reg,V,,0.5,1768,0.3811854553468855,0.10599539372782607,0.6212300061286471,0.17463601841474166,0.054199623667560884,0.2550783880096049,4,3536,6,True,0.4645683781836436,0.367865225002533,True,0.32320662357036595,0.33234571322775514,,,,
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.1,354,0.002139438050212325,-0.06491683991908917,0.18069756648832094,-0.03193355189051212,-0.0894088820865844,0.06324619862855978,3,3536,6,True,0.06456837818364361,-0.027503533274504697,False,,,R1_mlp_reg|V,-0.07625368605845609,-0.21041564108888683,0.05202027726058682
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.2,707,0.04679434536257546,-0.06877199923840499,0.2311841280475818,-0.017436976209531347,-0.10611246562878413,0.07902599247929008,4,3536,6,True,0.16456837818364362,0.05702424173413853,True,0.02320662357036599,-0.01731929534649352,R1_mlp_reg|V,-0.11178429882275598,-0.24511830107561766,0.06309667030513183
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.3,1061,0.13013410704974232,-0.12193304569591565,0.32782402084624324,-0.012217061521318877,-0.11064792052501592,0.10891112074654222,4,3536,6,True,0.2645683781836436,0.08478594666709244,True,0.12320662357036595,0.009805930296494065,R1_mlp_reg|V,-0.162513749906322,-0.294470942353884,0.032387761045120894
KITTI,mono,brake,J,R1_mlp_reg,Q,,0.5,1768,0.23148476450823013,-0.0661448602120668,0.4896949476501723,0.035714259804361714,-0.043464514317977,0.11756376493513676,4,3536,6,True,0.4645683781836436,0.23108464989140193,True,0.32320662357036595,0.13005871774198435,R1_mlp_reg|V,-0.13892175861037998,-0.2576658412095171,0.010958258544765079
KITTI,mono,brake,J,R1_mlp_reg,G,,0.1,354,0.09170069836652901,0.011636946411986098,0.17565604538739557,0.0494462293235562,-0.04939860174779382,0.18085101428961955,3,3536,6,True,0.06456837818364361,0.06927361840317478,False,,,R1_mlp_reg|V,0.005126095155612223,-0.11007062796301556,0.12728352797625866
KITTI,mono,brake,J,R1_mlp_reg,G,,0.2,707,0.10809271704703326,0.013663980870655068,0.1953388935028955,0.03521591021756607,-0.0733329592301056,0.19356141485018533,4,3536,6,True,0.16456837818364362,0.09717214950595186,True,0.02320662357036599,0.08190460699166398,R1_mlp_reg|V,-0.05913141239565856,-0.18743016344943758,0.11887768255344583
KITTI,mono,brake,J,R1_mlp_reg,G,,0.3,1061,0.15218131492652479,0.06062746018964799,0.2570340056132467,0.046610238664438995,-0.04056456638959256,0.18421605494153104,4,3536,6,True,0.2645683781836436,0.14900776623562148,True,0.12320662357036595,0.08318743125662895,R1_mlp_reg|V,-0.10368644972056414,-0.23895415778906304,0.11222310797299168
KITTI,mono,brake,J,R1_mlp_reg,G,,0.5,1768,0.2245171674400437,0.05454625910531748,0.3688474283124356,0.028380879099826423,-0.0778401848621218,0.14665174236393877,4,3536,6,True,0.4645683781836436,0.21430940959120207,True,0.32320662357036595,0.17211812462567327,R1_mlp_reg|V,-0.14625513931491524,-0.2987092506940417,0.0795942850481405
KITTI,mono,brake,J,R1_mlp_clf,V,,0.1,354,0.08633197562527438,-0.01757755644271976,0.20695374590002233,0.03198080198219678,-0.04200001589327634,0.12411372807129928,3,3536,6,True,0.06456837818364361,0.04545257255476415,False,,,,,,
KITTI,mono,brake,J,R1_mlp_clf,V,,0.2,707,0.18492768886511202,-0.04405770598051315,0.3139065005926941,0.07891068959902761,-0.06267301351961665,0.19791091423734133,4,3536,6,True,0.16456837818364362,0.15033254461065587,True,0.02320662357036599,-0.004516268615894432,,,,
KITTI,mono,brake,J,R1_mlp_clf,V,,0.3,1061,0.2518389538376761,-0.0058627582025889725,0.4013074828077207,0.11140819555548227,-0.06920130516718176,0.23102114679285304,4,3536,6,True,0.2645683781836436,0.22795277440742018,True,0.12320662357036595,0.10163881186642888,,,,
KITTI,mono,brake,J,R1_mlp_clf,V,,0.5,1768,0.38432973861412384,0.042032356222596504,0.5580505683155832,0.15052978714364082,0.013378583345709879,0.26950802561412235,4,3536,6,True,0.4645683781836436,0.35842714557822963,True,0.32320662357036595,0.2671943548999835,,,,
KITTI,mono,brake,J,R1_mlp_clf,Q,,0.1,354,0.012211351320490362,-0.06597914262555352,0.13777758103816906,-0.030346102285897517,-0.08475972338481737,0.022676316709845733,3,3536,6,True,0.06456837818364361,-0.006676658797629457,False,,,R1_mlp_clf|V,-0.06232690426809429,-0.18416112512529945,0.017323049867064948
KITTI,mono,brake,J,R1_mlp_clf,Q,,0.2,707,0.020187809537107297,-0.12439377818518631,0.19382888768105916,-0.06456231739203136,-0.12778907896426522,0.026849077505329416,4,3536,6,True,0.16456837818364362,-0.003908221658047304,True,0.02320662357036599,-0.010200509838157054,R1_mlp_clf|V,-0.14347300699105897,-0.2817636558069539,0.008441740396269555
