geometry,quantity,value,baseline,paired_diff,lo,hi,n
mono,spearman (all frames),-0.013481288447345356,0.0,-0.013481288447345356,-0.05250380303049967,0.030490097421637555,2655
mono,spearman (both respond),0.0024172388476379207,0.0,0.0024172388476379207,-0.12430247940282928,0.1148840446673083,286
mono,responsive_frac brake @10,0.8120300751879699,,,,,2655
mono,responsive_frac plan @10,1.0,,,,,2655
mono,responsive_frac brake @20,0.4067796610169492,,,,,2655
mono,responsive_frac plan @20,1.0,,,,,2655
mono,responsive_frac brake @30,0.271356783919598,,,,,2655
mono,responsive_frac plan @30,1.0,,,,,2655
mono,overlap@10,0.14332706766917291,0.10018832391713747,0.04313874375203544,0.001647887528254365,0.08433738657872106,2655
mono,overlap@20,0.2139830508474576,0.2,0.013983050847457601,-0.015304451932188153,0.05188157824098013,2655
mono,overlap@30,0.30559045226130654,0.2998116760828625,0.005778776178444023,-0.021936215424043004,0.03196505267206564,2655
mono,cross_eta brake->plan @10,0.09426920580381394,0.029622022601788693,0.06464718320202525,-0.0340783096690756,0.17085341066146767,2655
mono,cross_eta brake->plan @20,0.11281065101752158,0.0428765247209813,0.06993412629654028,-0.023410921161224455,0.15057272311151781,2655
mono,cross_eta brake->plan @30,0.13585499259565634,0.06847166003707783,0.06738333255857851,-0.02909624488874748,0.13657551281457248,2655
mono,cross_eta plan->brake @10,0.23344556443820783,0.09323131571014218,0.14021424872806565,-0.04111622494018473,0.38400984058993476,2655
mono,cross_eta plan->brake @20,0.2241982308809228,0.15429119958266913,0.06990703129825368,-0.11227778135571231,0.285054484617145,2655
mono,cross_eta plan->brake @30,0.30077942838426314,0.1514483471057489,0.14933108127851424,-0.07704048249592998,0.2568995475578692,2655
mono,strict_pairs disagreement,0.5115013242177125,0.5,0.01150132421771255,0.47444768175046065,0.5398345338912108,820862
mono,strict_pairs gamma,-0.0230026484354252,0.0,-0.0230026484354252,-0.07966906778242168,0.051104636499078586,820862
mono,best_compatible brake-opt->plan @10,0.5812474389684422,,,0.20939976496568968,0.690209871051441,2655
mono,best_compatible brake-opt->plan @20,0.8174707804379266,,,0.6925157540583542,0.8216776333683715,2655
mono,best_compatible brake-opt->plan @30,0.8518185555487703,,,0.7117094841202977,0.8366660180490428,2655
mono,best_compatible plan-opt->brake @10,0.23344556443820777,,,-0.057588901732120064,0.34900131975203363,2655
mono,best_compatible plan-opt->brake @20,0.22419823088092278,,,-0.10043342401560727,0.30109461927045317,2655
mono,best_compatible plan-opt->brake @30,0.30077942838426314,,,-0.06824960577564833,0.3546622012331269,2655
