group,file,item,statistic,old,new,delta,note
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,harm_rate_hi,0.545853199358346,0.455885294117647,-0.08996790524069898,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,rho_lo,0.2549380312792336,0.1645571792879382,-0.09038085199129539,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,rho_hi,0.8583068996628903,0.7080602130519424,-0.15024668661094787,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,affected,271,129,-142.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,harm_rate,0.4575645756457565,0.3410852713178294,-0.11647930432792708,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,rho,0.5295486058671101,0.4082854000890177,-0.12126320577809235,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,all_full_reduction,0.1095016708675155,0.1326051144220472,0.0231034435545317,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,oracle20_reduction,0.2327587339162703,0.224103164670935,-0.00865556924533531,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,harm_rate_lo,0.3720181654855774,0.234867967132911,-0.13715019835266642,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,harm_rate_hi,0.5461563876651981,0.4565523576240048,-0.08960403004119333,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,rho_lo,0.299332125759678,0.1828801736337215,-0.11645195212595649,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,rho_hi,0.9204473981876948,0.7326516596193594,-0.18779573856833542,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,affected,268,176,-92.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,harm_rate,0.4626865671641791,0.4147727272727273,-0.047913839891451815,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,rho,0.5383480113587714,0.4409187924457811,-0.09742921891299033,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,all_full_reduction,0.1056971829930538,0.1817012696537895,0.07600408666073569,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,oracle20_reduction,0.2289542460418087,0.3249997803515305,0.09604553430972179,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,harm_rate_lo,0.370618842364532,0.2716028942850135,-0.09901594807951852,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,harm_rate_hi,0.542875830564784,0.5511639246947082,0.008288094129924262,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,rho_lo,0.2778855371852475,0.2052642736709358,-0.0726212635143117,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,rho_hi,0.9291714763528192,0.8580395197893695,-0.07113195656344962,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,affected,1226,1179,-47.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,harm_rate,0.5138662316476346,0.5089058524173028,-0.004960379230331768,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,rho,0.8244363412400274,0.7035475557548901,-0.12088878548513726,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,all_full_reduction,0.0081305500484908,0.0131128537719977,0.004982303723506901,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,oracle20_reduction,0.0460473684655246,0.0440875419396001,-0.001959826525924503,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,harm_rate_lo,0.4769073261748026,0.4731969046506571,-0.0037104215241454686,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,harm_rate_hi,0.5507031646388862,0.5439911281905304,-0.006712036448355829,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,rho_lo,0.5848489256602102,0.5039846608455917,-0.0808642648146185,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,rho_hi,1.1663643288336931,0.9904944999574457,-0.17586982887624747,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,affected,1064,1025,-39.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,harm_rate,0.5150375939849624,0.5024390243902439,-0.0125985695947185,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,rho,0.8891293539950829,0.7817422968485065,-0.10738705714657637,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,all_full_reduction,0.0042175354326292,0.0077931791580599,0.0035756437254306998,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,oracle20_reduction,0.0380401448408823,0.0357063189318485,-0.0023338259090337973,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,harm_rate_lo,0.4814712219144352,0.468083074234388,-0.013388147680047202,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,harm_rate_hi,0.5494418222034522,0.5395264382960036,-0.009915383907448616,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,rho_lo,0.6105993549653628,0.5642970698268044,-0.046302285138558386,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S1 | all,rho_hi,1.2945904733488598,1.0912817941362611,-0.20330867921259865,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,affected,1110,1070,-40.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,harm_rate,0.5108108108108108,0.5009345794392523,-0.009876231371558464,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,rho,0.8262955607740663,0.7126458127432282,-0.11364974803083805,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,all_full_reduction,0.0068938287565038,0.0104805716982822,0.0035867429417784005,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,oracle20_reduction,0.0396849541534859,0.0364726218799026,-0.0032123322735833,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,harm_rate_lo,0.4766264608268898,0.4665397217677343,-0.010086739059155525,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,harm_rate_hi,0.5432658161867131,0.5340938378631678,-0.009171978323545327,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,rho_lo,0.5821634427746536,0.5304611369826963,-0.05170230579195734,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S2 | all,rho_hi,1.2115230994405295,0.9821558189797698,-0.22936728046075971,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,affected,1148,1104,-44.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,harm_rate,0.5174216027874564,0.5018115942028986,-0.015610008584557855,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,rho,0.8607564533354899,0.7165264348716345,-0.14423001846385541,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,all_full_reduction,0.0057732240904308,0.0110798595525762,0.005306635462145399,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,oracle20_reduction,0.0414283376677389,0.0390661967896908,-0.002362140878048098,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,harm_rate_lo,0.4836180689938487,0.4700335048057398,-0.013584564188108883,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,harm_rate_hi,0.5521690311125648,0.5346835425341,-0.01748548857846477,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,rho_lo,0.6129613022302097,0.5339810128603427,-0.07898028936986701,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S3 | all,rho_hi,1.2353981142104555,0.9801164849968088,-0.2552816292136467,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,affected,1110,1182,72.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,harm_rate,0.5108108108108108,0.4949238578680203,-0.015886952942790522,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,rho,0.8262955607740663,0.6720253000057418,-0.1542702607683245,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,all_full_reduction,0.0068938287565038,0.0146966508648598,0.0078028221083560004,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,oracle20_reduction,0.0396849541534859,0.0445351501851056,0.004850196031619701,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,harm_rate_lo,0.477330127350948,0.4643823577283497,-0.012947769622598304,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,harm_rate_hi,0.5440029411764706,0.5267841998178461,-0.017218741358624556,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,rho_lo,0.5813024004513577,0.5129459655499227,-0.06835643490143506,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S4 | all,rho_hi,1.186810006338621,0.887715169218954,-0.2990948371196671,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,affected,486,273,-213.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S0 | all,harm_rate,0.4547325102880658,0.3956043956043956,-0.05912811468367024,outside Task 22 tolerance
