architecture,label,track,geometry,system,target,quota,minus_V,minus_V_lo,minus_V_hi,status
R1_mlp_reg,secdfV,KITTI,mono,traj,JB,0.5,0.3216425131819891,-0.20211445981364745,0.6172634107076667,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.1,-0.16969055459640847,-0.429915067060352,0.3844295972396213,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.2,-0.26285595406545903,-0.6723780996646713,0.4117392212560794,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.3,-0.2674814336796249,-1.0119817457015532,0.5630565157496985,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.5,-0.1129105346751097,-0.3346847132901734,0.3023270258509304,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,traj,JB,0.1,0.11297181311974124,-0.16606796062605622,0.4410176638772695,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,traj,JB,0.2,0.11129688899896056,-0.07912718855111081,0.634143763882165,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,traj,JB,0.3,0.3007088045406574,-0.12752355015124087,1.1781089438367895,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,traj,JB,0.5,0.1784383729652285,-0.013324751533824064,0.6814652020970432,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,traj,JB,0.1,-0.6213023112848606,-1.3464852241011107,0.22481780866093853,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,traj,JB,0.2,-0.684629946846874,-1.3370676214130541,0.4724405611686371,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,traj,JB,0.3,-0.295162539029508,-1.3875519053390404,0.6303519137774724,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,traj,JB,0.5,-0.5966688096176964,-1.1676021780320835,0.7851453704444643,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,traj,JB,0.1,-0.18680881252460338,-0.4938613439336521,0.20653931692895508,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,traj,JB,0.2,-0.07573591104235691,-0.5233531941460581,0.4583134411302241,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,traj,JB,0.3,-0.03380642726564216,-0.6197577835416215,0.5319740560478418,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,traj,JB,0.5,-0.25383570923015775,-0.5635953189370568,0.4596068211447696,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,traj,JB,0.1,-0.05649559926919201,-0.30215479585696275,0.43615692402529505,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,traj,JB,0.2,0.0004854318009214764,-0.34566675260219054,0.6139259223440771,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,traj,JB,0.3,0.18371232593350448,-0.40189778863622894,0.4956310726750157,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,traj,JB,0.5,-0.35888284897146217,-0.7065263518078653,0.40110088880962824,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,traj,JB,0.1,0.06032221751693251,-0.2280466561649714,0.6428135019202866,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,traj,JB,0.2,0.12823078768122054,-0.4330512220411698,0.9050840575992304,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,traj,JB,0.3,0.1334723141921984,-0.5024469091385911,0.8988414037079119,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,traj,JB,0.5,-0.6161364029678147,-1.0656270390333429,0.771190723373126,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,brake,J,0.1,0.0019516858350717703,-0.09503458325188768,0.14287978672429885,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,brake,J,0.2,-0.012694651190186673,-0.14591523191421268,0.1601731888481147,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,brake,J,0.3,-0.08591460176850396,-0.19206553492083306,0.1895925418363431,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,oracle,brake,J,0.5,-0.04722171245531903,-0.22767055354397925,0.2013131493265731,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,brake,J,0.1,-0.057279845834125015,-0.19729336019135213,0.008665642322861317,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,brake,J,0.2,-0.08837772349445142,-0.15849372214853252,0.11397454076542271,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,brake,J,0.3,-0.056946540934535717,-0.1470626146290745,0.14539883945213486,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,oracle,brake,J,0.5,0.01047125576327479,-0.10486456797431631,0.1876202362914222,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,oracle,brake,J,0.1,-0.11119565096467326,-0.2557795385842639,0.04480882783820976,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,oracle,brake,J,0.2,-0.1382427382583746,-0.323466111455809,0.05688796780358252,post-hoc (decided after Task 24's test results were seen)
