status,track,geometry,system,target,architecture,kind,label,quota,k,ndg,minus_random,boot_dropped,minus_random_lo,minus_random_hi,minus_V,minus_V_lo,minus_V_hi,minus_rankV,minus_rankV_lo,minus_rankV_hi,minus_secdfV,minus_secdfV_lo,minus_secdfV_hi,pooled_against,n_cells,note
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,V,0.1,354.0,0.08517014281623507,0.0487283010251875,1.0,-0.024380719189551557,0.16751784402913183,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,V,0.2,707.0,0.17819172422056748,0.09642684727232731,2.0,0.009495103886452728,0.20034957976494294,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,V,0.3,1061.0,0.268557608121625,0.14145530181187566,2.0,0.054975723328084924,0.20838771301942782,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,V,0.5,1768.0,0.36315018922985437,0.14271551109654523,2.0,0.054201261048423904,0.2144134778841734,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,rankV,0.1,354.0,0.08336767319765649,0.039187448908169345,1.0,-0.047274382813659435,0.12860003395255604,-0.0018024696185785782,-0.09824315340915997,0.09751123414041792,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,rankV,0.2,707.0,0.14562252106484194,0.06848571759859458,2.0,-0.0369348116186922,0.19058470025466503,-0.032569203155725535,-0.12997945740544997,0.08230097961637482,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,rankV,0.3,1061.0,0.2256024745105555,0.0917609514583922,2.0,-0.06117263313612344,0.24920825262390872,-0.04295513361106948,-0.1696910972981818,0.09670369684603868,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,rankV,0.5,1768.0,0.3777230672348922,0.1357244875003421,2.0,-0.027941315281229468,0.28283553520616267,0.014572878005037815,-0.1482477517057303,0.13442103917853626,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,secdfV,0.1,354.0,0.0852018158374909,0.053502887256444406,1.0,-0.042583676414228805,0.15261874449057727,3.1673021255826384e-05,-0.12201377167138858,0.13202146554570285,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,secdfV,0.2,707.0,0.18236730061755704,0.09742859947810145,2.0,0.012256956726366956,0.16713577584959657,0.0041755763969895665,-0.11612041546723194,0.0996765685343168,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,secdfV,0.3,1061.0,0.24982255202633422,0.12202951434444187,2.0,0.027231623250106068,0.20298897029142757,-0.018735056095290775,-0.0977276217818791,0.05087211214473447,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,secdfV,0.5,1768.0,0.3744567474336568,0.16873442266813332,2.0,0.01782213103450575,0.2767204125253203,0.011306558203802441,-0.058992221448896785,0.11098775910689976,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,Q,0.1,354.0,0.0012579043397630827,-0.03155520500605494,1.0,-0.08828661797035094,0.056022350257640074,-0.08391223847647199,-0.24601571761303004,0.03182076924968675,-0.08210976885789341,-0.19188155524925204,0.08208281755116761,-0.08394391149772781,-0.19908321474008064,0.06562910737355238,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,Q,0.2,707.0,0.046354288113968155,-0.015075782977019407,2.0,-0.1031912408805159,0.0799723049116981,-0.13183743610659931,-0.2419086198515155,0.05286432141981551,-0.09926823295087378,-0.21429380823544714,0.09090919511277668,-0.13601301250358888,-0.21122126117740384,0.005502101161980494,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,Q,0.3,1061.0,0.1294903163073867,-0.011716478141987955,2.0,-0.11254743853593979,0.11016706989629405,-0.1390672918142383,-0.27777477898413694,0.01195441411327364,-0.09611215820316882,-0.31743916695427166,0.09717146029339875,-0.12033223571894752,-0.27714205650008744,0.021586880807623332,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,Q,0.5,1768.0,0.23051122729787415,0.038837186166375944,2.0,-0.04036007963908067,0.1178212688450847,-0.13263896193198021,-0.216898835468529,0.02956147335922284,-0.14721183993701803,-0.3167303805338582,0.11913515330720603,-0.14394552013578266,-0.29258313670839153,0.06100833769497721,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,G,0.1,354.0,0.09142193896985391,0.045598351975232584,1.0,-0.04867675948439127,0.18008900261825783,0.006251796153618844,-0.11187893732586632,0.1451973754414246,0.008054265772197422,-0.05586463719494962,0.06984648079436712,0.006220123132363017,-0.10849831926723323,0.06753212868310306,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,G,0.2,707.0,0.10775424574678186,0.03262743553192059,2.0,-0.07267778252753708,0.18952149057087103,-0.07043747847378562,-0.17494576921021515,0.0863324835547691,-0.037868275318060085,-0.12168513001893262,0.04699810856587749,-0.07461305487077519,-0.15192908630747778,0.058854832053397615,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,G,0.3,1061.0,0.15204830745054115,0.04506831413032553,2.0,-0.042566566815020704,0.1798823831468483,-0.11650930067108384,-0.17707970935607506,0.08349482847731089,-0.07355416706001436,-0.1256897922452698,0.03753635209597664,-0.09777424457579306,-0.14833978238177462,0.07371780841064803,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_mlp_reg,regression,G,0.5,1768.0,0.224320718167149,0.025457479280797994,2.0,-0.06968765889228082,0.1490432629383143,-0.13882947106270538,-0.24114716436341482,0.08488823057320137,-0.1534023490677432,-0.23799828277520213,0.04693005668468645,-0.15013602926650782,-0.2637768087163239,0.065162388463726,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_gbm_reg,regression,V,0.1,354.0,0.0908867218072224,0.06179738182023855,1.0,-0.0059226830317483485,0.27467018626840944,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_gbm_reg,regression,V,0.2,707.0,0.20124611109304952,0.11691909211366834,2.0,0.0029075548846723954,0.2861031554686268,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_gbm_reg,regression,V,0.3,1061.0,0.3465144040679966,0.1763648098112029,2.0,0.009793282491523166,0.30970229175555963,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_gbm_reg,regression,V,0.5,1768.0,0.43536115017567256,0.19395414994291205,2.0,0.018869354124746038,0.3059051356212061,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_gbm_reg,regression,rankV,0.1,354.0,0.15555682702523693,0.09729313304461117,1.0,0.031085303004225212,0.22083961381999484,0.06467010521801453,-0.05941085642538879,0.1278094070012226,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_gbm_reg,regression,rankV,0.2,707.0,0.2085498124758768,0.13649119851120614,2.0,0.05715218278636562,0.260606320364889,0.007303701382827293,-0.07430764288255767,0.08959439699504768,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,mono,brake,J,R1_gbm_reg,regression,rankV,0.3,1061.0,0.3205206044880871,0.1695382138992015,2.0,0.0629887082855436,0.28888398185717296,-0.025993799579909493,-0.08953728662704238,0.07041411773330077,,,,,,,,,
