track,geometry,system,target,signal,ndg_min_before,ndg_median_before,ndg_max_before,wins_before,seeds_before,shipped_win_before,flag_shipped_win_not_robust_before,ndg_min_after,ndg_median_after,ndg_max_after,wins_after,seeds_after,shipped_win_after,flag_shipped_win_not_robust_after
KITTI,mono,brake,J,R1_gbm_clf,0.1965353305288963,0.1965353305288963,0.1965353305288963,6.0,6.0,True,False,0.21495919906984853,0.21495919906984853,0.21495919906984853,6.0,6.0,True,False
KITTI,mono,brake,J,R1_gbm_reg,0.20385533929693472,0.20385533929693472,0.20385533929693472,6.0,6.0,True,False,0.20124611109304952,0.20124611109304952,0.20124611109304952,6.0,6.0,True,False
KITTI,mono,brake,J,R1_mlp_clf,0.15126645382423223,0.16175235271337077,0.18492768886511202,0.0,6.0,False,False,0.14757320944630317,0.17407423923556817,0.19528098246060643,3.0,6.0,True,True
KITTI,mono,brake,J,R1_mlp_reg,0.14951987949628642,0.1687748807696055,0.191787395807655,1.0,6.0,False,False,0.1589322836616223,0.17826979176011354,0.19114932683818575,2.0,6.0,True,True
KITTI,mono,brake,J,gate_gbm,0.1535625241235419,0.1535625241235419,0.1535625241235419,0.0,6.0,False,False,0.15826369729915046,0.15826369729915046,0.15826369729915046,0.0,6.0,False,False
KITTI,mono,traj,JB,R1_gbm_clf,-0.19215635340119866,-0.19215635340119866,-0.19215635340119866,0.0,6.0,False,False,0.058500686007273026,0.058500686007273026,0.058500686007273026,0.0,6.0,False,False
KITTI,mono,traj,JB,R1_gbm_reg,0.12620066648982387,0.12620066648982387,0.12620066648982387,0.0,6.0,False,False,0.12532701685582354,0.12532701685582354,0.12532701685582354,0.0,6.0,False,False
KITTI,mono,traj,JB,R1_mlp_clf,-0.18632671649386287,0.09109022432886366,0.19359386440248336,0.0,6.0,False,False,-0.005771371947233809,0.06083264496554272,0.13185465000843194,0.0,6.0,False,False
KITTI,mono,traj,JB,R1_mlp_reg,0.04106557132687362,0.11659350817385813,0.2355684386872263,0.0,6.0,False,False,0.02918071830383494,0.10614247095395493,0.18649456202049566,0.0,6.0,False,False
KITTI,mono,traj,JB,gate_gbm,0.06181501651927516,0.06181501651927516,0.06181501651927516,0.0,6.0,False,False,0.1839658206035396,0.1839658206035396,0.1839658206035396,0.0,6.0,False,False
KITTI,oracle,brake,J,R1_gbm_clf,0.3240416248981891,0.3240416248981891,0.3240416248981891,6.0,6.0,True,False,0.3604847504468612,0.3604847504468612,0.3604847504468612,6.0,6.0,True,False
KITTI,oracle,brake,J,R1_gbm_reg,0.2952649023582704,0.2952649023582704,0.2952649023582704,0.0,6.0,False,False,0.2927409444343634,0.2927409444343634,0.2927409444343634,0.0,6.0,False,False
KITTI,oracle,brake,J,R1_mlp_clf,0.252936091160369,0.2876599221746701,0.29454052223725324,5.0,6.0,True,False,0.23991143249973473,0.2988635312027876,0.3173682482701408,2.0,6.0,True,True
KITTI,oracle,brake,J,R1_mlp_reg,0.21694813102871294,0.2552371774509603,0.28425271625566506,2.0,6.0,False,False,0.21864334430670074,0.2572635038086971,0.26420447666070335,2.0,6.0,False,False
KITTI,oracle,brake,J,gate_gbm,0.20651883242934632,0.20651883242934632,0.20651883242934632,0.0,6.0,False,False,0.22621226805083577,0.22621226805083577,0.22621226805083577,0.0,6.0,False,False
KITTI,oracle,traj,JB,R1_gbm_clf,0.45340869264812345,0.45340869264812345,0.45340869264812345,6.0,6.0,True,False,0.4836554181685283,0.4836554181685283,0.4836554181685283,6.0,6.0,True,False
KITTI,oracle,traj,JB,R1_gbm_reg,0.5011601531471864,0.5011601531471864,0.5011601531471864,6.0,6.0,True,False,0.5160470612892895,0.5160470612892895,0.5160470612892895,6.0,6.0,True,False
KITTI,oracle,traj,JB,R1_mlp_clf,0.3564159901037383,0.39299557844842115,0.41856356327646405,6.0,6.0,True,False,0.36123704502033555,0.4246633598409557,0.44858023809434683,6.0,6.0,True,False
KITTI,oracle,traj,JB,R1_mlp_reg,0.32144960808453554,0.3818785557474089,0.459899770469033,3.0,6.0,False,False,0.35627222688647997,0.39082417503218025,0.4242656458381347,4.0,6.0,False,False
KITTI,oracle,traj,JB,gate_gbm,0.5720618447369914,0.5720618447369914,0.5720618447369914,6.0,6.0,True,False,0.5382735606266613,0.5382735606266613,0.5382735606266613,6.0,6.0,True,False
nuScenes,mono,brake,J,R1_gbm_clf,0.3273581565920526,0.3273581565920526,0.3273581565920526,0.0,6.0,False,False,0.36887164339645423,0.36887164339645423,0.36887164339645423,0.0,6.0,False,False
nuScenes,mono,brake,J,R1_gbm_reg,0.37977490888515203,0.37977490888515203,0.37977490888515203,6.0,6.0,True,False,0.38294151631249196,0.38294151631249196,0.38294151631249196,6.0,6.0,True,False
nuScenes,mono,brake,J,R1_mlp_clf,0.24844350163179676,0.2887226771777654,0.3927405368107038,1.0,6.0,False,False,0.22182102540315668,0.2576749269035308,0.4635780593820443,1.0,6.0,False,False
nuScenes,mono,brake,J,R1_mlp_reg,0.20186962232853864,0.27711729610637553,0.4734357530032607,3.0,6.0,True,True,0.14533561786578766,0.28634717994092646,0.36610081250937354,2.0,6.0,True,True
nuScenes,mono,brake,J,gate_gbm,0.39691477624114474,0.39691477624114474,0.39691477624114474,6.0,6.0,True,False,0.48159345854694213,0.48159345854694213,0.48159345854694213,6.0,6.0,True,False
nuScenes,mono,plan_ade,JC_ade,R1_gbm_clf,0.09010515101103672,0.09010515101103672,0.09010515101103672,0.0,6.0,False,False,0.09010515101103672,0.09010515101103672,0.09010515101103672,0.0,6.0,False,False
nuScenes,mono,plan_ade,JC_ade,R1_gbm_reg,-0.02159826630051098,-0.02159826630051098,-0.02159826630051098,0.0,6.0,False,False,-0.02159826630051098,-0.02159826630051098,-0.02159826630051098,0.0,6.0,False,False
nuScenes,mono,plan_ade,JC_ade,R1_mlp_clf,0.03438780997164256,0.10833923203121087,0.14994493726020103,0.0,6.0,False,False,0.03438780997164256,0.10833923203121087,0.14994493726020103,0.0,6.0,False,False
nuScenes,mono,plan_ade,JC_ade,R1_mlp_reg,0.10607028424598453,0.2514634072094304,0.2984952433845143,0.0,6.0,False,False,0.10607028424598453,0.2514634072094304,0.2984952433845143,0.0,6.0,False,False
nuScenes,mono,plan_ade,JC_ade,gate_gbm,0.042025999851251584,0.042025999851251584,0.042025999851251584,0.0,6.0,False,False,0.042025999851251584,0.042025999851251584,0.042025999851251584,0.0,6.0,False,False
nuScenes,mono,plan_fde,JC_fde,R1_gbm_clf,0.13124556804721843,0.13124556804721843,0.13124556804721843,0.0,6.0,False,False,0.13124556804721843,0.13124556804721843,0.13124556804721843,0.0,6.0,False,False
nuScenes,mono,plan_fde,JC_fde,R1_gbm_reg,-0.06207022040858505,-0.06207022040858505,-0.06207022040858505,0.0,6.0,False,False,-0.06207022040858505,-0.06207022040858505,-0.06207022040858505,0.0,6.0,False,False
nuScenes,mono,plan_fde,JC_fde,R1_mlp_clf,-0.026755733664882535,0.026741052450292638,0.14128245064043404,0.0,6.0,False,False,-0.026755733664882535,0.026741052450292638,0.14128245064043404,0.0,6.0,False,False
nuScenes,mono,plan_fde,JC_fde,R1_mlp_reg,0.08542680837942533,0.21019921713605427,0.2602225170775465,0.0,6.0,False,False,0.08542680837942533,0.21019921713605427,0.2602225170775465,0.0,6.0,False,False
nuScenes,mono,plan_fde,JC_fde,gate_gbm,0.07862635187025536,0.07862635187025536,0.07862635187025536,0.0,6.0,False,False,0.07862635187025536,0.07862635187025536,0.07862635187025536,0.0,6.0,False,False
nuScenes,oracle,brake,J,R1_gbm_clf,0.24695466232469712,0.24695466232469712,0.24695466232469712,0.0,6.0,False,False,0.42144245544094144,0.42144245544094144,0.42144245544094144,0.0,6.0,False,False
nuScenes,oracle,brake,J,R1_gbm_reg,0.39445557456843444,0.39445557456843444,0.39445557456843444,0.0,6.0,False,False,0.19633594755466827,0.19633594755466827,0.19633594755466827,0.0,6.0,False,False
nuScenes,oracle,brake,J,R1_mlp_clf,0.0008090108669526621,0.1636491419362258,0.24499360962800526,0.0,6.0,False,False,0.0773700382513175,0.2854303952684334,0.35398151420764795,0.0,6.0,False,False
nuScenes,oracle,brake,J,R1_mlp_reg,0.09121326032164022,0.21654028352257262,0.3354129409324891,0.0,6.0,False,False,0.13015808094721198,0.1860973898247527,0.3544077412718464,0.0,6.0,False,False
nuScenes,oracle,brake,J,gate_gbm,0.16924508953666667,0.16924508953666667,0.16924508953666667,0.0,6.0,False,False,0.15541367691653446,0.15541367691653446,0.15541367691653446,0.0,6.0,False,False
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_clf,0.031370783877119605,0.031370783877119605,0.031370783877119605,0.0,6.0,False,False,0.031370783877119605,0.031370783877119605,0.031370783877119605,0.0,6.0,False,False
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_reg,-0.08348500647360639,-0.08348500647360639,-0.08348500647360639,0.0,6.0,False,False,-0.08348500647360639,-0.08348500647360639,-0.08348500647360639,0.0,6.0,False,False
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,-0.13727716631930909,-0.07007308674155466,0.04258534935507514,0.0,6.0,False,False,-0.13727716631930909,-0.07007308674155466,0.04258534935507514,0.0,6.0,False,False
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,-0.1196304327857619,-0.058128969022062056,0.06408533287565994,0.0,6.0,False,False,-0.1196304327857619,-0.058128969022062056,0.06408533287565994,0.0,6.0,False,False
nuScenes,oracle,plan_ade,JC_ade,gate_gbm,-0.14108214615702183,-0.14108214615702183,-0.14108214615702183,0.0,6.0,False,False,-0.14108214615702183,-0.14108214615702183,-0.14108214615702183,0.0,6.0,False,False
nuScenes,oracle,plan_fde,JC_fde,R1_gbm_clf,0.06495945197443771,0.06495945197443771,0.06495945197443771,0.0,6.0,False,False,0.06495945197443771,0.06495945197443771,0.06495945197443771,0.0,6.0,False,False
nuScenes,oracle,plan_fde,JC_fde,R1_gbm_reg,-0.09308908145973095,-0.09308908145973095,-0.09308908145973095,0.0,6.0,False,False,-0.09308908145973095,-0.09308908145973095,-0.09308908145973095,0.0,6.0,False,False
nuScenes,oracle,plan_fde,JC_fde,R1_mlp_clf,-0.04735201316023637,0.05626575330746297,0.163596468081169,0.0,6.0,False,False,-0.04735201316023637,0.05626575330746297,0.163596468081169,0.0,6.0,False,False
nuScenes,oracle,plan_fde,JC_fde,R1_mlp_reg,-0.05531069877648246,0.0035936284890809894,0.04544492973761442,0.0,6.0,False,False,-0.05531069877648246,0.0035936284890809894,0.04544492973761442,0.0,6.0,False,False
nuScenes,oracle,plan_fde,JC_fde,gate_gbm,0.12469626769972209,0.12469626769972209,0.12469626769972209,0.0,6.0,False,False,0.12469626769972209,0.12469626769972209,0.12469626769972209,0.0,6.0,False,False
