architecture,label,track,geometry,system,target,quota,minus_V_before,minus_V_lo_before,minus_V_hi_before,status_before,minus_V_after,minus_V_lo_after,minus_V_hi_after,status_after
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.1,0.005528112068992175,-0.05580775928586808,0.10197372284714629,post-hoc (decided after Task 24's test results were seen),-0.0018024696185785782,-0.09824315340915997,0.09751123414041792,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.2,0.002114943528702229,-0.12425220171229254,0.09729269601106866,post-hoc (decided after Task 24's test results were seen),-0.032569203155725535,-0.12997945740544997,0.08230097961637482,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.3,-0.08726034108952596,-0.1977272800253716,0.08154740475702696,post-hoc (decided after Task 24's test results were seen),-0.04295513361106948,-0.1696910972981818,0.09670369684603868,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.5,-0.014949519507715392,-0.20592768068728334,0.06796891261661003,post-hoc (decided after Task 24's test results were seen),0.014572878005037815,-0.1482477517057303,0.13442103917853626,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.1,-0.029930756852565715,-0.11949282878184334,0.032587216165623906,post-hoc (decided after Task 24's test results were seen),3.1673021255826384e-05,-0.12201377167138858,0.13202146554570285,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.2,-0.050116341496820774,-0.1255955360686848,0.018143265514965954,post-hoc (decided after Task 24's test results were seen),0.0041755763969895665,-0.11612041546723194,0.0996765685343168,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.3,-0.09686076606259647,-0.1483177624597593,0.009939408344940481,post-hoc (decided after Task 24's test results were seen),-0.018735056095290775,-0.0977276217818791,0.05087211214473447,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.5,0.008721960477268365,-0.09411916877941423,0.04947609401192563,post-hoc (decided after Task 24's test results were seen),0.011306558203802441,-0.058992221448896785,0.11098775910689976,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.1,-0.0813557212660877,-0.22148601895817338,0.05271459671162729,post-hoc (decided after Task 24's test results were seen),-0.08391223847647199,-0.24601571761303004,0.03182076924968675,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.2,-0.11863332548966748,-0.25597679669023204,0.06413432131629054,post-hoc (decided after Task 24's test results were seen),-0.13183743610659931,-0.2419086198515155,0.05286432141981551,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.3,-0.18214916015078458,-0.3012565795632074,0.04177198102860466,post-hoc (decided after Task 24's test results were seen),-0.1390672918142383,-0.27777477898413694,0.01195441411327364,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.5,-0.1497006908386554,-0.2608419491125336,0.010958258544765079,post-hoc (decided after Task 24's test results were seen),-0.13263896193198021,-0.216898835468529,0.02956147335922284,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.1,0.008205539050228985,-0.1066246919899942,0.12283164185285186,post-hoc (decided after Task 24's test results were seen),0.006251796153618844,-0.11187893732586632,0.1451973754414246,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.2,-0.057334953805209685,-0.19544691642216983,0.10240344820940858,post-hoc (decided after Task 24's test results were seen),-0.07043747847378562,-0.17494576921021515,0.0863324835547691,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.3,-0.16010195227400212,-0.24104357952425698,0.10935708720411431,post-hoc (decided after Task 24's test results were seen),-0.11650930067108384,-0.17707970935607506,0.08349482847731089,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.5,-0.1566682879068418,-0.2913263201789632,0.06730723788522702,post-hoc (decided after Task 24's test results were seen),-0.13882947106270538,-0.24114716436341482,0.08488823057320137,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.1,0.08280942745247062,-0.025898917334554385,0.150347149393397,post-hoc (decided after Task 24's test results were seen),0.06467010521801453,-0.05941085642538879,0.1278094070012226,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.2,0.019191143143263784,-0.0439787385001596,0.12956276690750124,post-hoc (decided after Task 24's test results were seen),0.007303701382827293,-0.07430764288255767,0.08959439699504768,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.3,-0.006475454041119932,-0.03802938513747381,0.10502176296873998,post-hoc (decided after Task 24's test results were seen),-0.025993799579909493,-0.08953728662704238,0.07041411773330077,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.5,-0.021429634313666845,-0.09753182212975041,0.03354984156155494,post-hoc (decided after Task 24's test results were seen),-0.04578450573325299,-0.12400988548548324,0.12272081631293719,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.1,0.04186582446055022,-0.01650215661598234,0.12551388588162402,post-hoc (decided after Task 24's test results were seen),0.03815349175375102,-0.008737188671927488,0.11400221979031583,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.2,-0.008054088833547385,-0.03502883904421131,0.09173888453190955,post-hoc (decided after Task 24's test results were seen),-0.010152937209720825,-0.023129811743615974,0.0860085682410888,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.3,0.017981228988957765,-0.048935733526609466,0.08668141881698742,post-hoc (decided after Task 24's test results were seen),0.032687074577737174,-0.03859789437445716,0.07988340427047014,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.5,-0.015512190786686308,-0.0726119757824423,0.05471950490074717,post-hoc (decided after Task 24's test results were seen),0.009563357135734085,-0.041385668570094236,0.17572260932692818,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,brake,J,0.1,-0.025413587258493922,-0.27149054273288903,0.07773148065033075,post-hoc (decided after Task 24's test results were seen),-0.025932234827053105,-0.27399591636048265,0.07056707818272989,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,brake,J,0.2,-0.1678167755375913,-0.34960102180164,0.041495212290705415,post-hoc (decided after Task 24's test results were seen),-0.16577307711411754,-0.33798136479235774,0.05025623731984834,post-hoc (decided after Task 24's test results were seen)
