track,pair,band,n_paired,bias_cheap_cam,bias_full_cam,bias_cheap_ego,bias_full_ego,asym_cam,asym_ego,tested,ok
KITTI,RT 320->640,,32,8.310610011219978,7.3403037786483765,8.965077117085457,8.240425944328308,-0.9703062325716019,-0.7246511727571487,False,True
KITTI,RT 320->640,0-15,10712,0.27815914154052734,0.26823949813842773,1.2532856464385986,1.2667508125305176,-0.00991964340209961,0.013465166091918945,True,True
KITTI,RT 320->640,15-30,8971,0.6973476409912109,0.7064990997314453,2.0683250427246094,2.0313568115234375,0.009151458740234375,-0.036968231201171875,True,True
KITTI,RT 320->640,30-50,4825,-2.1436080932617188,-0.7842750549316406,2.257556915283203,3.270893096923828,1.3593330383300781,1.013336181640625,False,True
KITTI,RT 320->640,>50,890,-6.4315948486328125,-5.865421295166016,-1.6992835998535156,-0.24921417236328125,0.5661735534667969,1.4500694274902344,False,True
KITTI,RT 480->640,,33,7.158888220787048,7.170218348503113,8.19181478023529,8.203009009361267,0.011330127716064453,0.011194229125976562,False,True
KITTI,RT 480->640,0-15,11738,0.29474830627441406,0.3222041130065918,1.266110897064209,1.3129518032073975,0.027455806732177734,0.04684090614318848,True,True
KITTI,RT 480->640,15-30,11316,1.0516691207885742,1.063344955444336,2.2423458099365234,2.2745227813720703,0.011675834655761719,0.032176971435546875,True,True
KITTI,RT 480->640,30-50,7148,-1.0501174926757812,-0.37355613708496094,3.260347366333008,3.438619613647461,0.6765613555908203,0.17827224731445312,False,True
KITTI,RT 480->640,>50,2457,-5.307704925537109,-4.475643157958984,0.9247817993164062,1.9767532348632812,0.832061767578125,1.051971435546875,False,True
KITTI,Y8 320->640,,32,7.726998388767242,7.198673069477081,8.754392921924591,8.326222956180573,-0.5283253192901611,-0.42816996574401855,False,True
KITTI,Y8 320->640,0-15,10541,0.28709888458251953,0.23377513885498047,1.2651119232177734,1.2220706939697266,-0.05332374572753906,-0.043041229248046875,True,True
KITTI,Y8 320->640,15-30,7148,0.45974063873291016,0.5089678764343262,1.8231186866760254,1.7888221740722656,0.049227237701416016,-0.034296512603759766,True,True
KITTI,Y8 320->640,30-50,2495,-1.797800064086914,-1.2089347839355469,2.118988037109375,2.578014373779297,0.5888652801513672,0.4590263366699219,False,True
KITTI,Y8 320->640,>50,73,-4.184501647949219,-3.34619140625,-3.084308624267578,-0.9397087097167969,0.8383102416992188,2.1445999145507812,False,True
KITTI,Y8 384->640,,32,7.76369696855545,7.198673069477081,8.74508911371231,8.326222956180573,-0.5650238990783691,-0.4188661575317383,False,True
KITTI,Y8 384->640,0-15,11148,0.32968735694885254,0.26157212257385254,1.2748908996582031,1.2419030666351318,-0.068115234375,-0.03298783302307129,True,True
KITTI,Y8 384->640,15-30,8722,0.7990179061889648,0.7085371017456055,2.091649055480957,1.9927864074707031,-0.09048080444335938,-0.0988626480102539,True,True
KITTI,Y8 384->640,30-50,4026,-1.6037101745605469,-1.1802186965942383,2.7569093704223633,2.7176036834716797,0.4234914779663086,-0.039305686950683594,False,True
KITTI,Y8 384->640,>50,283,-7.136013031005859,-5.3595428466796875,-2.8777389526367188,-0.32721710205078125,1.7764701843261719,2.5505218505859375,False,True
KITTI,Y8 512->640,,32,7.390930235385895,7.198673069477081,8.454163610935211,8.326222956180573,-0.19225716590881348,-0.12794065475463867,False,True
KITTI,Y8 512->640,0-15,11566,0.2618851661682129,0.2765383720397949,1.2174134254455566,1.2508883476257324,0.014653205871582031,0.03347492218017578,True,True
KITTI,Y8 512->640,15-30,10316,0.8463249206542969,0.9434881210327148,2.051809310913086,2.1667251586914062,0.09716320037841797,0.11491584777832031,True,True
KITTI,Y8 512->640,30-50,5536,-1.2424850463867188,-0.7997989654541016,2.796877861022949,3.135150909423828,0.4426860809326172,0.3382730484008789,False,True
KITTI,Y8 512->640,>50,984,-3.9861812591552734,-3.0151519775390625,1.1533203125,2.503072738647461,0.9710292816162109,1.349752426147461,False,True
nuScenes,Y8 320->640,,15,7.70755398273468,7.822005271911621,9.55338442325592,9.411957740783691,0.11445128917694092,-0.141426682472229,False,True
nuScenes,Y8 320->640,0-15,1432,-0.4249606132507324,-0.3679478168487549,1.1989810466766357,1.1606545448303223,0.05701279640197754,-0.03832650184631348,True,True
nuScenes,Y8 320->640,15-30,2179,-0.7035655975341797,-0.7006015777587891,1.1126899719238281,1.0542478561401367,0.002964019775390625,-0.058442115783691406,True,True
nuScenes,Y8 320->640,30-50,1398,-1.9666147232055664,-1.7520523071289062,0.379974365234375,0.30434226989746094,0.21456241607666016,-0.07563209533691406,False,True
nuScenes,Y8 320->640,>50,283,-11.86837387084961,-10.448261260986328,-0.8887939453125,0.5959930419921875,1.4201126098632812,1.4847869873046875,False,True
