group,figure,cell,statistic,old,new,delta,source
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,sign disagreement,0.3900709219858156,0.3262411347517731,-0.06382978723404253,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,Spearman rho with V,0.0694755171245875,0.0842437842880211,0.014768267163433602,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,P(V<0 | gain>0) among affected,0.1896551724137931,0.1917808219178082,0.0021256495040151147,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,P(V<0 | gain>0) all frames,0.00768156424581,0.0085626911314984,0.0008811268856883997,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,frames with gain and V both non-zero,141.0,141.0,0.0,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,sign disagreement,0.5004291845493563,0.5055793991416309,0.0051502145922746045,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,Spearman rho with V,0.0072008919304737,0.0125535150688392,0.0053526231383654995,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,P(V<0 | gain>0) among affected,0.5066445182724253,0.5099431818181818,0.003298663545756475,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,P(V<0 | gain>0) all frames,0.2659110723626852,0.2730038022813688,0.0070927299186835935,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,frames with gain and V both non-zero,1165.0,1165.0,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"S0, oracle geometry",nuScenes oracle q_brake,min over gains,0.25,0.25,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"S0, oracle geometry",nuScenes oracle q_brake,max over gains,0.3900709219858156,0.3262411347517731,-0.06382978723404253,calibration_cells.csv
2 sign-disagreement range over the four gains,"per-mode S1-S4, oracle geometry",nuScenes oracle q_brake,min over gains,0.2528735632183908,0.2528735632183908,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"per-mode S1-S4, oracle geometry",nuScenes oracle q_brake,max over gains,0.4829545454545454,0.4615384615384615,-0.021416083916083906,calibration_cells.csv
2 sign-disagreement range over the four gains,"S0, oracle geometry",nuScenes oracle q_plan,min over gains,0.4979035639412998,0.4979035639412998,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"S0, oracle geometry",nuScenes oracle q_plan,max over gains,0.5098870056497176,0.5098870056497176,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"per-mode S1-S4, oracle geometry",nuScenes oracle q_plan,min over gains,0.4932432432432432,0.4932432432432432,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"per-mode S1-S4, oracle geometry",nuScenes oracle q_plan,max over gains,0.5256653992395437,0.5230596175478065,-0.0026057816917371968,calibration_cells.csv
3 scatter and overall share,"scatter, E5_combined, oracle S0",nuScenes oracle q_brake,frames plotted (gain and V both non-zero),141.0,141.0,0.0,calibration_cells.csv
3 scatter and overall share,"scatter, E5_combined, oracle S0",nuScenes oracle q_brake,share with opposite signs,0.3900709219858156,0.3262411347517731,-0.06382978723404253,calibration_cells.csv
3 scatter and overall share,"scatter, E5_combined, oracle S0",nuScenes oracle q_plan,frames plotted (gain and V both non-zero),1165.0,1165.0,0.0,calibration_cells.csv
3 scatter and overall share,"scatter, E5_combined, oracle S0",nuScenes oracle q_plan,share with opposite signs,0.5004291845493563,0.5055793991416309,0.0051502145922746045,calibration_cells.csv
3 scatter and overall share,"both consumers, four gains, oracle S0",nuScenes oracle,min sign disagreement,0.25,0.25,0.0,calibration_cells.csv
3 scatter and overall share,"both consumers, four gains, oracle S0",nuScenes oracle,max sign disagreement,0.5098870056497176,0.5098870056497176,0.0,calibration_cells.csv
4 target swap (C19),"pooled test, G = primary",gate_ridge,pooled mean V - G,0.1704525838422022,0.16099691001801775,-0.00945567382418444,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",gate_ridge,CI low,-0.035265573740188946,-0.03924779647084416,-0.0039822227306552105,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",gate_ridge,CI high,0.28372088643300697,0.2690195263598062,-0.014701360073200775,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",gate_gbm,pooled mean V - G,0.10997753658791687,0.1348816033077472,0.024904066719830337,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",gate_gbm,CI low,-0.06882392956437222,-0.02690338372611859,0.04192054583825364,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",gate_gbm,CI high,0.21628905012046912,0.2287837411995423,0.012494691079073195,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",R1_mlp_reg,pooled mean V - G,0.08064816935193878,0.06315109387590447,-0.01749707547603431,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",R1_mlp_reg,CI low,-0.05421212441428487,-0.06004898930003382,-0.0058368648857489505,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",R1_mlp_reg,CI high,0.1623496195683916,0.1586687111902545,-0.0036809083781371155,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",R1_mlp_clf,pooled mean V - G,0.08492859226580289,0.09005577079959708,0.0051271785337941855,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",R1_mlp_clf,CI low,-0.07781436915506597,-0.0943615259251713,-0.016547156770105334,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",R1_mlp_clf,CI high,0.15131215574750123,0.19113697286400125,0.039824817116500016,benchmark_target_swap_summary.json
4 target swap (C19),"pooled test, G = primary",R1_gbm_reg,pooled mean V - G,-0.07165929659025456,-0.11362462259525591,-0.041965326005001344,benchmark_target_swap_summary.json
