part,system,setting,pair,geometry,parameter,value,default_value,is_default,n_inputs,affected,harmed,harmed_share,harmed_share_lo,harmed_share_hi,rho,rho_lo,rho_hi,all_full,oracle20
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,excess,0.06,0.12,False,3376,141,51,0.3617021276595745,0.2347674738580077,0.4944240467132619,0.2760386163079177,0.13439115339697305,0.5054143736013944,0.16434145290155086,0.22700306480911583
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,excess,0.12,0.12,True,3376,141,50,0.3546099290780142,0.2316982162358937,0.4827820464767616,0.4181636073595283,0.2020849364183779,0.7758138974871135,0.1400599661990445,0.24072053238785693
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,excess,0.24,0.12,False,3376,141,51,0.3617021276595745,0.23285479452054794,0.49459778117139774,0.621053854391308,0.28030201156734424,1.0821681618590557,0.10055879518319369,0.26536434358414845
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,collision,3.0,6.0,False,3376,141,50,0.3546099290780142,0.22833632468735526,0.48855392297537736,0.4181636073595283,0.1953637095550311,0.7698346251746324,0.14052088344902353,0.24151270911624495
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,collision,6.0,6.0,True,3376,141,50,0.3546099290780142,0.22804409672830725,0.48334150326797387,0.4181636073595283,0.202705075972535,0.7785616493471683,0.1400599661990445,0.24072053238785693
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,collision,12.0,6.0,False,3376,141,50,0.3546099290780142,0.21488765843041863,0.47827913774205333,0.4181636073595283,0.18030073196147614,0.7693959702568651,0.13914714360359773,0.2391516676571648
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,jerk,0.0,0.02,False,3376,141,51,0.3617021276595745,0.22718097120271033,0.5064484126984127,0.4102201014146847,0.19876904091300826,0.7513496572646624,0.1442104873164076,0.2445157721758918
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,jerk,0.02,0.02,True,3376,141,50,0.3546099290780142,0.23353722627737225,0.48215222277722275,0.4181636073595283,0.2032862104900932,0.7728646699305814,0.1400599661990445,0.24072053238785693
A,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,jerk,0.04,0.02,False,3376,141,50,0.3546099290780142,0.22719435736677115,0.48674760476852186,0.42612116607872774,0.2015901619363498,0.7596808945960155,0.13604417866673643,0.23706080556614437
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,excess,0.06,0.12,False,3376,273,113,0.4139194139194139,0.33662299419597136,0.48944523428706826,0.2844033625787367,0.18687670805202353,0.4842378720523038,0.18104821742991814,0.25300316961011293
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,excess,0.12,0.12,True,3376,273,108,0.3956043956043956,0.31462088921909825,0.4707708890871246,0.4070280287265681,0.28188891874051397,0.5793675069306352,0.16465509862245187,0.2776777092327792
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,excess,0.24,0.12,False,3376,273,116,0.4249084249084249,0.35383838383838384,0.4952468308770483,0.5547277832573045,0.3851303653392076,0.7609160266480565,0.141769016195201,0.3183872940294487
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,collision,3.0,6.0,False,3376,273,108,0.3956043956043956,0.31577144917087235,0.4674458443854996,0.4070280287265681,0.2845994927394358,0.5953781097984929,0.16532307911990768,0.27880420513784077
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,collision,6.0,6.0,True,3376,273,108,0.3956043956043956,0.3201876137220965,0.46989723600283484,0.4070280287265681,0.2821529706796837,0.5923677346067076,0.16465509862245187,0.2776777092327792
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,collision,12.0,6.0,False,3376,273,108,0.3956043956043956,0.3181742925948224,0.47009803921568627,0.4070280287265681,0.27322967389298203,0.6010354779670066,0.16333520148863076,0.2754518078449167
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,jerk,0.0,0.02,False,3376,273,104,0.38095238095238093,0.298174081237911,0.45530594779632005,0.40097091083559,0.27240672391810383,0.5973189510482363,0.16836044165916872,0.2810555358739185
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,jerk,0.02,0.02,True,3376,273,108,0.3956043956043956,0.31723944930519815,0.4752085755585583,0.4070280287265681,0.27308247143054043,0.602507883607891,0.16465509862245187,0.2776777092327792
A,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,jerk,0.04,0.02,False,3376,273,111,0.4065934065934066,0.3249906716417911,0.4825582918522399,0.4133063207068813,0.2751214825645231,0.6099159815884896,0.1610819946348872,0.27455893990364416
A,brake,Y8 320->640|mono,Y8 320->640,mono,excess,0.06,0.12,False,8008,2075,676,0.3257831325301205,0.197783995429186,0.45044314865388163,0.10733480272465983,0.026089238313355863,0.44556713421031796,0.5670216732667755,0.6352008289305816
A,brake,Y8 320->640|mono,Y8 320->640,mono,excess,0.12,0.12,True,8008,2075,710,0.3421686746987952,0.2088567970555329,0.4729277956431995,0.16785478389768207,0.044802604154842,0.6228606480127097,0.5168494285990892,0.6211048487666122
A,brake,Y8 320->640|mono,Y8 320->640,mono,excess,0.24,0.12,False,8008,2075,732,0.3527710843373494,0.2098435316791135,0.4817967873823483,0.2819883653476902,0.08738886340739095,0.8345748397309686,0.4319699046676182,0.6016196448916816
A,brake,Y8 320->640|mono,Y8 320->640,mono,collision,3.0,6.0,False,8008,2075,710,0.3421686746987952,0.20621520099739576,0.47484056224899596,0.16777367319686892,0.048900366683205305,0.6533794272187632,0.5183539188606765,0.6228521042489172
A,brake,Y8 320->640|mono,Y8 320->640,mono,collision,6.0,6.0,True,8008,2075,710,0.3421686746987952,0.20303950019621486,0.46549770325453377,0.16785478389768207,0.04784194753155273,0.6086496992279594,0.5168494285990892,0.6211048487666122
A,brake,Y8 320->640|mono,Y8 320->640,mono,collision,12.0,6.0,False,8008,2075,710,0.3421686746987952,0.2099854445547063,0.47129948502096586,0.16801578654524538,0.048138629546281723,0.605533908407529,0.513887922482597,0.6176654727001549
A,brake,Y8 320->640|mono,Y8 320->640,mono,jerk,0.0,0.02,False,8008,2075,704,0.33927710843373493,0.206843957384054,0.46537424859904625,0.16496083695583294,0.046095301333716705,0.6010492098665521,0.5228580475399649,0.626147934946985
A,brake,Y8 320->640|mono,Y8 320->640,mono,jerk,0.02,0.02,True,8008,2075,710,0.3421686746987952,0.2024631856325982,0.47268245629859706,0.16785478389768207,0.042489989094619866,0.629044572071256,0.5168494285990892,0.6211048487666122
A,brake,Y8 320->640|mono,Y8 320->640,mono,jerk,0.04,0.02,False,8008,2075,705,0.3397590361445783,0.20761461885139257,0.46879486716067237,0.17082623461717028,0.05110333719548372,0.6046630883295907,0.510922008181344,0.616182071251917
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,excess,0.06,0.12,False,8008,1296,301,0.2322530864197531,0.09384860436893204,0.39130897317298796,0.04275852014515544,0.011888426381864053,0.2058007040261526,0.7141344712838051,0.7460337713239262
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,excess,0.12,0.12,True,8008,1296,319,0.24614197530864199,0.10633198110466681,0.4226848306332842,0.08023851542455196,0.0231572189017188,0.37731844197183895,0.6785748142109286,0.7377725916889776
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,excess,0.24,0.12,False,8008,1296,324,0.25,0.10578955682904129,0.43685778462505487,0.15400993192633994,0.04062486900467032,0.7248404231648669,0.6120742599502671,0.7235005268371231
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,collision,3.0,6.0,False,8008,1296,319,0.24614197530864199,0.10636353226931504,0.4305206829242205,0.08045673977451855,0.021159556112904893,0.41026014945713,0.6784744889003437,0.7378385751356343
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,collision,6.0,6.0,True,8008,1296,319,0.24614197530864199,0.10627770653965929,0.4062228904250171,0.08023851542455196,0.021807485930462348,0.3521729219930298,0.6785748142109286,0.7377725916889776
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,collision,12.0,6.0,False,8008,1296,319,0.24614197530864199,0.10900910948653005,0.43164932617998336,0.07980559892809476,0.02268793914314459,0.40067514700618273,0.6787737878573231,0.7376417277334466
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,jerk,0.0,0.02,False,8008,1296,319,0.24614197530864199,0.10416045570698468,0.42919094972811433,0.07775165616827691,0.02245768958432529,0.4148631666278734,0.6845441073834007,0.7422557188222019
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,jerk,0.02,0.02,True,8008,1296,319,0.24614197530864199,0.10233938149035718,0.41057196519090444,0.08023851542455196,0.020997688250292284,0.35357553971222816,0.6785748142109286,0.7377725916889776
A,brake,Y8 320->640|oracle,Y8 320->640,oracle,jerk,0.04,0.02,False,8008,1296,321,0.24768518518518517,0.10813462885154063,0.41730582019947043,0.0827453275604344,0.02399613891450942,0.35918428160969695,0.672647451510221,0.7333268193894532
A,brake,Y8 384->640|mono,Y8 384->640,mono,excess,0.06,0.12,False,8008,1771,687,0.3879164313946923,0.2864718248838762,0.4724166567654805,0.35116516246452556,0.1202125179080023,0.7463616818852092,0.2335867717492605,0.3600096021916974
A,brake,Y8 384->640|mono,Y8 384->640,mono,excess,0.12,0.12,True,8008,1771,705,0.39808018068887635,0.2801010902883574,0.4937547088054146,0.4731134004370673,0.17598874739339268,0.883440561005629,0.19380767715798808,0.36783565442498867
A,brake,Y8 384->640|mono,Y8 384->640,mono,excess,0.24,0.12,False,8008,1771,711,0.40146809712027104,0.2818795129411309,0.5094718350430453,0.6478313170249196,0.32489085535860823,1.0226559363063412,0.13605693460397109,0.38634024313172327
A,brake,Y8 384->640|mono,Y8 384->640,mono,collision,3.0,6.0,False,8008,1771,705,0.39808018068887635,0.28846569235360553,0.4966138113070162,0.47093817362774015,0.18631703632824562,0.9138282991130762,0.19555893886291836,0.3696334324550546
A,brake,Y8 384->640|mono,Y8 384->640,mono,collision,6.0,6.0,True,8008,1771,705,0.39808018068887635,0.29035909857369396,0.49300148923702714,0.4731134004370673,0.1953062885057233,0.8731162110817934,0.19380767715798808,0.36783565442498867
A,brake,Y8 384->640|mono,Y8 384->640,mono,collision,12.0,6.0,False,8008,1771,705,0.39808018068887635,0.29513340211886757,0.4930448284895282,0.4774453400067586,0.20432859182240964,0.8758129187143828,0.1903703160869569,0.36430699152012014
A,brake,Y8 384->640|mono,Y8 384->640,mono,jerk,0.0,0.02,False,8008,1771,704,0.39751552795031053,0.28431956053201857,0.49537859685401703,0.4681222181931033,0.1878993277978787,0.8844509197080759,0.19758666520816656,0.37148884944380456
A,brake,Y8 384->640|mono,Y8 384->640,mono,jerk,0.02,0.02,True,8008,1771,705,0.39808018068887635,0.2952007975493768,0.4975316444348824,0.4731134004370673,0.19835156780351645,0.876281867624847,0.19380767715798808,0.36783565442498867
A,brake,Y8 384->640|mono,Y8 384->640,mono,jerk,0.04,0.02,False,8008,1771,703,0.39695087521174477,0.28784644068305276,0.49382391517958973,0.4782038496172283,0.18959963058901666,0.916922463923989,0.19011496500747954,0.3643471974026969
A,brake,Y8 512->640|mono,Y8 512->640,mono,excess,0.06,0.12,False,8008,1470,635,0.43197278911564624,0.37793203366777706,0.4800532538795151,0.5144320205805121,0.29278311934066126,0.7673713255874105,0.10825133373699727,0.2229375459774249
A,brake,Y8 512->640|mono,Y8 512->640,mono,excess,0.12,0.12,True,8008,1470,630,0.42857142857142855,0.3752674652523775,0.47498610966216587,0.6152373049046553,0.4036583911618754,0.7985808987813817,0.09725994774130227,0.2527790479199168
A,brake,Y8 512->640|mono,Y8 512->640,mono,excess,0.24,0.12,False,8008,1470,638,0.4340136054421769,0.3712253548262796,0.48115207185515413,0.7234102939404546,0.5204465706471939,0.8506914186234895,0.0827108337902357,0.2990380045901968
A,brake,Y8 512->640|mono,Y8 512->640,mono,collision,3.0,6.0,False,8008,1470,630,0.42857142857142855,0.3729203033838973,0.4800995670487142,0.6155055753348218,0.4001742332417365,0.8131971225682937,0.09774107758858483,0.2542067487030507
A,brake,Y8 512->640|mono,Y8 512->640,mono,collision,6.0,6.0,True,8008,1470,630,0.42857142857142855,0.3707968061061914,0.47641914951079684,0.6152373049046553,0.39766340967319935,0.8109249132042957,0.09725994774130227,0.2527790479199168
A,brake,Y8 512->640|mono,Y8 512->640,mono,collision,12.0,6.0,False,8008,1470,630,0.42857142857142855,0.37292176167987856,0.47662631433314884,0.6147044852289782,0.3976597395793434,0.8035229867445388,0.09632021113591445,0.24999048118470055
A,brake,Y8 512->640|mono,Y8 512->640,mono,jerk,0.0,0.02,False,8008,1470,631,0.42925170068027213,0.3698780911605666,0.47670895125155066,0.6155298517786604,0.3916143375238431,0.817575451413484,0.09777302853859729,0.25430590382873913
A,brake,Y8 512->640|mono,Y8 512->640,mono,jerk,0.02,0.02,True,8008,1470,630,0.42857142857142855,0.3698744959411734,0.47722830193832677,0.6152373049046553,0.38696494415329963,0.797126499620327,0.09725994774130227,0.2527790479199168
